"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,71,0," ",0," "
1,1962,71,0," ",0," "
1,1963,71,0," ",0," "
1,1964,71,0," ",0," "
1,1965,71,0," ",0," "
1,1966,71,0," ",0," "
1,1967,71,0," ",0," "
1,1968,71,0," ",0," "
1,1969,71,0," ",0," "
1,1970,71,200," ",0,"M"
1,1971,71,0," ",0," "
1,1972,71,0," ",0," "
1,1973,71,0," ",0," "
1,1974,71,0," ",0," "
1,1975,71,100," ",0,"M"
1,1976,71,0," ",0," "
1,1977,71,300," ",200," "
1,1978,71,300," ",200," "
1,1979,71,1000," ",400," "
1,1980,71,400," ",300," "
1,1981,71,0," ",0," "
1,1982,71,0," ",0," "
1,1983,71,0," ",0," "
1,1984,71,0," ",0," "
1,1985,71,1000," ",600," "
1,1986,71,1000," ",1000," "
1,1987,71,1000," ",1000," "
1,1988,71,0," ",0," "
1,1989,71,500,"F",600,"F"
1,1990,71,445," ",640," "
1,1991,71,383," ",569," "
1,1992,71,1184," ",1076," "
1,1993,71,218," ",100," "
1,1994,71,80,"F",120,"F"
1,1995,71,50,"*",100," "
1,1996,71,13,"*",26," "
1,1997,71,200," ",385," "
1,1998,71,100," ",200," "
1,1999,71,135," ",130," "
1,2000,71,105," ",101," "
1,2001,71,157," ",182," "
1,2002,71,150," ",298," "
1,2003,71,145," ",158," "
1,2004,71,417," ",404," "
1,2005,71,296," ",587," "
1,2006,71,166," ",246," "
1,2007,71,350," ",895," "
1,2008,71,314," ",864," "
1,2009,71,215," ",543," "
1,2010,71,156," ",345," "
1,2011,71,575," ",1281," "
3,1961,71,10875," ",7206," "
3,1962,71,11179," ",7075," "
3,1963,71,8871," ",5175," "
3,1964,71,9631," ",6498," "
3,1965,71,9177," ",4608," "
3,1966,71,9203," ",6174," "
3,1967,71,9063," ",7001," "
3,1968,71,9333," ",6280," "
3,1969,71,9164," ",7664," "
3,1970,71,9813," ",9043," "
3,1971,71,8897," ",7681," "
3,1972,71,8720,"F",8130,"F"
3,1973,71,9500,"F",8330,"F"
3,1974,71,8740,"F",8200,"F"
3,1975,71,9000,"F",8000,"F"
3,1976,71,9000,"F",10000,"F"
3,1977,71,10000,"F",10000,"F"
3,1978,71,10000,"F",10000,"F"
3,1979,71,10000,"F",10000,"*"
3,1980,71,10300,"*",10000,"*"
3,1981,71,9200," ",5800," "
3,1982,71,9700," ",7500," "
3,1983,71,11300," ",10000," "
3,1984,71,10800,"*",11800,"*"
3,1985,71,10000," ",10900,"*"
3,1986,71,10000," ",10000,"*"
3,1987,71,10000," ",10000,"*"
3,1988,71,12000," ",9400,"*"
3,1989,71,12000," ",9300,"*"
3,1990,71,12000," ",8000," "
3,1991,71,3978," ",1427," "
3,1992,71,1091," ",1360," "
3,1993,71,2364," ",2739," "
3,1994,71,2669," ",3765," "
3,1995,71,3075," ",4229," "
3,1996,71,2237," ",2585," "
3,1997,71,2276," ",3029," "
3,1998,71,2049," ",2901," "
3,1999,71,2200," ",3400," "
3,2000,71,1300," ",1500," "
3,2001,71,1900," ",3700," "
3,2002,71,1500," ",2700," "
3,2003,71,1593," ",2400," "
3,2004,71,1500," ",2400," "
3,2005,71,1514," ",3000," "
3,2006,71,1349," ",2600," "
3,2007,71,1300," ",3300," "
3,2008,71,1400," ",3100," "
3,2009,71,1100," ",3200," "
3,2010,71,1100," ",2300," "
3,2011,71,1400," ",3400," "
9,1961,71,694500," ",510000," "
9,1962,71,286550," ",163100," "
9,1963,71,655100," ",538000," "
9,1964,71,773400," ",651500," "
9,1965,71,331200," ",245000," "
9,1966,71,420300," ",270000," "
9,1967,71,564500," ",352000," "
9,1968,71,604200," ",360000," "
9,1969,71,528400," ",377000," "
9,1970,71,360300," ",180700," "
9,1971,71,432700," ",256000," "
9,1972,71,746500," ",690000," "
9,1973,71,656000," ",613000," "
9,1974,71,374700," ",306000," "
9,1975,71,299500," ",273200," "
9,1976,71,340000," ",330000," "
9,1977,71,240000," ",170000," "
9,1978,71,260000," ",210000," "
9,1979,71,225000," ",202000," "
9,1980,71,210000," ",155000," "
9,1981,71,162200," ",149000," "
9,1982,71,173700," ",148000," "
9,1983,71,160400," ",130000," "
9,1984,71,159200," ",155800," "
