"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,280,0," ",0," "
9,1962,280,0," ",0," "
9,1963,280,0," ",0," "
9,1964,280,0," ",0," "
9,1965,280,0," ",0," "
9,1966,280,0," ",0," "
9,1967,280,0," ",0," "
9,1968,280,10,"F",7,"F"
9,1969,280,15,"F",10,"F"
9,1970,280,150," ",105," "
9,1971,280,1850," ",1308," "
9,1972,280,4672," ",2850," "
9,1973,280,7274," ",4510," "
9,1974,280,8200," ",7850," "
9,1975,280,3922," ",3330," "
9,1976,280,7538," ",5880," "
9,1977,280,2700,"F",2000,"F"
9,1978,280,2040," ",1520," "
9,1979,280,1550," ",1320," "
9,1980,280,900," ",700," "
9,1981,280,650," ",630," "
9,1982,280,2320," ",1860," "
9,1983,280,9300," ",4600," "
9,1984,280,10225," ",5770," "
9,1985,280,13960," ",10400," "
9,1986,280,7300," ",3150," "
9,1987,280,13800," ",6800," "
9,1988,280,21300," ",17900," "
9,1989,280,24205," ",18153," "
9,1990,280,23000," ",15870," "
9,1991,280,20500," ",16500," "
9,1992,280,20000," ",17500," "
9,1993,280,21300," ",15697," "
9,1994,280,11650," ",6700," "
9,1995,280,12350," ",7252," "
9,1996,280,10425," ",6320," "
9,1997,280,19800," ",13300," "
9,1998,280,27000," ",24600," "
9,1999,280,14900," ",9550," "
9,2000,280,34400," ",30850," "
9,2001,280,53400," ",43680," "
9,2002,280,29500," ",23500," "
9,2003,280,22000," ",13300," "
9,2004,280,30400," ",18000," "
9,2005,280,47800," ",50760," "
9,2006,280,25250," ",17800," "
9,2007,280,74300," ",58000," "
9,2008,280,44100," ",33480," "
9,2009,280,96968," ",86991," "
9,2010,280,66100," ",43850," "
9,2011,280,79256," ",56086," "
10,1961,280,3623," ",1560," "
10,1962,280,2304," ",1633," "
10,1963,280,7842," ",5496," "
10,1964,280,19226," ",12644," "
10,1965,280,24393," ",9977," "
10,1966,280,38293," ",24834," "
10,1967,280,42337," ",15927," "
10,1968,280,18767," ",10340," "
10,1969,280,10825," ",4172," "
10,1970,280,27674," ",9351," "
10,1971,280,33809," ",15398," "
10,1972,280,10624," ",4173," "
10,1973,280,12449," ",6860," "
10,1974,280,36238," ",30502," "
10,1975,280,39764," ",18163," "
10,1976,280,12900," ",6300," "
10,1977,280,38971," ",26300," "
10,1978,280,74668," ",57721," "
10,1979,280,53585," ",29974," "
10,1980,280,18333," ",8111," "
10,1981,280,33407," ",19644," "
10,1982,280,11534," ",5281," "
10,1983,280,54854," ",30627," "
10,1984,280,44289," ",32335," "
10,1985,280,47000," ",27704," "
10,1986,280,29746," ",19442," "
10,1987,280,38018," ",25312," "
10,1988,280,47248," ",30984," "
10,1989,280,32866," ",20891," "
10,1990,280,18515," ",10477," "
10,1991,280,38933," ",25701," "
10,1992,280,31769," ",23344," "
10,1993,280,54400," ",45000," "
10,1994,280,30300," ",14500," "
10,1995,280,40107," ",29800," "
10,1996,280,35100," ",21300," "
10,1997,280,15300," ",7600," "
10,1998,280,34200," ",17100," "
10,1999,280,44200," ",36700," "
10,2000,280,14000," ",9000," "
10,2001,280,3600," ",1900," "
10,2002,280,35000," ",26000," "
10,2003,280,41500," ",28000," "
10,2004,280,45000," ",28000," "
10,2005,280,45000," ",28500," "
10,2006,280,18200," ",13942," "
10,2007,280,6100," ",2040," "
10,2008,280,10200," ",7500," "
10,2009,280,12100," ",6200," "
10,2010,280,7800," ",4900," "
10,2011,280,10404," ",6056," "
33,1961,280,0,"M",0,"M"
33,1962,280,0,"M",0,"M"
33,1963,280,0,"M",0,"M"
33,1964,280,0,"M",0,"M"
33,1965,280,0,"M",0,"M"
33,1966,280,0,"M",0,"M"
33,1967,280,0,"M",0,"M"
33,1968,280,0,"M",0,"M"
33,1969,280,0,"M",0,"M"
33,1970,280,0,"M",0,"M"
33,1971,280,0,"M",0,"M"
33,1972,280,0,"M",0,"M"
33,1973,280,0,"M",0,"M"
33,1974,280,0,"M",0,"M"
33,1975,280,0,"M",0,"M"
33,1976,280,0,"M",0,"M"
33,1977,280,0,"M",0,"M"
33,1978,280,0,"M",0,"M"
33,1979,280,0,"M",0,"M"
33,1980,280,0,"M",0,"M"
33,1981,280,0,"M",0,"M"
33,1982,280,0,"M",0,"M"
33,1983,280,0,"M",0,"M"
33,1984,280,0,"M",0,"M"
33,1985,280,0,"M",0,"M"
33,1986,280,0,"M",0,"M"
33,1987,280,0,"M",0,"M"
33,1988,280,0,"M",0,"M"
33,1989,280,2000,"F",500,"F"
33,1990,280,1858,"E",561,"E"
33,1991,280,2058,"E",639,"E"
33,1992,280,1895,"E",570,"E"
33,1993,280,2000," ",500," "
33,1994,280,2000," ",1100," "
33,1995,280,2000," ",2000," "
33,1996,280,800," ",700," "
33,1997,280,1000,"F",1100,"F"
33,1998,280,1200," ",1400," "
33,1999,280,4000," ",3800," "
33,2000,280,4800," ",6700," "
33,2001,280,2400," ",2900," "
33,2002,280,1600," ",1100," "
33,2003,280,2000,"F",2000,"F"
33,2004,280,1493,"E",2277,"E"
33,2005,280,2126,"E",2734,"E"
33,2006,280,2155,"E",2699,"E"
33,2007,280,2404,"E",2592,"E"
33,2008,280,2486,"E",3366,"E"
33,2009,280,2550,"E",3469,"E"
33,2010,280,2586,"E",3500,"E"
33,2011,280,2733,"E",3722,"E"
41,1961,280,0,"M",0,"M"
41,1962,280,0,"M",0,"M"
41,1963,280,0,"M",0,"M"
41,1964,280,0,"M",0,"M"
41,1965,280,0,"M",0,"M"
41,1966,280,0,"M",0,"M"
41,1967,280,0,"M",0,"M"
41,1968,280,0,"M",0,"M"
41,1969,280,0,"M",0,"M"
41,1970,280,0,"M",0,"M"
41,1971,280,0,"M",0,"M"
41,1972,280,0,"M",0,"M"
41,1973,280,0,"M",0,"M"
41,1974,280,0,"M",0,"M"
41,1975,280,0,"M",0,"M"
41,1976,280,0,"M",0,"M"
41,1977,280,0,"M",0,"M"
41,1978,280,0,"M",0,"M"
41,1979,280,0,"M",0,"M"
41,1980,280,0,"M",0,"M"
41,1981,280,0,"M",0,"M"
41,1982,280,0,"M",0,"M"
41,1983,280,0,"M",0,"M"
41,1984,280,0,"M",0,"M"
41,1985,280,0,"M",0,"M"
41,1986,280,0,"M",0,"M"
41,1987,280,0,"M",0,"M"
41,1988,280,0,"M",0,"M"
41,1989,280,0,"M",0,"M"
41,1990,280,0,"M",0,"M"
41,1991,280,0,"M",0,"M"
41,1992,280,8500,"F",15000,"F"
41,1993,280,16500,"*",33000,"*"
41,1994,280,20500,"*",25000,"*"
41,1995,280,21000,"*",30000,"*"
41,1996,280,17000,"*",32000,"*"
41,1997,280,21000,"*",25000,"*"
41,1998,280,12000,"*",25000,"*"
41,1999,280,30000,"*",24000,"*"
41,2000,280,30000,"*",39000,"*"
41,2001,280,19000,"*",30000,"*"
41,2002,280,21000,"F",32000,"*"
41,2003,280,19000,"F",28000,"F"
41,2004,280,22000,"F",30000,"F"
41,2005,280,21000,"F",32000,"F"
41,2006,280,22000,"F",30000,"F"
41,2007,280,21000,"F",32000,"F"
41,2008,280,22000,"F",32500,"F"
41,2009,280,23000,"F",34000,"F"
41,2010,280,22581,"E",33484,"E"
41,2011,280,22056,"E",34708,"E"
62,1961,280,51000," ",26000," "
62,1962,280,51500," ",25800," "
62,1963,280,53500," ",26800," "
62,1964,280,54500," ",27200," "
62,1965,280,56000," ",28000," "
62,1966,280,57200," ",28600," "
62,1967,280,58500," ",30000," "
62,1968,280,59800," ",31700," "
62,1969,280,61100," ",33700," "
62,1970,280,62400," ",36200," "
62,1971,280,63800," ",39300," "
62,1972,280,62500," ",23800," "
62,1973,280,63800," ",24200," "
62,1974,280,64000,"F",30000,"F"
62,1975,280,64000,"F",25000,"F"
62,1976,280,64000,"F",30000,"*"
62,1977,280,64000,"F",30000,"*"
62,1978,280,64000,"F",30000,"*"
62,1979,280,64000,"F",30000,"F"
62,1980,280,65000,"F",31000,"F"
62,1981,280,65000,"F",31000,"F"
62,1982,280,66000,"F",32000,"F"
62,1983,280,66000,"F",32000,"F"
62,1984,280,66000,"F",32000,"F"
62,1985,280,66000,"F",32000,"F"
62,1986,280,66500,"F",32500,"F"
62,1987,280,67000,"F",33000,"F"
62,1988,280,67500,"F",33500,"F"
62,1989,280,68000,"F",34000,"F"
62,1990,280,74093,"E",36473,"E"
62,1991,280,68500,"F",34500,"F"
62,1992,280,69000,"F",35000,"F"
62,1993,280,0,"F",0,"F"
62,1994,280,0,"F",0,"F"
62,1995,280,0,"T",0,"T"
62,1996,280,0,"T",0,"T"
62,1997,280,0,"T",0,"T"
62,1998,280,0,"T",0,"T"
62,1999,280,0,"T",0,"T"
62,2000,280,0,"T",0,"T"
62,2001,280,0,"T",0,"T"
62,2002,280,0,"T",0,"T"
62,2003,280,0,"T",0,"T"
62,2004,280,0,"T",0,"T"
62,2005,280,0,"T",0,"T"
62,2006,280,0,"T",0,"T"
62,2007,280,0,"T",0,"T"
62,2008,280,0,"T",0,"T"
62,2009,280,0,"T",0,"T"
62,2010,280,0,"T",0,"T"
62,2011,280,0,"T",0,"T"
97,1961,280,0,"M",0,"M"
97,1962,280,0,"M",0,"M"
97,1963,280,0,"M",0,"M"
