"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,328,76892," ",52300,"*"
2,1962,328,91056," ",80000,"*"
2,1963,328,121408," ",113000,"*"
2,1964,328,121408," ",80000,"*"
2,1965,328,80939," ",77000,"*"
2,1966,328,48000," ",63000,"*"
2,1967,328,52800," ",71000,"*"
2,1968,328,54600," ",73000,"*"
2,1969,328,55000," ",88000,"*"
2,1970,328,54300," ",78000,"*"
2,1971,328,54000," ",65000,"*"
2,1972,328,51600," ",60000,"*"
2,1973,328,74800," ",111000,"*"
2,1974,328,138000," ",149000,"*"
2,1975,328,112000," ",164000,"*"
2,1976,328,128000," ",163000,"*"
2,1977,328,128000," ",140000,"*"
2,1978,328,112000," ",135000,"*"
2,1979,328,84000," ",108000,"*"
2,1980,328,45000," ",67000,"*"
2,1981,328,73000," ",62000,"*"
2,1982,328,66700," ",46000,"*"
2,1983,328,68000," ",51000,"*"
2,1984,328,68000," ",70000,"*"
2,1985,328,75000," ",56000,"*"
2,1986,328,69300," ",65000,"*"
2,1987,328,40000,"*",40000," "
2,1988,328,45000,"*",45000," "
2,1989,328,55000," ",36000,"*"
2,1990,328,28000," ",29000,"*"
2,1991,328,60000,"*",68000,"*"
2,1992,328,60000,"*",68000,"*"
2,1993,328,60000,"*",68000,"*"
2,1994,328,60000,"*",68000,"*"
2,1995,328,60000,"*",68000,"*"
2,1996,328,60000,"*",68000,"*"
2,1997,328,60000,"*",68000,"*"
2,1998,328,60000,"*",68000,"*"
2,1999,328,60000,"*",68000,"*"
2,2000,328,50000,"*",57000,"*"
2,2001,328,50000,"*",57000,"*"
2,2002,328,50000,"*",57000,"*"
2,2003,328,30000," ",33000,"*"
2,2004,328,25500," ",28000,"*"
2,2005,328,30000," ",33000,"*"
2,2006,328,31950," ",32000," "
2,2007,328,35000," ",35051," "
2,2008,328,35000," ",35000," "
2,2009,328,33000," ",42872," "
2,2010,328,33000," ",33000," "
2,2011,328,33000," ",33000," "
3,1961,328,22916," ",17500," "
3,1962,328,21913," ",17700," "
3,1963,328,22956," ",22000," "
3,1964,328,23073," ",22000," "
3,1965,328,22765," ",24568," "
3,1966,328,22728," ",24645," "
3,1967,328,22662," ",21895," "
3,1968,328,22115," ",12610," "
3,1969,328,21886," ",15065," "
3,1970,328,21994," ",15235," "
3,1971,328,21779," ",13539," "
3,1972,328,22000,"F",16800,"F"
3,1973,328,23000," ",20000," "
3,1974,328,23300,"F",20200,"F"
3,1975,328,23300,"F",20500," "
3,1976,328,23500,"F",21000,"F"
3,1977,328,22000,"F",22000,"F"
3,1978,328,21500,"F",22600,"F"
3,1979,328,21000," ",23345," "
3,1980,328,20800," ",16000," "
3,1981,328,20900," ",20700," "
3,1982,328,19900," ",20900," "
3,1983,328,17600," ",16000," "
3,1984,328,16000,"F",20000,"F"
3,1985,328,15000," ",26000," "
3,1986,328,15000," ",25000," "
3,1987,328,14000," ",23000," "
3,1988,328,15000," ",14000," "
3,1989,328,12000," ",17000," "
3,1990,328,12000," ",12000," "
3,1991,328,2000," ",1000," "
3,1992,328,1300," ",1000," "
3,1993,328,200," ",200," "
3,1994,328,200,"F",190,"F"
3,1995,328,300,"F",290,"F"
3,1996,328,500,"F",480,"F"
