"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,289,33200,"F",19000,"F"
2,1962,289,33200,"F",19200,"*"
2,1963,289,33200,"F",19200,"*"
2,1964,289,33200,"F",19200,"*"
2,1965,289,33200,"F",19800,"*"
2,1966,289,33200,"F",21000,"*"
2,1967,289,33200,"*",21000,"*"
2,1968,289,32800,"*",21600,"*"
2,1969,289,33200,"*",22200,"*"
2,1970,289,33200,"*",21000,"*"
2,1971,289,33600,"*",16800,"*"
2,1972,289,34000,"*",20400,"*"
2,1973,289,36000,"*",22800,"*"
2,1974,289,35760,"*",24000,"*"
2,1975,289,40000,"*",24000,"*"
2,1976,289,40000,"*",24000,"*"
2,1977,289,40000,"*",21600,"*"
2,1978,289,40000,"*",21000,"*"
2,1979,289,47200,"*",25200,"*"
2,1980,289,47600,"*",25800,"*"
2,1981,289,48000,"*",26400,"*"
2,1982,289,49200,"*",27000,"*"
2,1983,289,48000,"*",27000,"*"
2,1984,289,48000,"*",27000,"*"
2,1985,289,48000,"*",27000,"*"
2,1986,289,48000,"*",27000,"*"
2,1987,289,46000,"F",26400,"F"
2,1988,289,44000,"F",25800,"F"
2,1989,289,42000,"F",25200,"F"
2,1990,289,40000,"F",24600,"F"
2,1991,289,36000,"F",24000,"F"
2,1992,289,36000,"*",28000,"*"
2,1993,289,36000,"*",24000,"*"
2,1994,289,36000,"*",26000,"*"
2,1995,289,36000,"*",24000,"*"
2,1996,289,36000,"*",22000,"*"
2,1997,289,35000,"*",22000,"*"
2,1998,289,35000,"*",22000,"*"
2,1999,289,35000,"*",23000,"*"
2,2000,289,35000,"*",23000,"*"
2,2001,289,35000,"*",23000,"*"
2,2002,289,35000,"*",23000,"*"
2,2003,289,44000,"*",30000,"*"
2,2004,289,45000,"*",31000,"*"
2,2005,289,47000,"*",32000,"*"
2,2006,289,47000,"*",32000,"*"
2,2007,289,47000,"*",32000,"*"
2,2008,289,47000,"*",32000,"*"
2,2009,289,47000,"*",32000,"*"
2,2010,289,47000,"*",32000,"*"
2,2011,289,47000,"*",32000,"*"
7,1961,289,6000,"F",1600,"F"
7,1962,289,6000,"F",1600,"F"
7,1963,289,6000,"F",1800,"F"
7,1964,289,7000,"F",3000,"F"
7,1965,289,7000,"F",2500,"F"
7,1966,289,7000,"F",2800,"F"
7,1967,289,7000,"F",2400,"F"
7,1968,289,6000,"F",2000,"F"
7,1969,289,6000,"F",1500," "
7,1970,289,6000,"F",3000,"F"
7,1971,289,6000,"F",2000,"F"
7,1972,289,6000,"F",2000,"F"
7,1973,289,6000,"F",2000,"F"
7,1974,289,6000,"F",2000,"*"
7,1975,289,6000,"F",2000,"F"
7,1976,289,6000,"F",2000,"F"
7,1977,289,7000,"F",2500,"F"
7,1978,289,7000,"F",2000,"F"
7,1979,289,7000,"F",2000,"F"
7,1980,289,7000,"F",2000,"F"
7,1981,289,7000,"F",2000,"F"
7,1982,289,7000,"F",2000,"F"
7,1983,289,7000,"F",2000,"F"
7,1984,289,7000,"F",2000,"F"
7,1985,289,7000,"F",2000,"F"
7,1986,289,7000,"F",2000,"F"
7,1987,289,7000,"F",2000,"F"
7,1988,289,7000,"F",2000,"F"
7,1989,289,7000,"F",2000,"F"
7,1990,289,7389,"E",2080,"E"
7,1991,289,7778,"E",2160,"E"
7,1992,289,8750,"E",2360,"E"
7,1993,289,7893,"E",2178,"E"
7,1994,289,9569,"E",1900,"F"
7,1995,289,6500,"F",1700,"F"
7,1996,289,6659,"E",1800,"F"
7,1997,289,6800,"F",1900,"F"
7,1998,289,7000,"F",2000,"F"
7,1999,289,6500,"F",1700,"F"
7,2000,289,6615,"E",1915,"E"
7,2001,289,6322,"E",2233,"E"
7,2002,289,6470,"E",2062,"E"
7,2003,289,6544,"E",2107,"E"
7,2004,289,6620,"E",2152,"E"
7,2005,289,6497,"E",1888,"E"
7,2006,289,6548,"E",1917,"E"
7,2007,289,6501,"E",2112,"E"
7,2008,289,6864,"E",2106,"E"
7,2009,289,10693,"E",2041,"E"
7,2010,289,10982,"E",3200,"E"
7,2011,289,12100,"F",3300,"F"
16,1961,289,57466," ",26416," "
16,1962,289,53014," ",26416," "
16,1963,289,52205," ",25400," "
16,1964,289,50991," ",22352," "
16,1965,289,50182," ",24384," "
16,1966,289,50200," ",27400," "
16,1967,289,52200," ",30500," "
16,1968,289,53000," ",31500," "
16,1969,289,50200," ",30500," "
16,1970,289,44900," ",27400," "
16,1971,289,47515," ",28977," "
16,1972,289,47723," ",25869," "
16,1973,289,43530," ",25447," "
16,1974,289,51062," ",28439," "
16,1975,289,54301," ",28876," "
16,1976,289,51568," ",27743," "
16,1977,289,54838," ",29958," "
16,1978,289,80000,"F",52000,"F"
16,1979,289,95000,"F",50000,"F"
16,1980,289,90000,"F",48000,"F"
16,1981,289,1e+05,"F",55000,"F"
16,1982,289,1e+05,"F",58000,"F"
16,1983,289,102298," ",56643," "
16,1984,289,85566," ",46251," "
16,1985,289,92001," ",53716," "
16,1986,289,84551," ",49059," "
16,1987,289,81987," ",49027," "
16,1988,289,81487," ",45239," "
16,1989,289,86386," ",49290," "
16,1990,289,83088," ",48610," "
16,1991,289,80561," ",45220," "
16,1992,289,82487," ",49463," "
16,1993,289,65900," ",58000," "
16,1994,289,79758," ",48440," "
16,1995,289,80086," ",49595," "
16,1996,289,84200," ",48745," "
16,1997,289,79725," ",48925," "
16,1998,289,79654," ",49030," "
16,1999,289,37300," ",22000," "
16,2000,289,36800," ",22000," "
16,2001,289,36800," ",22000," "
16,2002,289,39000," ",25000," "
16,2003,289,39000," ",25500," "
16,2004,289,38900," ",37200," "
16,2005,289,30700," ",39200," "
16,2006,289,36043," ",29180," "
16,2007,289,33525," ",27038," "
16,2008,289,32932," ",28461," "
16,2009,289,35551," ",32306," "
16,2010,289,36000,"*",32000,"*"
16,2011,289,37000,"*",33000,"*"
21,1961,289,5200,"F",3000,"F"
21,1962,289,8000,"F",4500,"F"
21,1963,289,2600,"F",1500,"F"
21,1964,289,5200,"F",3000,"F"
21,1965,289,6000,"F",3500,"F"
21,1966,289,1700,"F",1000,"F"
21,1967,289,8700,"F",5000,"F"
21,1968,289,1700,"F",1000,"F"
21,1969,289,2600,"F",1500,"F"
21,1970,289,7000,"F",4000,"F"
21,1971,289,6000,"F",3500,"F"
21,1972,289,4500,"F",2500,"F"
21,1973,289,4500,"F",2500,"F"
21,1974,289,4500,"F",2500,"F"
21,1975,289,4500,"F",2500,"F"
21,1976,289,4500,"F",2500,"F"
21,1977,289,4500,"F",2500,"F"
21,1978,289,5000,"*",3000,"*"
21,1979,289,5000,"*",3000,"*"
21,1980,289,5000,"*",3000,"*"
21,1981,289,5000,"*",3000,"*"
21,1982,289,5000,"*",3000,"*"
21,1983,289,5000,"*",3000,"*"
21,1984,289,5000,"*",3000,"*"
21,1985,289,5000,"*",3000,"*"
21,1986,289,5000,"*",3000,"*"
21,1987,289,5000,"*",3000,"*"
21,1988,289,7000,"*",4000,"*"
21,1989,289,20000,"*",12000,"*"
21,1990,289,20000,"*",12000,"*"
21,1991,289,20000,"*",12000,"*"
21,1992,289,20000,"*",13000,"*"
21,1993,289,21000,"*",13000,"*"
21,1994,289,22000,"*",13000,"*"
21,1995,289,22000,"*",13000,"*"
21,1996,289,22000,"*",13000,"*"
21,1997,289,22000,"*",13000,"*"
21,1998,289,22000,"*",13000,"*"
21,1999,289,24000,"*",15000,"*"
21,2000,289,24000,"*",15000,"*"
21,2001,289,24000,"*",15000,"*"
21,2002,289,24000,"*",15000,"*"
21,2003,289,24000,"*",15000,"*"
21,2004,289,24000,"*",15000,"*"
21,2005,289,25000,"*",16000,"*"
21,2006,289,25000,"*",16000,"*"
21,2007,289,11000,"*",7000,"*"
21,2008,289,10000,"*",7000,"*"
21,2009,289,9000,"*",6000,"*"
21,2010,289,8000,"*",5000,"*"
21,2011,289,9000,"*",6000,"*"
27,1961,289,1736," ",95," "
27,1962,289,2013," ",196," "
27,1963,289,2169," ",262," "
27,1964,289,2360," ",318," "
27,1965,289,413," ",46," "
27,1966,289,4175," ",636," "
27,1967,289,5724," ",1267," "
27,1968,289,4736," ",645," "
27,1969,289,3396," ",290," "
27,1970,289,2588," ",337," "
27,1971,289,3242," ",168," "
27,1972,289,2246," ",200," "
27,1973,289,2286," ",197," "
27,1974,289,2325," ",269," "
27,1975,289,2480," ",163," "
27,1976,289,2719," ",29," "
27,1977,289,2391," ",39," "
27,1978,289,1461," ",52," "
27,1979,289,1156," ",37," "
27,1980,289,0," ",0," "
27,1981,289,0," ",0," "
27,1982,289,0," ",0," "
27,1983,289,0," ",0," "
27,1984,289,0," ",0," "
27,1985,289,0," ",0," "
27,1986,289,0," ",0," "
27,1987,289,0," ",0," "
27,1988,289,0," ",0," "
27,1989,289,0," ",0," "
27,1990,289,0," ",0," "
27,1991,289,0," ",0," "
27,1992,289,0," ",0," "
27,1993,289,0,"M",0,"M"
27,1994,289,0,"M",0,"M"
27,1995,289,0,"M",0,"M"
27,1996,289,0,"M",0,"M"
27,1997,289,0,"M",0,"M"
27,1998,289,0,"M",0,"M"
27,1999,289,0,"M",0,"M"
27,2000,289,0,"M",0,"M"
27,2001,289,0,"M",0,"M"
27,2002,289,0,"M",0,"M"
27,2003,289,0,"M",0,"M"
27,2004,289,0,"M",0,"M"
27,2005,289,0,"M",0,"M"
27,2006,289,0,"M",0,"M"
27,2007,289,0,"M",0,"M"
27,2008,289,0,"M",0,"M"
27,2009,289,0,"M",0,"M"
27,2010,289,0,"M",0,"M"
27,2011,289,0,"M",0,"M"
28,1961,289,419457," ",64738," "
28,1962,289,447712," ",76478," "
28,1963,289,464769," ",84908," "
28,1964,289,383405," ",53848," "
28,1965,289,703119," ",100400," "
28,1966,289,478727," ",57780," "
28,1967,289,477889," ",56611," "
28,1968,289,645912," ",107925," "
28,1969,289,561703," ",83117," "
28,1970,289,664096," ",101707," "
28,1971,289,793243," ",132108," "
28,1972,289,698384," ",113439," "
28,1973,289,496694," ",70702," "
28,1974,289,794402," ",154795," "
28,1975,289,655534," ",95144," "
28,1976,289,664237," ",134345," "
28,1977,289,598291," ",92523," "
28,1978,289,605677," ",111102," "
28,1979,289,957739," ",209557," "
28,1980,289,630724," ",109941," "
28,1981,289,712995," ",157158," "
28,1982,289,772620," ",179791," "
28,1983,289,935562," ",198095," "
28,1984,289,769632," ",206760," "
28,1985,289,1005652," ",252814," "
28,1986,289,1001106," ",248226," "
28,1987,289,798132," ",198843," "
28,1988,289,628500," ",169957," "
28,1989,289,644095," ",144839," "
28,1990,289,924546," ",206832," "
28,1991,289,993191," ",215752," "
28,1992,289,802871," ",170522," "
28,1993,289,991900," ",237110," "
28,1994,289,946200," ",223327," "
28,1995,289,1131900," ",304163," "
28,1996,289,990900," ",303546," "
28,1997,289,1015240," ",344045," "
28,1998,289,774199," ",296024," "
28,1999,289,704555," ",210047," "
28,2000,289,964000," ",295515," "
28,2001,289,1240000," ",376000," "
28,2002,289,1159000," ",399284," "
28,2003,289,1267000," ",501090," "
28,2004,289,1328000," ",541500," "
28,2005,289,1337900," ",503790," "
28,2006,289,1187000," ",689900," "
28,2007,289,1367000," ",780520," "
28,2008,289,1431000," ",840000," "
28,2009,289,1569179," ",853393," "
28,2010,289,1632363," ",867765," "
28,2011,289,1594051," ",901230," "
32,1961,289,7760," ",2532," "
32,1962,289,7430," ",4635," "
32,1963,289,7700," ",2389," "
32,1964,289,6522," ",3231," "
32,1965,289,5747," ",1583," "
32,1966,289,4832," ",1974," "
32,1967,289,10436," ",3449," "
32,1968,289,11207," ",3770," "
32,1969,289,14072," ",5140," "
32,1970,289,14637," ",5047," "
32,1971,289,17815," ",6787," "
32,1972,289,11250," ",5700," "
32,1973,289,10877," ",5055," "
32,1974,289,9676," ",5698," "
32,1975,289,15000,"F",8333," "
32,1976,289,28000,"F",14141," "
32,1977,289,30000,"F",15624," "
32,1978,289,30000,"F",5532," "
32,1979,289,30000,"F",5450," "
32,1980,289,27000,"F",5000,"F"
32,1981,289,27000,"F",5000,"F"
32,1982,289,27000,"F",5000,"F"
32,1983,289,27000,"F",5000,"F"
32,1984,289,27000,"F",5000,"F"
32,1985,289,27000,"F",5000,"F"
32,1986,289,26000,"F",4000,"F"
32,1987,289,26000,"F",4000,"F"
32,1988,289,26000,"F",4000,"F"
32,1989,289,26000,"F",4000,"F"
32,1990,289,26305,"E",4214,"E"
32,1991,289,26054,"E",4349,"E"
32,1992,289,26613,"E",4475,"E"
