"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
7,1961,789,50000,"F",58800," "
7,1962,789,50000,"F",70000," "
7,1963,789,50000,"F",63000," "
7,1964,789,50000,"F",68000," "
7,1965,789,50000,"F",69589," "
7,1966,789,50000,"F",67670," "
7,1967,789,50000,"F",59893," "
7,1968,789,50000,"F",66000," "
7,1969,789,50000,"F",66800," "
7,1970,789,50000,"F",61700," "
7,1971,789,50000,"F",65100," "
7,1972,789,60000,"F",80000," "
7,1973,789,40000,"F",62000," "
7,1974,789,50000,"F",70000,"*"
7,1975,789,30000,"F",40000,"*"
7,1976,789,20000,"F",25000,"*"
7,1977,789,14000,"F",20000,"*"
7,1978,789,14000,"F",20000,"*"
7,1979,789,9000,"F",13000,"F"
7,1980,789,3500,"F",5000,"F"
7,1981,789,3000,"F",4000,"F"
7,1982,789,4000,"F",6000,"F"
7,1983,789,2000,"F",3000,"F"
7,1984,789,700,"F",1000,"*"
7,1985,789,700,"F",1000,"*"
7,1986,789,700,"F",1000,"*"
7,1987,789,700,"F",1000,"*"
7,1988,789,700,"F",1000," "
7,1989,789,700,"F",1000," "
7,1990,789,775,"E",1000," "
7,1991,789,700,"F",1000," "
7,1992,789,400,"F",500,"*"
7,1993,789,400,"F",500,"*"
7,1994,789,400,"F",676,"E"
7,1995,789,400,"F",759,"E"
7,1996,789,450,"F",550,"F"
7,1997,789,500,"F",600,"F"
7,1998,789,489,"E",650,"F"
7,1999,789,450,"F",500,"F"
7,2000,789,464,"E",473,"E"
7,2001,789,450,"F",529,"E"
7,2002,789,450,"F",533,"E"
7,2003,789,526,"E",383,"E"
7,2004,789,438,"E",404,"E"
7,2005,789,450,"F",434,"E"
7,2006,789,450,"F",447,"E"
7,2007,789,450,"F",459,"E"
7,2008,789,450,"F",461,"E"
7,2009,789,578,"E",500,"F"
7,2010,789,578,"F",540,"F"
7,2011,789,578,"F",622,"E"
21,1961,789,197000," ",164200," "
21,1962,789,209000," ",174000," "
21,1963,789,242000," ",172100," "
21,1964,789,289000," ",178100," "
21,1965,789,326000," ",195000," "
21,1966,789,320000," ",190000," "
21,1967,789,310000,"F",185000," "
21,1968,789,310000,"F",180000," "
21,1969,789,310000,"F",205000," "
21,1970,789,310000,"F",205000," "
21,1971,789,272656," ",277744," "
21,1972,789,295565," ",295965," "
21,1973,789,248349," ",260824," "
21,1974,789,263704," ",290479," "
21,1975,789,326982," ",314314," "
21,1976,789,280715," ",166438," "
21,1977,789,295776," ",225246," "
21,1978,789,269636," ",201786," "
21,1979,789,287886," ",228191," "
21,1980,789,296081," ",234981," "
21,1981,789,312546," ",239203," "
21,1982,789,345279," ",251325," "
21,1983,789,306661," ",180859," "
21,1984,789,320350," ",224760," "
21,1985,789,332605," ",290901," "
21,1986,789,322311," ",246232," "
21,1987,789,296181," ",191294," "
21,1988,789,273495," ",189654," "
21,1989,789,270757," ",221231," "
21,1990,789,249109," ",185156," "
21,1991,789,300263," ",233721," "
21,1992,789,264201," ",204227," "
21,1993,789,179105," ",126076," "
21,1994,789,164793," ",118056," "
21,1995,789,152040," ",118056," "
21,1996,789,136469," ",121436," "
21,1997,789,152923," ",137887," "
21,1998,789,161277," ",115816," "
21,1999,789,182700," ",193673," "
21,2000,789,194514," ",194463," "
21,2001,789,204233," ",181475," "
21,2002,789,202805," ",171266," "
21,2003,789,221638," ",187008," "
21,2004,789,233224," ",199322," "
21,2005,789,240019," ",213082," "
21,2006,789,279584," ",248111," "
21,2007,789,278027," ",245389," "
21,2008,789,282452," ",246239," "
21,2009,789,273277," ",280005," "
21,2010,789,264016," ",246535," "
21,2011,789,285724," ",283797," "
37,1961,789,5000,"F",500," "
37,1962,789,5000," ",100," "
37,1963,789,5000," ",200," "
37,1964,789,5000,"F",200,"F"
37,1965,789,5000,"F",200," "
37,1966,789,500," ",200,"F"
37,1967,789,500,"F",200,"F"
37,1968,789,500,"F",200,"F"
37,1969,789,500,"F",200,"F"
37,1970,789,500,"F",200,"F"
37,1971,789,500,"F",200,"F"
37,1972,789,500,"F",200,"F"
37,1973,789,500,"F",200,"F"
37,1974,789,500," ",200,"F"
37,1975,789,500,"F",200,"F"
37,1976,789,500,"F",200,"F"
37,1977,789,500,"F",200,"F"
37,1978,789,500,"F",200,"F"
37,1979,789,500,"F",200,"F"
37,1980,789,500,"F",200,"F"
37,1981,789,500,"F",200,"F"
37,1982,789,600,"F",220,"F"
37,1983,789,630,"F",230,"F"
37,1984,789,640,"F",240,"F"
37,1985,789,650,"F",240,"F"
37,1986,789,650,"F",250,"F"
37,1987,789,660,"F",250,"F"
37,1988,789,680,"F",260,"F"
37,1989,789,700,"F",270,"F"
37,1990,789,719,"F",275,"F"
37,1991,789,735,"F",280,"F"
37,1992,789,740,"F",285,"F"
37,1993,789,750,"F",290,"F"
37,1994,789,800,"F",300,"F"
37,1995,789,789,"E",362,"E"
37,1996,789,800,"F",305,"F"
37,1997,789,706,"E",310,"F"
37,1998,789,691,"E",315,"F"
37,1999,789,810,"F",320,"F"
37,2000,789,820,"F",325,"F"
37,2001,789,830,"F",330,"F"
37,2002,789,831,"E",335,"F"
37,2003,789,886,"E",241,"E"
37,2004,789,840,"F",340,"F"
37,2005,789,840,"F",304,"E"
37,2006,789,840,"F",183,"E"
37,2007,789,840,"F",174,"E"
37,2008,789,840,"F",172,"E"
37,2009,789,1080,"E",175,"F"
37,2010,789,1100,"F",205,"E"
37,2011,789,1150,"F",236,"E"
41,1961,789,8000,"F",8000,"F"
41,1962,789,8000,"F",8000,"F"
41,1963,789,8000,"F",8000,"F"
41,1964,789,8000,"F",8000,"F"
41,1965,789,8000,"F",8000,"F"
41,1966,789,8000,"F",9000,"F"
41,1967,789,8000,"F",10000,"F"
41,1968,789,8000,"F",10000,"F"
41,1969,789,8000,"F",10000,"F"
41,1970,789,8000,"F",11000,"F"
41,1971,789,9000,"F",12000,"F"
41,1972,789,10000,"F",12000,"F"
41,1973,789,10000,"F",12000,"F"
41,1974,789,10000,"F",12000,"F"
41,1975,789,10000,"F",12000,"F"
41,1976,789,10000,"F",12000,"F"
41,1977,789,10000,"F",12000,"F"
41,1978,789,10000,"F",13000,"F"
41,1979,789,10000,"F",14000,"F"
41,1980,789,10000,"F",14000,"F"
41,1981,789,10000,"F",14000,"F"
41,1982,789,11000,"F",14000,"F"
41,1983,789,11000,"F",14000,"F"
41,1984,789,12000,"F",16000,"*"
41,1985,789,17000," ",22087," "
41,1986,789,17000," ",21813," "
41,1987,789,12000,"F",16000,"*"
41,1988,789,12000,"F",16000,"*"
41,1989,789,14000," ",20353," "
41,1990,789,13000," ",30000," "
41,1991,789,13000," ",28472," "
41,1992,789,13000," ",29000," "
41,1993,789,16000," ",38858," "
41,1994,789,15000," ",40854," "
41,1995,789,12440," ",43442," "
41,1996,789,11500," ",27882," "
41,1997,789,14200," ",38363," "
41,1998,789,12220," ",36952," "
41,1999,789,11320," ",36816," "
41,2000,789,9700," ",36753," "
41,2001,789,4000," ",12975," "
41,2002,789,3800,"*",16000,"*"
41,2003,789,3000,"*",17000,"*"
41,2004,789,4200,"*",27000,"*"
41,2005,789,3100,"*",13000,"*"
41,2006,789,3000,"*",12500,"*"
41,2007,789,3200,"*",14000,"*"
41,2008,789,3300,"F",16000,"F"
41,2009,789,3400,"F",16500,"F"
41,2010,789,3500,"F",17000,"F"
41,2011,789,3400,"F",16000,"F"
45,1961,789,1000,"F",692," "
45,1962,789,1700,"F",1249," "
45,1963,789,1600,"F",1177," "
45,1964,789,1400,"F",902," "
45,1965,789,1200,"F",776," "
45,1966,789,1000,"F",438," "
45,1967,789,1000,"F",526,"*"
45,1968,789,900,"F",355,"*"
45,1969,789,800,"F",218,"*"
45,1970,789,700,"F",195,"*"
45,1971,789,600,"F",87,"*"
45,1972,789,0,"F",0,"F"
45,1973,789,0," ",0," "
45,1974,789,0,"F",0,"F"
45,1975,789,0,"F",0,"F"
45,1976,789,0,"F",0,"F"
45,1977,789,0,"F",0,"F"
45,1978,789,0,"F",0,"F"
45,1979,789,0,"F",0,"F"
45,1980,789,0,"F",0,"F"
45,1981,789,0," ",0," "
45,1982,789,0," ",0," "
45,1983,789,0," ",0," "
45,1984,789,0," ",0," "
45,1985,789,0," ",0," "
45,1986,789,0," ",0," "
45,1987,789,0," ",0," "
45,1988,789,0," ",0," "
45,1989,789,0," ",0," "
45,1990,789,0," ",0," "
45,1991,789,0," ",0," "
45,1992,789,0," ",0," "
45,1993,789,0,"M",0,"M"
45,1994,789,0,"M",0,"M"
45,1995,789,0,"M",0,"M"
45,1996,789,0,"M",0,"M"
45,1997,789,0,"M",0,"M"
45,1998,789,0,"M",0,"M"
45,1999,789,0,"M",0,"M"
45,2000,789,0,"M",0,"M"
45,2001,789,0,"M",0,"M"
45,2002,789,0,"M",0,"M"
45,2003,789,0,"M",0,"M"
45,2004,789,0,"M",0,"M"
45,2005,789,0,"M",0,"M"
45,2006,789,0,"M",0,"M"
45,2007,789,0,"M",0,"M"
45,2008,789,0,"M",0,"M"
45,2009,789,0,"M",0,"M"
45,2010,789,0,"M",0,"M"
45,2011,789,0,"M",0,"M"
49,1961,789,0," ",0," "
49,1962,789,0," ",0," "
49,1963,789,0," ",0," "
49,1964,789,0," ",0," "
49,1965,789,0," ",0," "
49,1966,789,0," ",0," "
49,1967,789,0," ",0," "
49,1968,789,0," ",0," "
49,1969,789,0," ",0," "
49,1970,789,5500,"F",6100," "
49,1971,789,5500,"F",6300," "
49,1972,789,5000,"F",4900," "
49,1973,789,5600,"F",6177," "
49,1974,789,6200,"F",7147," "
49,1975,789,6500,"F",7933," "
49,1976,789,6500,"F",7937," "
49,1977,789,6000,"F",6106," "
49,1978,789,6000,"F",6144," "
49,1979,789,5900,"F",5518," "
49,1980,789,5900,"F",5694," "
49,1981,789,4908," ",3683," "
49,1982,789,4394," ",5760," "
49,1983,789,4531," ",6289," "
49,1984,789,4690," ",6242," "
49,1985,789,5034," ",6433," "
49,1986,789,5219," ",6815," "
49,1987,789,4645," ",7006," "
49,1988,789,4987," ",6629," "
49,1989,789,3958," ",6731," "
49,1990,789,5000,"F",6700,"F"
49,1991,789,5880,"E",7179,"E"
49,1992,789,5760,"E",7498,"E"
49,1993,789,3955,"E",6521,"E"
49,1994,789,3850,"E",4728,"E"
49,1995,789,4700,"F",6000,"F"
49,1996,789,4261,"E",6007,"E"
49,1997,789,4532,"E",7061,"E"
49,1998,789,4681,"E",5928,"E"
49,1999,789,700,"F",120,"F"
49,2000,789,800,"F",140,"F"
49,2001,789,950,"F",160,"F"
49,2002,789,1070," ",187," "
49,2003,789,1683," ",285," "
49,2004,789,1144," ",200," "
49,2005,789,1300,"F",230,"F"
49,2006,789,1510,"E",266,"E"
49,2007,789,1500,"E",337,"E"
49,2008,789,1524,"E",326,"E"
49,2009,789,1474,"E",404,"E"
49,2010,789,1424,"E",356,"E"
49,2011,789,1541,"E",410,"E"
56,1961,789,3500,"F",1636," "
56,1962,789,2000,"F",903," "
56,1963,789,2000,"F",878," "
56,1964,789,1300,"F",582," "
56,1965,789,950,"F",423," "
56,1966,789,900,"F",400," "
56,1967,789,850,"F",380," "
56,1968,789,750,"F",340," "
56,1969,789,700,"F",320," "
56,1970,789,650,"F",300," "
56,1971,789,600,"F",280," "
56,1972,789,580,"F",260," "
56,1973,789,580,"F",240," "
56,1974,789,580,"F",240,"F"
56,1975,789,580,"F",240,"F"
56,1976,789,580,"F",240,"F"
56,1977,789,580,"F",240,"F"
56,1978,789,580,"F",240,"F"
56,1979,789,580,"F",240,"F"
56,1980,789,580,"F",240,"F"
56,1981,789,580,"F",240,"F"
56,1982,789,580,"F",240,"F"
56,1983,789,580,"F",240,"F"
56,1984,789,534," ",197," "
56,1985,789,530,"F",189," "
56,1986,789,480,"F",171," "
56,1987,789,500,"F",181," "
56,1988,789,560,"F",198," "
56,1989,789,560,"F",208," "
56,1990,789,522,"E",210," "
56,1991,789,614,"E",225," "
56,1992,789,601,"E",235," "
56,1993,789,413,"E",235," "
56,1994,789,402,"E",226," "
56,1995,789,510,"F",206," "
56,1996,789,1100,"F",436," "
56,1997,789,900,"F",366," "
56,1998,789,780,"F",307," "
56,1999,789,650,"F",256," "
56,2000,789,676,"E",266," "
56,2001,789,1130,"F",453," "
56,2002,789,1200,"F",500,"F"
56,2003,789,1350,"F",550,"F"
56,2004,789,1100,"F",350,"F"
56,2005,789,1000,"F",280,"F"
56,2006,789,850,"F",200,"F"
56,2007,789,730,"F",160,"F"
56,2008,789,650,"F",100,"F"
56,2009,789,600,"F",96.97904382," "
56,2010,789,500,"F",58.06041912," "
56,2011,789,420,"F",40.00725755," "
62,1961,789,1500," ",1000," "
62,1962,789,1500," ",1000," "
62,1963,789,1600," ",1100," "
62,1964,789,2500," ",1800," "
62,1965,789,3000," ",2100," "
62,1966,789,3100," ",2200," "
62,1967,789,3200," ",2200," "
62,1968,789,3400," ",2500," "
62,1969,789,3700," ",2000,"*"
62,1970,789,2500,"F",1500,"*"
62,1971,789,2500,"F",1500,"*"
62,1972,789,1800,"F",1000,"*"
62,1973,789,1800,"F",1000,"*"
62,1974,789,1000,"F",500,"*"
62,1975,789,1000,"F",500,"*"
62,1976,789,1000,"F",400,"*"
62,1977,789,1000,"F",400,"*"
62,1978,789,1200,"F",800,"F"
62,1979,789,1200,"F",800,"F"
62,1980,789,1200,"F",800,"F"
62,1981,789,1200,"F",800,"F"
62,1982,789,1200,"F",800,"F"
62,1983,789,1200,"F",800,"F"
62,1984,789,1200,"F",800,"F"
62,1985,789,1200,"F",800,"F"
62,1986,789,1200,"F",800,"F"
62,1987,789,1200,"F",800,"F"
62,1988,789,1200,"F",830," "
62,1989,789,1200,"F",840,"F"
62,1990,789,1329,"E",887,"E"
62,1991,789,1100,"F",800,"*"
62,1992,789,736,"E",800,"*"
62,1993,789,0,"F",0,"F"
62,1994,789,0,"F",0,"F"
62,1995,789,0,"T",0,"T"
62,1996,789,0,"T",0,"T"
62,1997,789,0,"T",0,"T"
62,1998,789,0,"T",0,"T"
62,1999,789,0,"T",0,"T"
62,2000,789,0,"T",0,"T"
62,2001,789,0,"T",0,"T"
62,2002,789,0,"T",0,"T"
62,2003,789,0,"T",0,"T"
62,2004,789,0,"T",0,"T"
62,2005,789,0,"T",0,"T"
62,2006,789,0,"T",0,"T"
62,2007,789,0,"T",0,"T"
62,2008,789,0,"T",0,"T"
62,2009,789,0,"T",0,"T"
62,2010,789,0,"T",0,"T"
62,2011,789,0,"T",0,"T"
90,1961,789,1000,"F",100,"F"
90,1962,789,1000,"F",100,"F"
90,1963,789,1000,"F",100,"F"
90,1964,789,1000,"F",100,"F"
90,1965,789,1000,"F",100,"F"
90,1966,789,1000,"F",100,"F"
90,1967,789,1000,"F",100,"F"
90,1968,789,1000,"F",100,"F"
90,1969,789,1000,"F",100,"F"
90,1970,789,1000,"F",100,"F"
90,1971,789,1000,"F",100,"F"
90,1972,789,1000,"F",100,"F"
90,1973,789,1000,"F",100,"F"
90,1974,789,1000,"F",100,"F"
90,1975,789,1000,"F",100,"F"
90,1976,789,1000,"F",100,"F"
90,1977,789,1000,"F",100,"F"
90,1978,789,1000,"F",100,"F"
90,1979,789,1000,"F",100,"F"
90,1980,789,1000,"F",100,"F"
90,1981,789,1000,"F",100,"F"
90,1982,789,1000,"F",100,"F"
90,1983,789,1000,"F",100,"F"
90,1984,789,1100,"F",120,"F"
90,1985,789,1100,"F",120,"F"
90,1986,789,1100,"F",120,"F"
90,1987,789,1100,"F",120,"F"
90,1988,789,1100,"F",120,"F"
90,1989,789,1100,"F",120,"F"
90,1990,789,1218,"E",129,"E"
90,1991,789,1100,"F",140,"E"
