"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,83,17729," ",9536," "
3,1962,83,14461," ",8203," "
3,1963,83,9080," ",6353," "
3,1964,83,24110," ",18408," "
3,1965,83,14555," ",10572," "
3,1966,83,22963," ",21064," "
3,1967,83,20637," ",18817," "
3,1968,83,20219," ",33372," "
3,1969,83,27810," ",32059," "
3,1970,83,27307," ",31551," "
3,1971,83,17092," ",16883," "
3,1972,83,20000,"F",18000,"F"
3,1973,83,24000,"F",26400,"F"
3,1974,83,24000,"F",27000,"F"
3,1975,83,24000,"F",28000,"F"
3,1976,83,26000,"F",26000,"F"
3,1977,83,26000,"F",30000,"F"
3,1978,83,25000,"F",30000,"F"
3,1979,83,25000,"F",30000,"*"
3,1980,83,25000,"F",30000,"*"
3,1981,83,25000,"F",30000,"*"
3,1982,83,25000,"F",30000,"*"
3,1983,83,27000,"F",35000,"*"
3,1984,83,27000,"F",35000,"F"
3,1985,83,27000,"F",35000,"F"
3,1986,83,27800,"F",36000,"F"
3,1987,83,27500,"F",35200,"F"
3,1988,83,27700,"F",35400,"F"
3,1989,83,27800,"F",35600,"F"
3,1990,83,20000,"F",25000,"F"
3,1991,83,15000,"F",10000,"F"
3,1992,83,13203,"E",9641,"E"
3,1993,83,0,"M",0,"M"
3,1994,83,0,"M",0,"M"
3,1995,83,0,"M",0,"M"
3,1996,83,0,"M",0,"M"
3,1997,83,0,"M",0,"M"
3,1998,83,0,"M",0,"M"
3,1999,83,0,"M",0,"M"
3,2000,83,0,"M",0,"M"
3,2001,83,0,"M",0,"M"
3,2002,83,0,"M",0,"M"
3,2003,83,0,"M",0,"M"
3,2004,83,0,"M",0,"M"
3,2005,83,0,"M",0,"M"
3,2006,83,0,"M",0,"M"
3,2007,83,0,"M",0,"M"
3,2008,83,0,"M",0,"M"
3,2009,83,0,"M",0,"M"
3,2010,83,0,"M",0,"M"
3,2011,83,0,"M",0,"M"
4,1961,83,3400," ",1539," "
4,1962,83,3000,"F",2000," "
4,1963,83,1923," ",1829," "
4,1964,83,1800," ",1409," "
4,1965,83,1660," ",1273," "
4,1966,83,1000," ",790," "
4,1967,83,1600," ",1361," "
4,1968,83,2430," ",2434," "
4,1969,83,3700," ",3267," "
4,1970,83,1980," ",1696," "
4,1971,83,1890," ",1319," "
4,1972,83,1390," ",1492," "
4,1973,83,2220," ",3081," "
4,1974,83,1510," ",1177," "
4,1975,83,1400," ",2044," "
4,1976,83,1240," ",1776," "
4,1977,83,1570," ",1992," "
4,1978,83,650," ",1373," "
4,1979,83,460," ",1462," "
4,1980,83,270," ",590," "
4,1981,83,150," ",242," "
4,1982,83,600,"F",1158," "
4,1983,83,350," ",924," "
4,1984,83,800," ",1394," "
4,1985,83,450," ",410," "
4,1986,83,130," ",200," "
4,1987,83,270," ",510," "
4,1988,83,430," ",1085," "
4,1989,83,380," ",708," "
4,1990,83,280," ",464," "
4,1991,83,130," ",315," "
4,1992,83,80," ",320," "
4,1993,83,20," ",100," "
4,1994,83,0," ",0," "
4,1995,83,30,"F",38," "
4,1996,83,40," ",59," "
4,1997,83,30," ",120," "
4,1998,83,20," ",49," "
4,1999,83,20," ",54," "
4,2000,83,120," ",834," "
4,2001,83,200," ",555," "
4,2002,83,200," ",678," "
4,2003,83,230," ",607," "
4,2004,83,196," ",849," "
4,2005,83,370," ",1239," "
4,2006,83,437," ",2479," "
4,2007,83,202," ",2405," "
4,2008,83,168," ",1038," "
4,2009,83,43," ",389," "
4,2010,83,35," ",106," "
4,2011,83,94," ",940," "
9,1961,83,786700," ",1476700," "
9,1962,83,860800," ",1597600," "
9,1963,83,828000," ",1175800," "
9,1964,83,983760," ",1486500," "
9,1965,83,819700," ",1058500," "
9,1966,83,1123127," ",2385900," "
9,1967,83,1032940," ",1617500," "
9,1968,83,1266180," ",2033300," "
9,1969,83,1456000," ",2615500," "
9,1970,83,2110500," ",4068400," "
9,1971,83,2369400," ",4784000," "
9,1972,83,1580700," ",2487900," "
9,1973,83,2270800," ",5147300," "
9,1974,83,2433100," ",6068600," "
9,1975,83,2010300," ",4937800," "
