"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,530,0,"M",0,"M"
1,1962,530,0,"M",0,"M"
1,1963,530,0,"M",0,"M"
1,1964,530,0,"M",0,"M"
1,1965,530,0,"M",0,"M"
1,1966,530,0,"M",0,"M"
1,1967,530,0,"M",0,"M"
1,1968,530,0,"M",0,"M"
1,1969,530,0,"M",0,"M"
1,1970,530,0,"M",0,"M"
1,1971,530,0,"M",0,"M"
1,1972,530,0,"M",0,"M"
1,1973,530,0,"M",0,"M"
1,1974,530,0,"M",0,"M"
1,1975,530,0,"M",0,"M"
1,1976,530,0,"M",0,"M"
1,1977,530,0,"M",0,"M"
1,1978,530,0,"M",0,"M"
1,1979,530,0,"M",0,"M"
1,1980,530,0,"M",0,"M"
1,1981,530,0,"M",0,"M"
1,1982,530,0,"M",0,"M"
1,1983,530,0,"M",0,"M"
1,1984,530,0,"M",0,"M"
1,1985,530,0,"M",0,"M"
1,1986,530,0,"M",0,"M"
1,1987,530,0,"M",0,"M"
1,1988,530,0,"M",0,"M"
1,1989,530,0,"M",0,"M"
1,1990,530,0,"M",0,"M"
1,1991,530,0,"M",0,"M"
1,1992,530,0,"M",0,"M"
1,1993,530,0,"M",0,"M"
1,1994,530,0,"M",0,"M"
1,1995,530,0,"M",0,"M"
1,1996,530,0,"M",0,"M"
1,1997,530,0,"M",0,"M"
1,1998,530,0,"M",0,"M"
1,1999,530,0,"M",0,"M"
1,2000,530,0,"M",0,"M"
1,2001,530,0,"M",0,"M"
1,2002,530,0,"M",0,"M"
1,2003,530,0,"M",0,"M"
1,2004,530,0,"M",0,"M"
1,2005,530,0,"M",0,"M"
1,2006,530,0,"M",0,"M"
1,2007,530,737," ",3586," "
1,2008,530,737," ",3799," "
1,2009,530,763," ",3698," "
1,2010,530,756," ",1561," "
1,2011,530,740," ",2854," "
3,1961,530,0,"M",7000,"F"
3,1962,530,0,"M",6000,"F"
3,1963,530,0,"M",5000,"F"
3,1964,530,0,"M",5000,"F"
3,1965,530,0,"M",5000,"F"
3,1966,530,0,"M",6000,"F"
3,1967,530,0,"M",5000,"F"
3,1968,530,0,"M",6000,"F"
3,1969,530,0,"M",6500,"F"
3,1970,530,0,"M",7000,"F"
3,1971,530,0,"M",7000,"F"
3,1972,530,0,"M",7500,"F"
3,1973,530,0,"M",7500,"F"
3,1974,530,0,"M",7500,"F"
3,1975,530,0,"M",7500,"F"
3,1976,530,0,"M",8000,"F"
3,1977,530,0,"M",8000,"F"
3,1978,530,0,"M",8500,"F"
3,1979,530,0,"M",8500,"F"
3,1980,530,0,"M",7700," "
3,1981,530,0,"M",8700,"F"
3,1982,530,0,"M",8100,"F"
3,1983,530,0,"M",7700,"F"
3,1984,530,0,"M",7100,"F"
3,1985,530,3000,"F",7300,"F"
3,1986,530,3000,"F",11400,"F"
3,1987,530,3000,"F",9100,"F"
3,1988,530,3000,"F",9000,"F"
3,1989,530,3000,"F",11300,"F"
3,1990,530,2194,"E",11500,"F"
3,1991,530,2136,"E",7500,"F"
3,1992,530,2134,"E",6400,"F"
3,1993,530,2146,"E",8700,"F"
3,1994,530,2166,"E",9000,"F"
3,1995,530,2196,"E",8000,"F"
3,1996,530,2247,"E",8328,"E"
3,1997,530,2242,"E",8732,"E"
3,1998,530,2318,"E",8914,"E"
3,1999,530,2440,"E",8300," "
3,2000,530,2537,"E",8300," "
3,2001,530,2668,"E",10346,"E"
3,2002,530,2832,"E",13200,"F"
3,2003,530,2966,"E",15400,"F"
3,2004,530,2400,"F",12000,"F"
