"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,236,0," ",0," "
3,1962,236,0," ",0," "
3,1963,236,0," ",0," "
3,1964,236,0," ",0," "
3,1965,236,0," ",0," "
3,1966,236,0," ",0," "
3,1967,236,0," ",0," "
3,1968,236,0," ",0," "
3,1969,236,0," ",0," "
3,1970,236,0," ",0," "
3,1971,236,0," ",0," "
3,1972,236,0," ",0," "
3,1973,236,0," ",0," "
3,1974,236,0," ",0," "
3,1975,236,0," ",0," "
3,1976,236,0," ",0," "
3,1977,236,0," ",0," "
3,1978,236,0," ",0," "
3,1979,236,0," ",0," "
3,1980,236,6000," ",6000," "
3,1981,236,6000,"F",6500,"F"
3,1982,236,6000,"F",7500,"F"
3,1983,236,5000,"F",7000,"F"
3,1984,236,5000,"F",7500,"F"
3,1985,236,5000," ",8000," "
3,1986,236,6000," ",9000," "
3,1987,236,5000," ",6000," "
3,1988,236,11000," ",11000," "
3,1989,236,14000," ",12000," "
3,1990,236,10000," ",7000," "
3,1991,236,4143," ",2513," "
3,1992,236,3233," ",1457," "
3,1993,236,839," ",671," "
3,1994,236,164," ",130," "
3,1995,236,134," ",158," "
3,1996,236,177," ",274," "
3,1997,236,177," ",226," "
3,1998,236,104," ",149," "
3,1999,236,700," ",1200," "
3,2000,236,400," ",600," "
3,2001,236,400," ",800," "
3,2002,236,200," ",400," "
3,2003,236,413," ",500," "
3,2004,236,300," ",400," "
3,2005,236,400," ",700," "
3,2006,236,200," ",400," "
3,2007,236,200," ",400," "
3,2008,236,300," ",600," "
3,2009,236,300," ",500," "
3,2010,236,300," ",500," "
3,2011,236,324," ",600," "
9,1961,236,980," ",957," "
9,1962,236,9649," ",11220," "
9,1963,236,19302," ",18920," "
9,1964,236,12220," ",14000," "
9,1965,236,16422," ",17000," "
9,1966,236,15689," ",18200," "
9,1967,236,17290," ",20500," "
9,1968,236,20200," ",22000," "
9,1969,236,28200," ",31800," "
9,1970,236,25970," ",26800," "
9,1971,236,36330," ",59000," "
9,1972,236,68000," ",78000," "
9,1973,236,157030," ",272000," "
9,1974,236,334440," ",496000," "
9,1975,236,355940," ",485000," "
9,1976,236,433500," ",695000," "
9,1977,236,660000," ",1400000," "
9,1978,236,1150000," ",2500000," "
9,1979,236,1600000," ",3700000," "
9,1980,236,2030000," ",3500000," "
9,1981,236,1880000," ",3770000," "
9,1982,236,1985600," ",4150000," "
9,1983,236,2280700," ",4e+06," "
9,1984,236,2910000," ",7e+06," "
9,1985,236,3269000," ",6500000," "
9,1986,236,3316000," ",7100000," "
9,1987,236,3532650," ",6700000," "
9,1988,236,4373200," ",9900000," "
9,1989,236,3931250," ",6500000," "
9,1990,236,4961600," ",10700000," "
9,1991,236,4774500," ",10862000," "
9,1992,236,4935710," ",11310000," "
9,1993,236,5116235," ",11045400," "
9,1994,236,5748910," ",11719900," "
9,1995,236,5934160," ",12133000," "
9,1996,236,5913415," ",12448200," "
9,1997,236,6393780," ",11004890," "
9,1998,236,6954120," ",18732172," "
9,1999,236,8180000," ",2e+07," "
9,2000,236,8637503," ",20135800," "
9,2001,236,10400193," ",26880852," "
9,2002,236,11405247," ",3e+07," "
9,2003,236,12419995," ",34818552," "
9,2004,236,14304539," ",31576752," "
9,2005,236,14032198," ",38289744," "
9,2006,236,15130038," ",40537364," "
9,2007,236,15981264," ",47482784," "
9,2008,236,16387438," ",46238087," "
