"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,723,0,"M",0,"M"
3,1962,723,0,"M",0,"M"
3,1963,723,0,"M",0,"M"
3,1964,723,0,"M",0,"M"
3,1965,723,0,"M",0,"M"
3,1966,723,0,"M",0,"M"
3,1967,723,0,"M",0,"M"
3,1968,723,0,"M",0,"M"
3,1969,723,0,"M",0,"M"
3,1970,723,0,"M",0,"M"
3,1971,723,0,"M",0,"M"
3,1972,723,0,"M",0,"M"
3,1973,723,0,"M",0,"M"
3,1974,723,0,"M",0,"M"
3,1975,723,0,"M",0,"M"
3,1976,723,0,"M",0,"M"
3,1977,723,0,"M",0,"M"
3,1978,723,0,"M",0,"M"
3,1979,723,0,"M",0,"M"
3,1980,723,0,"M",0,"M"
3,1981,723,0,"M",0,"M"
3,1982,723,0,"M",0,"M"
3,1983,723,0,"M",0,"M"
3,1984,723,0,"M",0,"M"
3,1985,723,0,"M",0,"M"
3,1986,723,0,"M",0,"M"
3,1987,723,0,"M",0,"M"
3,1988,723,0,"M",0,"M"
3,1989,723,0,"M",0,"M"
3,1990,723,0,"M",0,"M"
3,1991,723,0,"M",0,"M"
3,1992,723,0,"M",0,"M"
3,1993,723,0,"M",0,"M"
3,1994,723,0,"M",0,"M"
3,1995,723,0,"M",0,"M"
3,1996,723,200,"F",150,"F"
3,1997,723,230,"F",170,"F"
3,1998,723,1400,"F",1000,"F"
3,1999,723,550,"F",400,"F"
3,2000,723,200,"F",150,"F"
3,2001,723,150,"F",100,"F"
3,2002,723,202,"E",136,"E"
3,2003,723,152,"E",105,"E"
3,2004,723,150,"E",76,"E"
3,2005,723,127,"E",100,"F"
3,2006,723,300,"F",200,"F"
3,2007,723,200,"F",150,"F"
3,2008,723,300,"F",200,"F"
3,2009,723,400,"F",300,"F"
3,2010,723,390,"E",321,"E"
3,2011,723,400,"F",341,"E"
9,1961,723,0,"M",0," "
9,1962,723,0,"M",0," "
9,1963,723,0,"M",0," "
9,1964,723,0,"M",0," "
9,1965,723,0,"M",0," "
9,1966,723,0,"M",0," "
9,1967,723,0,"M",0," "
9,1968,723,0,"M",220," "
9,1969,723,0,"M",286," "
9,1970,723,0,"M",303," "
9,1971,723,0,"M",404," "
9,1972,723,0,"M",415," "
9,1973,723,0,"M",503," "
9,1974,723,0,"M",737," "
9,1975,723,0,"M",828," "
9,1976,723,0,"M",840," "
9,1977,723,0,"M",900,"F"
9,1978,723,0,"M",900,"F"
9,1979,723,0,"M",900,"F"
9,1980,723,0,"M",950,"F"
9,1981,723,0,"M",1000,"F"
9,1982,723,0,"M",1000,"F"
9,1983,723,0,"M",1100,"F"
9,1984,723,0,"M",1100,"F"
9,1985,723,1500,"F",1100,"F"
9,1986,723,1500,"F",1100,"F"
9,1987,723,1500,"F",1100,"F"
9,1988,723,1500,"F",1100,"F"
9,1989,723,1500,"F",1100,"F"
9,1990,723,1231,"E",1082,"E"
9,1991,723,1520,"F",1200,"F"
9,1992,723,1550,"F",1300,"F"
9,1993,723,1232,"E",1400,"F"
9,1994,723,898,"E",1158,"E"
9,1995,723,652,"E",1500,"F"
9,1996,723,622,"E",1355,"E"
9,1997,723,694,"E",1615,"E"
