"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,373,0,"M",0,"M"
3,1962,373,0,"M",0,"M"
3,1963,373,0,"M",0,"M"
3,1964,373,0,"M",0,"M"
3,1965,373,0,"M",0,"M"
3,1966,373,0,"M",0,"M"
3,1967,373,0,"M",0,"M"
3,1968,373,0,"M",0,"M"
3,1969,373,0,"M",0,"M"
3,1970,373,0,"M",0,"M"
3,1971,373,0,"M",0,"M"
3,1972,373,0,"M",0,"M"
3,1973,373,0,"M",0,"M"
3,1974,373,0,"M",0,"M"
3,1975,373,0,"M",0,"M"
3,1976,373,0,"M",0,"M"
3,1977,373,0,"M",0,"M"
3,1978,373,0,"M",0,"M"
3,1979,373,0,"M",0,"M"
3,1980,373,0,"M",0,"M"
3,1981,373,0,"M",0,"M"
3,1982,373,0,"M",0,"M"
3,1983,373,0,"M",0,"M"
3,1984,373,0,"M",0,"M"
3,1985,373,0,"M",0,"M"
3,1986,373,0,"M",0,"M"
3,1987,373,0,"M",0,"M"
3,1988,373,0,"M",0,"M"
3,1989,373,0,"M",0,"M"
3,1990,373,400,"*",3900,"*"
3,1991,373,350,"*",3000,"*"
3,1992,373,480,"*",4600,"*"
3,1993,373,540,"*",5200,"*"
3,1994,373,550,"*",5900,"*"
3,1995,373,550,"*",5800,"*"
3,1996,373,500,"*",4800,"*"
3,1997,373,550,"*",6000,"*"
3,1998,373,550,"*",6000,"*"
3,1999,373,550,"*",5900,"*"
3,2000,373,600,"*",6200,"*"
3,2001,373,650,"*",6500,"*"
3,2002,373,650,"*",6700,"*"
3,2003,373,700," ",7000," "
3,2004,373,600," ",6000," "
3,2005,373,700," ",6500," "
3,2006,373,283," ",6311," "
3,2007,373,300,"*",6000," "
3,2008,373,680," ",12200," "
3,2009,373,511," ",10577," "
3,2010,373,1153," ",13768," "
3,2011,373,1200," ",15000," "
10,1961,373,98," ",1669," "
10,1962,373,108," ",1899," "
10,1963,373,131," ",1924," "
10,1964,373,146," ",2191," "
10,1965,373,166," ",2604," "
10,1966,373,183," ",3005," "
10,1967,373,187," ",3036," "
10,1968,373,170," ",2725," "
10,1969,373,187," ",2739," "
10,1970,373,213," ",3384," "
10,1971,373,186," ",3247," "
10,1972,373,169," ",2763," "
10,1973,373,166," ",2655," "
10,1974,373,146," ",2453," "
10,1975,373,155," ",2384," "
10,1976,373,157," ",2184," "
10,1977,373,156," ",2141," "
10,1978,373,186," ",2488," "
10,1979,373,185," ",2740," "
10,1980,373,170,"F",2300,"F"
10,1981,373,180,"F",2500,"F"
10,1982,373,180,"F",2500,"F"
10,1983,373,168," ",2736," "
10,1984,373,185," ",2693," "
10,1985,373,228," ",3391," "
10,1986,373,230," ",3383," "
10,1987,373,192," ",2752," "
10,1988,373,190," ",2544," "
10,1989,373,198," ",3204," "
10,1990,373,208," ",2973," "
10,1991,373,227," ",3258," "
10,1992,373,218," ",2983," "
10,1993,373,298," ",3606," "
10,1994,373,300,"F",4200,"F"
10,1995,373,330,"F",4500,"F"
10,1996,373,350,"F",4700,"F"
10,1997,373,400,"F",4625,"E"
10,1998,373,450,"F",5000,"F"
10,1999,373,452,"E",4984,"E"
10,2000,373,500,"F",5315,"E"
10,2001,373,550,"F",5806,"E"
10,2002,373,600,"F",5296,"E"
10,2003,373,650,"F",5500,"F"
10,2004,373,700,"F",6121,"E"
10,2005,373,800,"F",6500,"F"
10,2006,373,1021," ",8021," "
10,2007,373,1469," ",9044," "
10,2008,373,1198," ",10123," "
10,2009,373,1373," ",8638," "
10,2010,373,1460,"E",8719,"E"
10,2011,373,1498,"E",7598,"E"
11,1961,373,113," ",1001," "
11,1962,373,111," ",923," "
11,1963,373,165," ",1522," "
11,1964,373,176," ",1371," "
11,1965,373,199," ",1793," "
11,1966,373,157," ",1358," "
11,1967,373,182," ",1794," "
11,1968,373,321," ",3146," "
11,1969,373,260," ",2312," "
11,1970,373,270," ",2417," "
11,1971,373,302," ",2652," "
11,1972,373,318," ",3137," "
11,1973,373,261," ",2685," "
11,1974,373,244," ",2896," "
11,1975,373,294," ",2941," "
11,1976,373,266," ",2438," "
11,1977,373,277," ",2599," "
11,1978,373,237," ",2365," "
11,1979,373,241," ",2172," "
11,1980,373,248," ",2191," "
11,1981,373,254," ",2224," "
11,1982,373,258," ",2421," "
11,1983,373,370," ",3228," "
11,1984,373,370," ",4190," "
11,1985,373,369," ",3996," "
11,1986,373,367," ",4004," "
11,1987,373,449," ",5092," "
11,1988,373,445," ",5075," "
11,1989,373,422," ",4993," "
11,1990,373,418," ",4846," "
11,1991,373,426," ",5236," "
11,1992,373,325," ",3328," "
11,1993,373,327," ",4119," "
11,1994,373,356," ",5340," "
11,1995,373,350," ",6492," "
11,1996,373,342," ",7027," "
11,1997,373,478," ",10715," "
11,1998,373,303," ",3500," "
11,1999,373,284," ",7405," "
11,2000,373,302," ",7281," "
11,2001,373,323," ",7799," "
11,2002,373,385," ",10089," "
11,2003,373,348," ",8768," "
11,2004,373,371," ",8830," "
11,2005,373,437," ",9903," "
11,2006,373,478," ",10871," "
11,2007,373,537," ",12148," "
11,2008,373,562," ",12757," "
11,2009,373,429," ",10109," "
11,2010,373,476," ",9018," "
11,2011,373,601," ",14855," "
15,1961,373,163," ",8080," "
15,1962,373,167," ",6175," "
15,1963,373,243," ",12350," "
15,1964,373,194," ",14560," "
15,1965,373,127," ",13880," "
15,1966,373,146," ",13000," "
15,1967,373,138," ",12650," "
15,1968,373,143," ",11400," "
15,1969,373,140,"F",10100," "
15,1970,373,188," ",9500," "
15,1971,373,179," ",6900," "
15,1972,373,206," ",7420," "
15,1973,373,271," ",9000," "
15,1974,373,259," ",11700," "
15,1975,373,275," ",15740," "
15,1976,373,254," ",15600," "
15,1977,373,287," ",18700," "
15,1978,373,620," ",15649," "
15,1979,373,600," ",12062," "
15,1980,373,550," ",13100," "
15,1981,373,595," ",15600," "
15,1982,373,617," ",17750," "
15,1983,373,608," ",20700," "
15,1984,373,1075," ",26850," "
15,1985,373,1255," ",32000," "
15,1986,373,1260," ",32200," "
15,1987,373,1500," ",31000," "
15,1988,373,1400," ",20800," "
15,1989,373,1400," ",24470," "
15,1990,373,1400," ",22600," "
15,1991,373,1300," ",27989," "
15,1992,373,1500," ",34300," "
15,1993,373,2000," ",43100," "
15,1994,373,1900," ",32804," "
15,1995,373,2000," ",35280," "
15,1996,373,2000," ",39200," "
15,1997,373,2100," ",44093," "
15,1998,373,2300," ",44000," "
15,1999,373,2060," ",58060," "
15,2000,373,2014," ",124143," "
15,2001,373,2200,"F",150000,"F"
15,2002,373,2200,"F",110000,"F"
15,2003,373,2200,"T",110000,"T"
15,2004,373,2200,"T",110000,"T"
15,2005,373,2200,"T",110000,"T"
15,2006,373,2200,"T",110000,"T"
15,2007,373,2200,"T",110000,"T"
15,2008,373,2200,"T",110000,"T"
15,2009,373,2200,"T",110000,"T"
15,2010,373,2200,"T",110000,"T"
15,2011,373,2200,"T",110000,"T"
