"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
4,1961,544,,,0," "
4,1962,544,,,0," "
4,1963,544,,,0," "
4,1964,544,,,0," "
4,1965,544,,,0," "
4,1966,544,,,0," "
4,1967,544,,,1,"F"
4,1968,544,,,1,"F"
4,1969,544,,,3,"F"
4,1970,544,,,3,"F"
4,1971,544,,,5,"F"
4,1972,544,,,5,"F"
4,1973,544,,,5,"F"
4,1974,544,,,2,"F"
4,1975,544,,,2,"F"
4,1976,544,,,0," "
4,1977,544,,,0," "
4,1978,544,,,0," "
4,1979,544,,,0," "
4,1980,544,,,0," "
4,1981,544,,,0," "
4,1982,544,,,0," "
4,1983,544,,,0," "
4,1984,544,,,0," "
4,1985,544,,,0," "
4,1986,544,,,0," "
4,1987,544,,,0," "
4,1988,544,,,0," "
4,1989,544,,,0," "
4,1990,544,,,0," "
4,1991,544,,,0," "
4,1992,544,,,0," "
4,1993,544,,,0,"M"
4,1994,544,,,0,"M"
4,1995,544,,,0,"M"
4,1996,544,,,0,"M"
4,1997,544,,,0,"M"
4,1998,544,,,0,"M"
4,1999,544,,,0,"M"
4,2000,544,,,0,"M"
4,2001,544,,,0,"M"
4,2002,544,,,0,"M"
4,2003,544,,,0,"M"
4,2004,544,,,0,"M"
4,2005,544,,,0,"M"
4,2006,544,,,0,"M"
4,2007,544,,,0,"M"
4,2008,544,,,0,"M"
4,2009,544,,,0,"M"
4,2010,544,,,0,"M"
4,2011,544,,,0,"M"
9,1961,544,0,"M",1850," "
9,1962,544,0,"M",1900," "
9,1963,544,0,"M",1880," "
9,1964,544,0,"M",2100," "
9,1965,544,0,"M",1700," "
9,1966,544,0,"M",1450," "
9,1967,544,0,"M",823," "
9,1968,544,0,"M",1850," "
9,1969,544,0,"M",1430," "
9,1970,544,0,"M",2100," "
9,1971,544,0,"M",2560," "
9,1972,544,0,"M",2660," "
9,1973,544,0,"M",4000," "
9,1974,544,0,"M",3480," "
9,1975,544,0,"M",4140," "
9,1976,544,0,"M",4300," "
9,1977,544,0,"M",3400," "
9,1978,544,0,"M",4700," "
9,1979,544,0,"M",4600," "
9,1980,544,0,"M",5400," "
9,1981,544,0,"M",6000," "
9,1982,544,0,"M",5750," "
9,1983,544,0,"M",5300," "
9,1984,544,0,"M",5600," "
9,1985,544,650,"F",5300," "
9,1986,544,650,"F",5100," "
9,1987,544,800,"F",7450," "
9,1988,544,800,"F",7500,"F"
9,1989,544,800,"F",7600,"F"
9,1990,544,717,"E",7201,"E"
9,1991,544,730,"E",7700,"F"
9,1992,544,850,"F",7726,"E"
9,1993,544,838,"E",8000,"F"
9,1994,544,860,"E",8100,"F"
9,1995,544,859,"E",8200,"F"
9,1996,544,866,"E",8300,"F"
9,1997,544,853,"E",10047,"E"
9,1998,544,857,"E",9452,"E"
9,1999,544,900,"F",8500,"F"
9,2000,544,880,"E",8503,"E"
9,2001,544,947,"E",9693,"E"
9,2002,544,950,"F",9000,"F"
9,2003,544,944,"E",9148,"E"
9,2004,544,933,"F",8833,"F"
9,2005,544,962,"E",9581,"E"
9,2006,544,950,"F",8850,"F"
9,2007,544,979,"E",9000,"F"
