"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,423,3980," ",25500," "
9,1962,423,3975," ",27100," "
9,1963,423,3420," ",23200," "
9,1964,423,3713," ",25900," "
9,1965,423,3305," ",23400," "
9,1966,423,3304," ",24300," "
9,1967,423,3792," ",27000," "
9,1968,423,3765," ",30900," "
9,1969,423,3346," ",23700," "
9,1970,423,3153," ",23100," "
9,1971,423,4680," ",29400," "
9,1972,423,5025," ",36300," "
9,1973,423,5170," ",40400," "
9,1974,423,4690," ",39131," "
9,1975,423,3664," ",27890," "
9,1976,423,3471," ",28331," "
9,1977,423,3000," ",24900," "
9,1978,423,3050," ",23600," "
9,1979,423,3900," ",31200," "
9,1980,423,4050," ",33400," "
9,1981,423,4170," ",38600," "
9,1982,423,3890," ",33200," "
9,1983,423,4020," ",33900," "
9,1984,423,3953," ",32700," "
9,1985,423,4000,"F",35000,"F"
9,1986,423,4200,"F",36000,"F"
9,1987,423,4300,"F",37000,"F"
9,1988,423,4300,"F",38000,"F"
9,1989,423,4300,"F",36000,"F"
9,1990,423,4307,"E",38000,"F"
9,1991,423,4400,"F",38500,"F"
9,1992,423,4500,"F",39000,"F"
9,1993,423,4600,"F",40000,"F"
9,1994,423,4700,"F",41000,"F"
9,1995,423,4800,"F",42000,"F"
9,1996,423,4900,"F",43000,"F"
9,1997,423,4377,"E",41599,"E"
9,1998,423,5307,"E",48461,"E"
9,1999,423,5000,"F",44000,"F"
9,2000,423,5889,"E",38345,"E"
9,2001,423,5776,"E",38348,"E"
9,2002,423,5500,"F",44500,"F"
9,2003,423,5600,"F",45000,"F"
9,2004,423,5367,"F",45987,"E"
9,2005,423,5876,"E",48117,"E"
9,2006,423,5500,"F",45500,"F"
9,2007,423,6021,"E",46335,"E"
9,2008,423,5838,"E",45067,"E"
9,2009,423,5957,"E",45135,"E"
9,2010,423,6019,"E",46897,"E"
9,2011,423,6057,"E",46540,"E"
14,1961,423,0," ",0," "
14,1962,423,0," ",0," "
14,1963,423,0," ",0," "
14,1964,423,0," ",0," "
14,1965,423,0," ",0," "
14,1966,423,0," ",0," "
14,1967,423,0," ",0," "
14,1968,423,0," ",0," "
14,1969,423,0," ",0," "
14,1970,423,0," ",0," "
14,1971,423,0," ",0," "
14,1972,423,0," ",0," "
14,1973,423,0," ",0," "
14,1974,423,0," ",0," "
14,1975,423,0," ",0," "
14,1976,423,0," ",0," "
14,1977,423,0," ",0," "
14,1978,423,0," ",0," "
14,1979,423,0," ",0," "
14,1980,423,0," ",0," "
14,1981,423,90,"F",510," "
14,1982,423,90,"F",509," "
14,1983,423,100,"F",533," "
14,1984,423,70,"F",384," "
14,1985,423,60,"F",340," "
14,1986,423,80,"F",409," "
14,1987,423,90,"F",546," "
14,1988,423,100,"F",577," "
14,1989,423,90,"F",521," "
14,1990,423,80,"F",446," "
14,1991,423,150,"F",831," "
14,1992,423,170,"F",1035," "
14,1993,423,130,"F",750," "
14,1994,423,85,"F",490," "
14,1995,423,302," ",1948," "
14,1996,423,280,"F",1700,"F"
14,1997,423,155," ",824," "
14,1998,423,152,"E",825,"F"
14,1999,423,160,"E",911,"E"
14,2000,423,158,"F",840,"F"
14,2001,423,160,"F",850,"F"
14,2002,423,165,"F",900,"F"
14,2003,423,170,"F",930,"F"
14,2004,423,175,"F",960,"F"
14,2005,423,180,"F",990,"F"
14,2006,423,190,"F",1050,"F"
14,2007,423,195,"F",1100,"F"
14,2008,423,186,"E",1071,"E"
14,2009,423,235,"E",887,"E"
14,2010,423,210,"E",790,"E"
14,2011,423,192,"E",841,"E"
59,1961,423,0,"M",0,"M"
59,1962,423,0,"M",0,"M"
59,1963,423,0,"M",0,"M"
59,1964,423,0,"M",0,"M"
59,1965,423,0,"M",0,"M"
59,1966,423,0,"M",0,"M"
59,1967,423,0,"M",0,"M"
59,1968,423,0,"M",0,"M"
59,1969,423,0,"M",0,"M"
59,1970,423,0,"M",0,"M"
59,1971,423,0,"M",0,"M"
59,1972,423,0,"M",0,"M"
59,1973,423,0,"M",0,"M"
59,1974,423,0,"M",0,"M"
59,1975,423,0,"M",0,"M"
59,1976,423,0,"M",0,"M"
59,1977,423,0,"M",0,"M"
59,1978,423,0,"M",0,"M"
59,1979,423,0,"M",0,"M"
59,1980,423,0,"M",0,"M"
59,1981,423,0,"M",0,"M"
59,1982,423,0,"M",0,"M"
59,1983,423,0,"M",0,"M"
59,1984,423,0,"M",0,"M"
59,1985,423,0,"M",0,"M"
59,1986,423,0,"M",0,"M"
59,1987,423,0,"M",0,"M"
59,1988,423,0,"M",0,"M"
59,1989,423,0,"M",0,"M"
59,1990,423,50,"F",350,"F"
59,1991,423,50,"F",350,"F"
59,1992,423,55,"F",400,"F"
59,1993,423,140,"F",1000,"F"
59,1994,423,55,"F",400,"F"
59,1995,423,50,"F",350,"F"
59,1996,423,50,"F",350,"F"
59,1997,423,25,"F",150,"F"
59,1998,423,25,"F",150,"F"
59,1999,423,15,"F",100,"F"
59,2000,423,25,"F",150,"F"
59,2001,423,25,"F",150,"F"
59,2002,423,30,"F",200,"F"
59,2003,423,30,"F",200,"F"
59,2004,423,15,"F",100,"F"
59,2005,423,25,"F",150,"F"
59,2006,423,30,"F",200,"F"
59,2007,423,35,"F",250,"F"
59,2008,423,30,"F",200,"F"
59,2009,423,90,"F",650,"F"
59,2010,423,70,"F",500,"F"
59,2011,423,45,"F",300,"F"
68,1961,423,29432," ",172420," "
68,1962,423,28722," ",168980," "
68,1963,423,30122," ",190480," "
68,1964,423,30400," ",194230," "
68,1965,423,28840," ",184840," "
68,1966,423,31670," ",214940," "
68,1967,423,31303," ",203990," "
68,1968,423,30921," ",200020," "
68,1969,423,30649," ",202780," "
68,1970,423,35000,"F",213070," "
68,1971,423,39743," ",233360," "
68,1972,423,34903," ",185030," "
68,1973,423,35845," ",194900," "
68,1974,423,38184," ",225530," "
