"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,157,0,"M",0,"M"
1,1962,157,0,"M",0,"M"
1,1963,157,0,"M",0,"M"
1,1964,157,0,"M",0,"M"
1,1965,157,0,"M",0,"M"
1,1966,157,0,"M",0,"M"
1,1967,157,0,"M",0,"M"
1,1968,157,0,"M",0,"M"
1,1969,157,0,"M",0,"M"
1,1970,157,0,"M",0,"M"
1,1971,157,0,"M",0,"M"
1,1972,157,0,"M",0,"M"
1,1973,157,0,"M",0,"M"
1,1974,157,0,"M",0,"M"
1,1975,157,0,"M",0,"M"
1,1976,157,0,"M",0,"M"
1,1977,157,0,"M",0,"M"
1,1978,157,0,"M",0,"M"
1,1979,157,0,"M",0,"M"
1,1980,157,0,"M",0,"M"
1,1981,157,0,"M",0,"M"
1,1982,157,0,"M",0,"M"
1,1983,157,0,"M",0,"M"
1,1984,157,0,"M",0,"M"
1,1985,157,0,"M",0,"M"
1,1986,157,0,"M",0,"M"
1,1987,157,0,"M",0,"M"
1,1988,157,0,"M",0,"M"
1,1989,157,0,"M",0,"M"
1,1990,157,0,"M",0,"M"
1,1991,157,0,"M",0,"M"
1,1992,157,50,"F",800,"F"
1,1993,157,50,"F",800,"F"
1,1994,157,50,"F",800,"F"
1,1995,157,50,"F",800,"F"
1,1996,157,50,"F",800,"F"
1,1997,157,50,"F",800,"F"
1,1998,157,50,"F",800,"F"
1,1999,157,50,"F",800,"F"
1,2000,157,50,"F",800,"F"
1,2001,157,50,"F",800,"F"
1,2002,157,54," ",811," "
1,2003,157,80," ",1500," "
1,2004,157,400,"F",6000,"F"
1,2005,157,1100,"F",16000,"F"
1,2006,157,1200,"F",18000,"F"
1,2007,157,1800,"F",27000,"F"
1,2008,157,2000,"F",30000,"F"
1,2009,157,600,"F",10000,"F"
1,2010,157,1700,"F",26000,"F"
1,2011,157,3600,"F",56500,"F"
2,1961,157,3537," ",42400," "
2,1962,157,3600," ",60456," "
2,1963,157,3600," ",56225," "
2,1964,157,3500," ",31000," "
2,1965,157,4000,"F",56000," "
2,1966,157,4000," ",56000," "
2,1967,157,4500," ",67000," "
2,1968,157,4500," ",62000," "
2,1969,157,4600," ",68000," "
2,1970,157,4400," ",62000," "
2,1971,157,4400," ",60000," "
2,1972,157,4600," ",63300," "
2,1973,157,4500," ",57000," "
2,1974,157,4500," ",66600," "
2,1975,157,5000," ",108500," "
2,1976,157,4750," ",90900," "
2,1977,157,5000," ",97000," "
2,1978,157,5000," ",73000," "
2,1979,157,3200," ",70000," "
2,1980,157,1600," ",35000," "
2,1981,157,2400," ",20000," "
2,1982,157,2200," ",20000," "
2,1983,157,800," ",16000," "
2,1984,157,1300," ",26000," "
2,1985,157,1500," ",5000," "
2,1986,157,400," ",5000," "
2,1987,157,200,"*",3000," "
