"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,156,1800,"F",45000," "
2,1962,156,1800,"F",45000," "
2,1963,156,1800,"F",45000," "
2,1964,156,1800,"F",45000," "
2,1965,156,2000,"F",51000," "
2,1966,156,2000," ",51000," "
2,1967,156,2000," ",57000," "
2,1968,156,2000," ",57000," "
2,1969,156,2500," ",60000," "
2,1970,156,2500," ",55000," "
2,1971,156,2500," ",50000," "
2,1972,156,2000,"F",35000,"F"
2,1973,156,4000," ",58000," "
2,1974,156,4000," ",51600," "
2,1975,156,4000," ",60000," "
2,1976,156,3500," ",68100," "
2,1977,156,4000," ",64000," "
2,1978,156,4000," ",64000," "
2,1979,156,3700," ",64000," "
2,1980,156,3700," ",70000," "
2,1981,156,3700," ",70000," "
2,1982,156,3300,"*",63000,"*"
2,1983,156,3200,"*",62000,"*"
2,1984,156,3100,"*",60000,"*"
2,1985,156,3000,"*",58000,"*"
2,1986,156,3000,"*",60000,"*"
2,1987,156,3000,"F",60000,"F"
2,1988,156,3000,"*",62000,"*"
2,1989,156,3000,"*",60000,"*"
2,1990,156,2900," ",55000," "
2,1991,156,2000," ",38000," "
2,1992,156,2000,"F",38000,"F"
2,1993,156,2000,"F",38000,"F"
2,1994,156,2000,"F",38000,"F"
2,1995,156,2000,"F",38000,"F"
2,1996,156,2000,"F",38000,"F"
2,1997,156,2000,"F",38000,"F"
2,1998,156,2000,"F",38000,"F"
2,1999,156,2000,"F",38000,"F"
2,2000,156,2000,"F",38000,"F"
2,2001,156,2000,"F",38000,"F"
2,2002,156,2000,"F",38000,"F"
2,2003,156,3300," ",60000,"F"
2,2004,156,3000," ",60000," "
2,2005,156,2000," ",38000," "
2,2006,156,3700," ",70000," "
2,2007,156,3700," ",74000,"F"
2,2008,156,3000,"F",62960," "
2,2009,156,3080," ",123200," "
2,2010,156,3100," ",92400," "
2,2011,156,3082," ",92460," "
5,1961,156,30,"F",10,"F"
5,1962,156,28,"*",10,"F"
5,1963,156,28,"*",10,"F"
5,1964,156,28,"F",12,"F"
5,1965,156,28,"F",12,"F"
5,1966,156,28,"F",14,"F"
5,1967,156,28,"F",14,"F"
5,1968,156,27,"F",16,"F"
5,1969,156,27,"F",16,"F"
5,1970,156,27,"F",18,"F"
5,1971,156,27,"F",18,"F"
5,1972,156,27,"F",20,"F"
5,1973,156,27,"F",20,"F"
5,1974,156,26,"F",20,"F"
5,1975,156,26,"F",20,"F"
5,1976,156,26,"F",20,"F"
5,1977,156,26,"F",20,"F"
5,1978,156,25,"F",20,"F"
5,1979,156,25," ",20," "
5,1980,156,25," ",20," "
5,1981,156,24,"F",19,"F"
5,1982,156,22,"F",18,"F"
5,1983,156,21,"F",17,"F"
5,1984,156,20,"F",16,"F"
5,1985,156,17,"F",15,"F"
5,1986,156,15,"F",14,"F"
5,1987,156,14,"F",13,"F"
5,1988,156,13,"F",12,"F"
5,1989,156,11," ",10," "
5,1990,156,11,"F",10,"F"
5,1991,156,11,"F",10,"F"
5,1992,156,11,"F",10,"F"
5,1993,156,11,"F",10,"F"
5,1994,156,11,"T",10,"T"
5,1995,156,11,"T",10,"T"
5,1996,156,11,"T",10,"T"
5,1997,156,11,"T",10,"T"
5,1998,156,19," ",39," "
5,1999,156,27,"F",25,"F"
5,2000,156,27,"F",25,"F"
5,2001,156,27,"F",25,"F"
5,2002,156,27,"F",25,"F"
5,2003,156,30," ",27," "
5,2004,156,30,"T",27,"T"
5,2005,156,30,"T",27,"T"
5,2006,156,31,"F",28,"F"
5,2007,156,31,"F",28,"F"
5,2008,156,31,"T",28,"T"
5,2009,156,31,"T",28,"T"
5,2010,156,31,"T",28,"T"
5,2011,156,31,"T",28,"T"
7,1961,156,14000,"F",642437," "
7,1962,156,14000,"F",694000," "
7,1963,156,14000,"F",648000," "
7,1964,156,14000,"F",647000," "
7,1965,156,14000,"F",679290," "
7,1966,156,14000,"F",712512," "
7,1967,156,14000,"F",722282," "
7,1968,156,14000,"F",684648," "
7,1969,156,14000,"F",683078," "
7,1970,156,15000,"F",763989," "
7,1971,156,16000,"F",880128," "
7,1972,156,16000,"F",850000,"F"
7,1973,156,17000,"F",967433," "
7,1974,156,13000,"F",550000,"F"
7,1975,156,10000,"F",470000,"F"
7,1976,156,13000,"F",530000,"F"
7,1977,156,12000,"F",5e+05,"F"
7,1978,156,12000,"F",450000,"F"
7,1979,156,12000,"F",420000,"F"
7,1980,156,10000,"F",3e+05,"F"
7,1981,156,10000,"F",320000,"F"
7,1982,156,8000,"F",250000,"F"
7,1983,156,8000,"F",250000,"F"
7,1984,156,8000,"F",240000,"F"
7,1985,156,9000,"F",270000,"F"
7,1986,156,9000,"F",320000,"F"
7,1987,156,9000,"F",320000,"F"
7,1988,156,9000,"F",320000,"F"
7,1989,156,8000,"F",270000,"F"
7,1990,156,8000,"F",270000,"F"
7,1991,156,9000,"F",335000,"F"
7,1992,156,8000,"F",270000,"F"
7,1993,156,7000,"F",220000,"F"
7,1994,156,7000,"F",240000,"F"
7,1995,156,9000,"F",330000,"F"
7,1996,156,8000,"F",290000,"F"
7,1997,156,8500,"F",310000,"F"
7,1998,156,9000,"F",340000,"F"
7,1999,156,9000,"F",340000,"F"
7,2000,156,9400,"F",350000,"F"
7,2001,156,9500,"F",360000,"F"
7,2002,156,9500,"F",360000,"F"
7,2003,156,9500,"F",360000,"F"
7,2004,156,9100,"F",345000,"F"
7,2005,156,9100,"F",345000,"F"
7,2006,156,12000,"F",450000,"F"
7,2007,156,13000,"F",5e+05,"F"
7,2008,156,13500,"F",520000,"F"
7,2009,156,13000,"F",5e+05,"F"
7,2010,156,13000,"F",5e+05,"F"
7,2011,156,13000,"F",510000,"F"
8,1961,156,5200," ",183820," "
8,1962,156,4954," ",197705," "
8,1963,156,5130," ",259448," "
8,1964,156,4484," ",259448," "
8,1965,156,3400,"F",135000,"F"
8,1966,156,1250," ",80000," "
8,1967,156,1250,"F",50000,"F"
8,1968,156,300,"F",12000,"F"
8,1969,156,1000," ",40000,"F"
8,1970,156,1100," ",41000," "
8,1971,156,3640,"*",134100,"*"
8,1972,156,0,"F",0,"F"
8,1973,156,0,"F",0,"F"
8,1974,156,0," ",0," "
8,1975,156,0," ",0," "
8,1976,156,0," ",0," "
8,1977,156,0," ",0," "
8,1978,156,0," ",0," "
8,1979,156,0," ",0," "
8,1980,156,70,"F",3215," "
8,1981,156,64," ",2801," "
8,1982,156,83," ",5365," "
8,1983,156,0," ",0," "
8,1984,156,0," ",0," "
8,1985,156,0," ",0," "
8,1986,156,0," ",0," "
8,1987,156,0," ",0," "
8,1988,156,0," ",0," "
8,1989,156,0," ",0," "
8,1990,156,0," ",0," "
8,1991,156,0," ",0," "
8,1992,156,0," ",0," "
8,1993,156,0,"M",0,"M"
8,1994,156,0,"M",0,"M"
8,1995,156,0,"M",0,"M"
8,1996,156,0,"M",0,"M"
8,1997,156,0,"M",0,"M"
8,1998,156,0,"M",0,"M"
8,1999,156,0,"M",0,"M"
8,2000,156,0,"M",0,"M"
8,2001,156,0,"M",0,"M"
8,2002,156,0,"M",0,"M"
8,2003,156,0,"M",0,"M"
