"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
16,1961,161,9200,"F",340000,"F"
16,1962,161,9500,"F",350000,"F"
16,1963,161,9700,"F",360000,"F"
16,1964,161,10000,"F",370000,"F"
16,1965,161,10500,"F",390000,"F"
16,1966,161,11300,"F",420000,"F"
16,1967,161,12400,"F",450000,"F"
16,1968,161,13800,"F",5e+05,"F"
16,1969,161,14634," ",537755," "
16,1970,161,12977," ",738836," "
16,1971,161,12700," ",697071," "
16,1972,161,12644," ",576471," "
16,1973,161,12679," ",541127," "
16,1974,161,12777," ",544918," "
16,1975,161,12535," ",495157," "
16,1976,161,12704," ",484837," "
16,1977,161,12849," ",468355," "
16,1978,161,13004," ",478964," "
16,1979,161,12964," ",469200," "
16,1980,161,13276," ",474160," "
16,1981,161,13108," ",460964," "
16,1982,161,13350," ",459868," "
16,1983,161,13443," ",418220," "
16,1984,161,13452," ",425424," "
16,1985,161,13450," ",389536," "
16,1986,161,12926," ",361071," "
16,1987,161,12887," ",347365," "
16,1988,161,12223," ",298495," "
16,1989,161,12184," ",277025," "
16,1990,161,12658," ",287325," "
16,1991,161,12869," ",289250," "
16,1992,161,13061," ",289980," "
16,1993,161,13375," ",298170," "
16,1994,161,13750," ",305000," "
16,1995,161,14570," ",311000," "
16,1996,161,14570," ",315000," "
16,1997,161,14940," ",316000," "
16,1998,161,14940," ",323000," "
16,1999,161,15781," ",332000," "
16,2000,161,15781," ",292000," "
16,2001,161,16185," ",3e+05," "
16,2002,161,16200," ",278000," "
16,2003,161,16592," ",298000," "
16,2004,161,16997," ",317000," "
16,2005,161,18211," ",342000," "
16,2006,161,20234," ",388000," "
16,2007,161,21444," ",337820," "
16,2008,161,17730," ",302066," "
16,2009,161,17045," ",312566," "
16,2010,161,12000," ",314976," "
16,2011,161,13966," ",322135," "
28,1961,161,13000," ",46000,"F"
28,1962,161,13000," ",46200," "
28,1963,161,13000," ",46500,"F"
28,1964,161,13800," ",48000,"F"
28,1965,161,13800," ",48300," "
28,1966,161,15000," ",51000," "
28,1967,161,13400," ",49000," "
28,1968,161,13000," ",51100," "
28,1969,161,13000," ",54500," "
28,1970,161,14200," ",62500," "
28,1971,161,14200," ",63200," "
28,1972,161,14600," ",64100," "
28,1973,161,14200," ",63400," "
28,1974,161,14200," ",64300," "
28,1975,161,14200," ",72400," "
28,1976,161,14200," ",74700," "
