"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
2,1961,267,8300,"F",12000,"F"
2,1962,267,8300,"F",12800,"*"
2,1963,267,8300,"F",12800,"*"
2,1964,267,8300,"F",12800,"*"
2,1965,267,8300,"F",13200,"*"
2,1966,267,8300,"F",14000,"*"
2,1967,267,8300,"*",14000,"*"
2,1968,267,8200,"*",14400,"*"
2,1969,267,8300,"*",14800,"*"
2,1970,267,8300,"*",14000,"*"
2,1971,267,8400,"*",11200,"*"
2,1972,267,8500,"*",13600,"*"
2,1973,267,9000,"*",15200,"*"
2,1974,267,8940,"*",16000,"*"
2,1975,267,10000,"*",16000,"*"
2,1976,267,10000,"*",16000,"*"
2,1977,267,10000,"*",14400,"*"
2,1978,267,10000,"*",14000,"*"
2,1979,267,11800,"*",16800,"*"
2,1980,267,11900,"*",17200,"*"
2,1981,267,12000,"*",17600,"*"
2,1982,267,12300,"*",18000,"*"
2,1983,267,12000,"*",18000,"*"
2,1984,267,12000,"*",18000,"*"
2,1985,267,12000,"*",18000,"*"
2,1986,267,12000,"*",18000,"*"
2,1987,267,11900,"F",17600,"F"
2,1988,267,11800,"F",17200,"F"
2,1989,267,11700,"F",16800,"F"
2,1990,267,11600,"F",16400,"F"
2,1991,267,11500,"F",16000,"F"
2,1992,267,11446,"E",16028,"E"
2,1993,267,14534,"E",15551,"E"
2,1994,267,11233,"E",15000,"F"
2,1995,267,10000,"F",12000,"F"
2,1996,267,9111,"E",13000,"F"
2,1997,267,11500,"F",14000,"F"
2,1998,267,11882,"E",16000,"F"
2,1999,267,8975,"E",16095,"E"
2,2000,267,7514,"E",13987,"E"
2,2001,267,7817,"E",13963,"E"
2,2002,267,10844,"E",13987,"E"
2,2003,267,12998,"E",14824,"E"
2,2004,267,10625," ",15000,"F"
2,2005,267,13824," ",20000,"F"
2,2006,267,10000,"F",14000,"F"
2,2007,267,7000,"F",9800,"F"
2,2008,267,3000,"F",4200,"F"
2,2009,267,1700,"*",2500,"F"
2,2010,267,1704,"E",2399,"E"
2,2011,267,1748,"E",2363,"E"
3,1961,267,4000,"F",4000,"F"
3,1962,267,5000,"F",5000,"F"
3,1963,267,5159," ",5422," "
3,1964,267,5774," ",5970," "
3,1965,267,6873," ",6283," "
3,1966,267,6982," ",8833," "
3,1967,267,11160," ",12116," "
3,1968,267,14009," ",13874," "
3,1969,267,18084," ",16315," "
3,1970,267,17136," ",18244," "
3,1971,267,20173," ",18054," "
3,1972,267,22000,"F",14000,"F"
3,1973,267,23900," ",19000," "
3,1974,267,25000,"F",25000,"F"
3,1975,267,26000,"F",32100,"*"
3,1976,267,26000,"F",34000,"F"
3,1977,267,26000,"F",35000,"F"
3,1978,267,26000,"F",36000,"F"
3,1979,267,25000," ",35900," "
3,1980,267,26200," ",28560," "
3,1981,267,28200," ",31500," "
3,1982,267,30200," ",32800," "
3,1983,267,34000," ",53000," "
3,1984,267,30000,"F",45000,"F"
3,1985,267,33500," ",36000," "
3,1986,267,28000," ",32500," "
3,1987,267,26000," ",23500," "
3,1988,267,24600," ",17000," "
3,1989,267,21700," ",23870," "
3,1990,267,21000," ",17000," "
3,1991,267,8650," ",4787," "
3,1992,267,8457," ",3447," "
3,1993,267,2069," ",1669," "
3,1994,267,1233," ",1000," "
3,1995,267,1227," ",1649," "
3,1996,267,1119," ",1486," "
3,1997,267,1465," ",2177," "
3,1998,267,1656," ",2652," "
3,1999,267,1600," ",2700," "
3,2000,267,1900," ",2900," "
3,2001,267,1800," ",2700," "
3,2002,267,1700," ",2600," "
3,2003,267,1434," ",1319," "
3,2004,267,2800," ",2200," "
3,2005,267,1100," ",2000," "
3,2006,267,1300," ",2200," "
3,2007,267,2100," ",2400," "
3,2008,267,1400," ",2200," "
3,2009,267,1200," ",2300," "
3,2010,267,1300," ",2600," "
3,2011,267,1460," ",3000," "
4,1961,267,50,"F",20,"F"
4,1962,267,70,"F",30,"F"
4,1963,267,95,"F",40,"F"
4,1964,267,120,"F",50,"F"
4,1965,267,200,"F",93," "
4,1966,267,400,"F",161," "
4,1967,267,500,"F",194," "
4,1968,267,1000,"F",400," "
4,1969,267,670," ",368," "
4,1970,267,3780," ",1431," "
4,1971,267,6560," ",1678," "
4,1972,267,4610," ",1315," "
4,1973,267,5070," ",1789," "
4,1974,267,6780," ",1464," "
4,1975,267,2960," ",1065," "
4,1976,267,1820," ",477," "
4,1977,267,990," ",392," "
4,1978,267,1160," ",176," "
4,1979,267,250," ",23," "
4,1980,267,70," ",45," "
4,1981,267,520," ",74," "
4,1982,267,110," ",29," "
4,1983,267,130," ",87," "
4,1984,267,100,"F",50,"F"
4,1985,267,100,"F",50,"F"
4,1986,267,100,"F",50,"F"
4,1987,267,100,"F",50,"F"
4,1988,267,100,"F",52,"F"
4,1989,267,100,"F",52,"F"
4,1990,267,105,"E",56,"E"
4,1991,267,72,"E",57,"E"
4,1992,267,94,"E",65,"E"
4,1993,267,101,"E",66,"E"
4,1994,267,99,"E",57,"E"
4,1995,267,107,"E",50,"F"
4,1996,267,103,"E",59,"E"
4,1997,267,101,"E",55,"E"
4,1998,267,102,"E",53,"E"
4,1999,267,103,"E",48,"E"
4,2000,267,104,"E",45,"E"
4,2001,267,109,"E",43,"E"
4,2002,267,116,"E",48,"E"
4,2003,267,126,"E",63,"E"
4,2004,267,147,"E",52,"E"
4,2005,267,158,"E",44,"E"
4,2006,267,155,"E",55,"E"
4,2007,267,162,"E",63,"E"
4,2008,267,166,"E",65,"E"
4,2009,267,169,"E",67,"E"
4,2010,267,170,"F",70,"F"
4,2011,267,175,"F",75,"F"
7,1961,267,5000,"F",7500,"F"
7,1962,267,6000,"F",6000,"F"
7,1963,267,6000,"F",6000,"F"
7,1964,267,7000,"F",7000,"F"
7,1965,267,7000,"F",7000,"F"
7,1966,267,8000,"F",7000,"F"
7,1967,267,8000,"F",8000,"F"
7,1968,267,8000,"F",6000,"F"
7,1969,267,9000,"F",8000,"F"
7,1970,267,10000,"F",10000,"F"
7,1971,267,15000,"F",12000,"F"
7,1972,267,15000,"F",18000,"F"
