"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
7,1961,122,15000,"F",90000,"*"
7,1962,122,15000,"F",1e+05,"*"
7,1963,122,17000,"F",125000,"*"
7,1964,122,18000,"F",140000,"*"
7,1965,122,18000,"F",150000,"*"
7,1966,122,16000,"F",125000,"*"
7,1967,122,17000,"F",145000,"*"
7,1968,122,17000,"F",140000,"*"
7,1969,122,17000,"F",145000,"*"
7,1970,122,18000,"F",147000,"*"
7,1971,122,18000,"F",150000,"*"
7,1972,122,18000,"F",155000,"F"
7,1973,122,18000,"F",160000,"F"
7,1974,122,18000,"F",160000,"F"
7,1975,122,18000,"F",160000,"F"
7,1976,122,18000,"F",161000,"F"
7,1977,122,18000,"F",162000,"F"
7,1978,122,18000,"F",162000,"F"
7,1979,122,18000,"F",162000,"F"
7,1980,122,18000,"F",165000,"F"
7,1981,122,18000,"F",165000,"F"
7,1982,122,18000,"F",165000,"F"
7,1983,122,18000,"F",165000,"F"
7,1984,122,19000,"F",170000,"F"
7,1985,122,19000,"F",170000,"F"
7,1986,122,19000,"F",170000,"F"
7,1987,122,19000,"F",170000,"F"
7,1988,122,19000,"F",170000,"F"
7,1989,122,19000,"F",165000,"F"
7,1990,122,18457,"E",164899,"E"
7,1991,122,19543,"E",170000,"F"
7,1992,122,20000,"F",180000,"F"
7,1993,122,21000,"F",185000,"F"
7,1994,122,19432,"E",180000,"F"
7,1995,122,25322,"E",185000,"F"
7,1996,122,22000,"F",188000,"F"
7,1997,122,21370,"E",189000,"F"
7,1998,122,22468,"E",190000,"F"
7,1999,122,22000," ",182303," "
7,2000,122,64126," ",224043," "
7,2001,122,79452," ",353228," "
7,2002,122,100294," ",423141," "
7,2003,122,142116," ",543319," "
7,2004,122,138796," ",629573," "
7,2005,122,143805," ",663787," "
7,2006,122,154783," ",684756," "
7,2007,122,161262," ",949104," "
7,2008,122,125276," ",819772," "
7,2009,122,147813," ",982588," "
7,2010,122,156594," ",986563," "
7,2011,122,159528," ",1045104," "
8,1961,122,30,"F",106,"F"
8,1962,122,30,"F",108,"F"
8,1963,122,30,"F",110,"F"
8,1964,122,30,"F",112,"F"
8,1965,122,30,"F",114,"F"
8,1966,122,30,"F",116,"F"
8,1967,122,30,"F",118,"F"
8,1968,122,30,"F",120,"F"
8,1969,122,30,"F",123,"F"
