"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
41,1961,305,0,"M",620000,"F"
41,1962,305,0,"M",620000,"F"
41,1963,305,0,"M",630000,"F"
41,1964,305,0,"M",630000,"F"
41,1965,305,0,"M",640000,"F"
41,1966,305,0,"M",640000,"F"
41,1967,305,0,"M",650000,"F"
41,1968,305,0,"M",650000,"F"
41,1969,305,0,"M",660000,"F"
41,1970,305,0,"M",660000,"F"
41,1971,305,0,"M",670000,"F"
41,1972,305,0,"M",670000,"F"
41,1973,305,0,"M",680000,"F"
41,1974,305,0,"M",680000,"F"
41,1975,305,0,"M",690000,"F"
41,1976,305,0,"M",690000,"F"
41,1977,305,0,"M",710000,"F"
41,1978,305,0,"M",730000,"F"
41,1979,305,0,"M",740000,"F"
41,1980,305,0,"M",740000,"F"
41,1981,305,0,"M",732000,"F"
41,1982,305,0,"M",760000,"F"
41,1983,305,0,"M",732000,"F"
41,1984,305,0,"M",770000,"F"
41,1985,305,3e+05,"F",777000,"F"
41,1986,305,3e+05,"F",738000,"F"
41,1987,305,3e+05,"F",680000,"F"
41,1988,305,325000,"F",760000,"F"
41,1989,305,330000,"F",763000,"F"
41,1990,305,335000,"F",770000,"F"
41,1991,305,351340,"E",775000,"F"
41,1992,305,358607,"E",770000,"F"
41,1993,305,359105,"E",780000,"F"
41,1994,305,340000,"F",795000,"F"
41,1995,305,337841,"E",780000,"F"
41,1996,305,313761,"E",785000,"F"
41,1997,305,319717,"E",790000,"F"
41,1998,305,345000,"F",8e+05,"F"
41,1999,305,341319,"E",783134,"E"
41,2000,305,350000,"F",820000,"F"
41,2001,305,360000,"F",835000,"F"
41,2002,305,365000,"F",850000,"F"
41,2003,305,370000,"F",865000,"F"
41,2004,305,375000,"F",870000,"F"
41,2005,305,380000,"F",890000,"F"
41,2006,305,358895,"E",9e+05,"F"
41,2007,305,341725,"E",920000,"F"
41,2008,305,390000,"F",950000,"F"
41,2009,305,4e+05,"F",965000,"F"
41,2010,305,392600,"E",941600,"E"
41,2011,305,395000,"F",950000,"F"
357,1961,305,0,"M",620000,"F"
357,1962,305,0,"M",620000,"F"
357,1963,305,0,"M",630000,"F"
357,1964,305,0,"M",630000,"F"
357,1965,305,0,"M",640000,"F"
357,1966,305,0,"M",640000,"F"
357,1967,305,0,"M",650000,"F"
357,1968,305,0,"M",650000,"F"
357,1969,305,0,"M",660000,"F"
357,1970,305,0,"M",660000,"F"
357,1971,305,0,"M",670000,"F"
357,1972,305,0,"M",670000,"F"
357,1973,305,0,"M",680000,"F"
357,1974,305,0,"M",680000,"F"
357,1975,305,0,"M",690000,"F"
357,1976,305,0,"M",690000,"F"
357,1977,305,0,"M",710000,"F"
357,1978,305,0,"M",730000,"F"
357,1979,305,0,"M",740000,"F"
357,1980,305,0,"M",740000,"F"
357,1981,305,0,"M",732000,"F"
357,1982,305,0,"M",760000,"F"
357,1983,305,0,"M",732000,"F"
357,1984,305,0,"M",770000,"F"
357,1985,305,3e+05,"F",777000,"F"
357,1986,305,3e+05,"F",738000,"F"
357,1987,305,3e+05,"F",680000,"F"
357,1988,305,325000,"F",760000,"F"
357,1989,305,330000,"F",763000,"F"
357,1990,305,335000,"F",770000,"F"
357,1991,305,335000,"F",775000,"F"
357,1992,305,335000,"F",770000,"F"
357,1993,305,335000,"F",780000,"F"
357,1994,305,340000,"F",795000,"F"
357,1995,305,340000,"F",780000,"F"
357,1996,305,340000,"F",785000,"F"
357,1997,305,340000,"F",790000,"F"
357,1998,305,345000,"F",8e+05,"F"
357,1999,305,345000,"F",8e+05,"F"
357,2000,305,350000,"F",820000,"F"
357,2001,305,0,"M",0,"M"
357,2002,305,0,"M",0,"M"
357,2003,305,0,"M",0,"M"
357,2004,305,0,"M",0,"M"
357,2005,305,0,"M",0,"M"
357,2006,305,0,"M",0,"M"
357,2007,305,0,"M",0,"M"
357,2008,305,0,"M",0,"M"
357,2009,305,0,"M",0,"M"
357,2010,305,0,"M",0,"M"
357,2011,305,0,"M",0,"M"
