"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
3,1961,495,0,"M",0,"M"
3,1962,495,0,"M",0,"M"
3,1963,495,0,"M",0,"M"
3,1964,495,0,"M",0,"M"
3,1965,495,0,"M",0,"M"
3,1966,495,0,"M",0,"M"
3,1967,495,0,"M",0,"M"
3,1968,495,0,"M",0,"M"
3,1969,495,0,"M",0,"M"
3,1970,495,0,"M",0,"M"
3,1971,495,0,"M",0,"M"
3,1972,495,0,"M",0,"M"
3,1973,495,0,"M",0,"M"
3,1974,495,0,"M",0,"M"
3,1975,495,0,"M",0,"M"
3,1976,495,0,"M",0,"M"
3,1977,495,0,"M",0,"M"
3,1978,495,0,"M",0,"M"
3,1979,495,0,"M",0,"M"
3,1980,495,0,"M",0,"M"
3,1981,495,0,"M",0,"M"
3,1982,495,0,"M",0,"M"
3,1983,495,0,"M",0,"M"
3,1984,495,0,"M",0,"M"
3,1985,495,0,"M",0,"M"
3,1986,495,0,"M",0,"M"
3,1987,495,0,"M",0,"M"
3,1988,495,0,"M",0,"M"
3,1989,495,0,"M",0,"M"
3,1990,495,0,"M",0,"M"
3,1991,495,0,"M",0,"M"
3,1992,495,0,"M",0,"M"
3,1993,495,0,"M",0,"M"
3,1994,495,0,"M",0,"M"
3,1995,495,0,"M",0,"M"
3,1996,495,0,"M",0,"M"
3,1997,495,0,"M",0,"M"
3,1998,495,0,"M",0,"M"
3,1999,495,0,"M",0,"M"
3,2000,495,0,"M",0,"M"
3,2001,495,0,"M",0,"M"
3,2002,495,0,"M",0,"M"
3,2003,495,0,"M",0,"M"
3,2004,495,75,"F",760," "
3,2005,495,100,"F",900," "
3,2006,495,104,"E",1070," "
3,2007,495,113,"E",1000," "
3,2008,495,120,"F",1100," "
3,2009,495,160,"F",2900," "
3,2010,495,250,"F",5037," "
3,2011,495,267," ",5800," "
4,1961,495,14000,"F",98000," "
4,1962,495,15000,"F",103195," "
4,1963,495,15000,"F",107000," "
4,1964,495,17500,"F",122413," "
4,1965,495,16000,"F",109601," "
4,1966,495,14000,"F",99632," "
4,1967,495,14000,"F",99099," "
4,1968,495,14000,"F",116044," "
4,1969,495,16000,"F",124318," "
4,1970,495,16000,"F",127063," "
4,1971,495,17000,"F",145398," "
4,1972,495,16000,"F",160295," "
4,1973,495,16000,"F",147628," "
4,1974,495,15000,"F",150223," "
4,1975,495,16500,"F",148684," "
4,1976,495,15000,"F",146968," "
4,1977,495,14500,"F",145715," "
4,1978,495,15000,"F",150227," "
4,1979,495,14000,"F",144445," "
4,1980,495,14500,"F",128694," "
4,1981,495,13000,"F",116380," "
4,1982,495,12000,"F",108865," "
4,1983,495,11500,"F",80587," "
4,1984,495,13500,"F",93130," "
4,1985,495,9500,"F",66844," "
4,1986,495,11000,"F",78366," "
4,1987,495,12000,"F",83750," "
4,1988,495,12500,"F",92726," "
4,1989,495,10500,"F",79551," "
4,1990,495,12140," ",82283," "
4,1991,495,12190," ",90996," "
4,1992,495,11510," ",92075," "
4,1993,495,11870," ",89238," "
4,1994,495,12350," ",99525," "
4,1995,495,12720," ",77882," "
4,1996,495,11690," ",80326," "
4,1997,495,12400," ",90196," "
4,1998,495,11500," ",110895," "
4,1999,495,11340," ",115487," "
4,2000,495,11370," ",102392," "
4,2001,495,12200," ",110087," "
4,2002,495,12300," ",116649," "
4,2003,495,11160," ",128658," "
4,2004,495,11396," ",144271," "
4,2005,495,11043," ",143314," "
4,2006,495,11618," ",156091," "
4,2007,495,11803," ",156146," "
4,2008,495,11832," ",149848," "
4,2009,495,11828," ",157155," "
4,2010,495,11779," ",151824," "
4,2011,495,11894," ",218027," "
9,1961,495,0,"M",196000," "
9,1962,495,0,"M",166000," "
9,1963,495,0,"M",195000," "
9,1964,495,0,"M",187200," "
9,1965,495,0,"M",101000," "
9,1966,495,0,"M",175000," "
9,1967,495,0,"M",114400," "
9,1968,495,0,"M",134000," "
9,1969,495,0,"M",217700," "
9,1970,495,0,"M",227100," "
9,1971,495,0,"M",265100," "
9,1972,495,0,"M",226000," "
9,1973,495,0,"M",248700," "
9,1974,495,0,"M",230000," "
9,1975,495,0,"M",229500," "
9,1976,495,0,"M",229000," "
9,1977,495,0,"M",250000," "
9,1978,495,0,"M",255000," "
9,1979,495,0,"M",224000," "
9,1980,495,34860," ",378000," "
9,1981,495,35200," ",387000," "
9,1982,495,32800," ",402600," "
9,1983,495,32400," ",391000," "
9,1984,495,33350," ",375000," "
9,1985,495,35100," ",457200," "
9,1986,495,35850," ",437000," "
9,1987,495,37899," ",478200," "
9,1988,495,35150," ",461700," "
9,1989,495,32800," ",458400," "
9,1990,495,35764," ",446980," "
