"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
5,1961,136,585,"F",3400,"F"
5,1962,136,585,"F",3400,"F"
5,1963,136,585,"F",3420,"F"
5,1964,136,585,"F",3430,"F"
5,1965,136,585,"F",3440,"F"
5,1966,136,585,"F",3450,"F"
5,1967,136,585,"F",3455,"*"
5,1968,136,585,"F",3810," "
5,1969,136,516," ",3938," "
5,1970,136,585,"F",3000,"*"
5,1971,136,585,"F",3500,"F"
5,1972,136,585,"F",3800,"F"
5,1973,136,585,"F",4000,"F"
5,1974,136,585,"F",3650,"F"
5,1975,136,585,"F",3600,"F"
5,1976,136,585,"F",3500,"F"
5,1977,136,585,"F",3400,"F"
5,1978,136,585,"F",3000,"F"
5,1979,136,456," ",2000,"*"
5,1980,136,607," ",2700,"F"
5,1981,136,607,"*",2600,"F"
5,1982,136,607,"*",2500,"F"
5,1983,136,607,"*",2400,"F"
5,1984,136,607,"*",2200,"F"
5,1985,136,550,"F",2000,"F"
5,1986,136,500,"F",2100,"F"
5,1987,136,450,"F",1500,"F"
5,1988,136,420,"F",1400,"F"
5,1989,136,391," ",1320,"*"
5,1990,136,450,"F",2000,"F"
5,1991,136,390,"E",1500,"F"
5,1992,136,392,"E",1491,"E"
5,1993,136,396,"E",1470,"E"
5,1994,136,407,"E",1505,"E"
5,1995,136,399,"E",1518,"E"
5,1996,136,409,"E",1642,"E"
5,1997,136,411,"E",1623,"E"
5,1998,136,719," ",4890," "
5,1999,136,1000,"F",3800,"F"
5,2000,136,1200,"F",4500,"F"
5,2001,136,1550,"F",6000,"F"
5,2002,136,1700,"F",6500,"F"
5,2003,136,2416," ",8951," "
5,2004,136,2500,"F",9000,"F"
5,2005,136,2567,"E",11479,"E"
5,2006,136,2489,"E",10433,"E"
5,2007,136,2339,"E",8460,"E"
5,2008,136,2895,"E",9577,"E"
5,2009,136,2248,"E",9303,"E"
5,2010,136,2510,"E",10000,"F"
5,2011,136,2218,"E",8834,"E"
8,1961,136,0," ",0," "
8,1962,136,0," ",0," "
8,1963,136,0," ",0," "
8,1964,136,0," ",0," "
8,1965,136,0," ",0," "
8,1966,136,1,"F",3,"F"
8,1967,136,2,"F",5,"F"
8,1968,136,2,"F",8,"F"
8,1969,136,3,"F",10,"F"
8,1970,136,4,"F",12,"F"
8,1971,136,8,"F",30,"F"
8,1972,136,12,"F",47," "
8,1973,136,13,"F",53," "
8,1974,136,20,"F",82," "
8,1975,136,5,"F",20," "
8,1976,136,7,"F",29," "
8,1977,136,5,"F",20," "
8,1978,136,10,"F",45," "
8,1979,136,18,"F",83," "
8,1980,136,7,"F",29," "
8,1981,136,8,"F",35," "
8,1982,136,6,"F",22," "
8,1983,136,20,"F",101," "
8,1984,136,2,"F",6," "
8,1985,136,3,"F",12," "
8,1986,136,8,"F",30,"F"
8,1987,136,10,"F",40," "
8,1988,136,12,"F",44," "
8,1989,136,8,"F",25,"F"
8,1990,136,7,"F",26,"E"
8,1991,136,8,"F",30,"F"
8,1992,136,8,"F",24,"E"
8,1993,136,5,"E",29,"E"
8,1994,136,10,"E",23,"E"
8,1995,136,7,"F",25,"F"
8,1996,136,8,"E",28,"E"
8,1997,136,7,"F",33,"E"
8,1998,136,7,"F",31,"E"
8,1999,136,6,"E",30,"E"
8,2000,136,8,"F",32,"E"
8,2001,136,8,"F",30,"F"
8,2002,136,9,"F",34,"F"
8,2003,136,10,"F",37,"F"
8,2004,136,12,"F",45,"F"
8,2005,136,12,"F",36,"E"
8,2006,136,9,"E",33,"E"
8,2007,136,10,"E",34,"E"
8,2008,136,9,"E",42,"E"
8,2009,136,11,"E",38,"E"
8,2010,136,11,"T",39,"E"
8,2011,136,9,"E",37,"E"
12,1961,136,0,"M",0,"M"
12,1962,136,0,"M",0,"M"
12,1963,136,0,"M",0,"M"
12,1964,136,0,"M",0,"M"
12,1965,136,0,"M",0,"M"
12,1966,136,0,"M",0,"M"
12,1967,136,0,"M",0,"M"
12,1968,136,0,"M",0,"M"
12,1969,136,0,"M",0,"M"
12,1970,136,0,"M",0,"M"
12,1971,136,0,"M",0,"M"
12,1972,136,0,"M",0,"M"
12,1973,136,0,"M",0,"M"
12,1974,136,0,"M",0,"M"
12,1975,136,0,"M",0,"M"
12,1976,136,0,"M",0,"M"
12,1977,136,0,"M",0,"M"
