"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,667,13100," ",6486,"*"
9,1962,667,13000," ",5828,"*"
9,1963,667,16200," ",11205,"*"
9,1964,667,18200," ",12519,"*"
9,1965,667,19000," ",13838,"*"
9,1966,667,23830," ",18799,"*"
9,1967,667,20950," ",17400," "
9,1968,667,28085," ",18600," "
9,1969,667,28400," ",21700," "
9,1970,667,31400," ",25800," "
9,1971,667,32250," ",29900," "
9,1972,667,29500," ",30500," "
9,1973,667,29100," ",29900," "
9,1974,667,35500," ",32600," "
9,1975,667,37700," ",38400," "
9,1976,667,36000," ",30900," "
9,1977,667,41000," ",39060," "
9,1978,667,43000," ",23947," "
9,1979,667,40600," ",29062," "
9,1980,667,40700," ",35572," "
9,1981,667,31100," ",22785," "
9,1982,667,35200," ",33015," "
9,1983,667,39300," ",40804," "
9,1984,667,41550," ",41478," "
9,1985,667,42050," ",46500," "
9,1986,667,36750," ",41385," "
9,1987,667,36800," ",45303," "
9,1988,667,34700," ",31806," "
9,1989,667,38227," ",49575," "
9,1990,667,38727," ",50505," "
9,1991,667,37192," ",46075," "
9,1992,667,37238," ",46408," "
9,1993,667,38270," ",54730," "
9,1994,667,37577," ",50993," "
9,1995,667,37364," ",51481," "
9,1996,667,37732," ",47064," "
9,1997,667,37557," ",54125," "
9,1998,667,37867," ",57148," "
9,1999,667,39600," ",55800," "
9,2000,667,38620," ",74256," "
9,2001,667,37420," ",71117," "
9,2002,667,36400," ",70457," "
9,2003,667,36380," ",69866," "
9,2004,667,36670," ",70389," "
9,2005,667,36335," ",67871," "
9,2006,667,38000,"F",72129," "
9,2007,667,40000,"F",76000,"F"
9,2008,667,39000," ",80142," "
9,2009,667,37201," ",71715," "
9,2010,667,37221," ",88574," "
9,2011,667,36989," ",96572," "
16,1961,667,32000," ",26542," "
16,1962,667,33000," ",23387," "
16,1963,667,36000," ",24599," "
16,1964,667,37000," ",28233," "
16,1965,667,38000," ",26592," "
16,1966,667,39765," ",28600," "
16,1967,667,40975," ",29300," "
16,1968,667,42443," ",28500," "
16,1969,667,43302," ",30318," "
16,1970,667,45604," ",31295," "
16,1971,667,45604," ",12007," "
16,1972,667,45604," ",24068," "
16,1973,667,45604," ",27216," "
16,1974,667,43162," ",32169," "
16,1975,667,43161,"*",29388," "
16,1976,667,43099," ",34097," "
16,1977,667,42998," ",37022," "
16,1978,667,43183," ",38305," "
16,1979,667,43183," ",36610," "
16,1980,667,44091," ",39708," "
16,1981,667,45165," ",38772," "
16,1982,667,44543," ",40937," "
16,1983,667,44575," ",42202," "
16,1984,667,44553," ",37900," "
16,1985,667,44610," ",43285," "
16,1986,667,45700," ",38000," "
16,1987,667,45785," ",37595," "
16,1988,667,46424," ",40611," "
16,1989,667,46470," ",43581," "
16,1990,667,47418," ",39075," "
16,1991,667,47629," ",45012," "
16,1992,667,47657," ",45632," "
16,1993,667,47782," ",48900," "
16,1994,667,47786," ",50515," "
16,1995,667,47780," ",52000," "
16,1996,667,48015," ",47675," "
16,1997,667,48308," ",53310," "
16,1998,667,48598," ",50575," "
16,1999,667,48562," ",56000," "
16,2000,667,48600," ",46000," "
16,2001,667,48600," ",52000," "
16,2002,667,50990," ",58000," "
16,2003,667,50977," ",57500," "
16,2004,667,53215," ",57580," "
16,2005,667,53239," ",57580," "
16,2006,667,52609," ",58000," "
16,2007,667,57580," ",58500," "
16,2008,667,58005," ",59000," "
16,2009,667,59000," ",59500," "
16,2010,667,52236," ",60000," "
16,2011,667,56670," ",60500," "
19,1961,667,60,"F",100,"F"
19,1962,667,60,"F",100,"F"
19,1963,667,70,"F",110,"F"
19,1964,667,70,"F",115,"F"
19,1965,667,80,"F",120,"F"
19,1966,667,80,"F",130,"F"
19,1967,667,80," ",128," "
19,1968,667,110," ",176," "
19,1969,667,150," ",225," "
19,1970,667,250," ",500," "
19,1971,667,285," ",627," "
19,1972,667,290," ",580," "
19,1973,667,300," ",570," "
19,1974,667,300," ",570," "
19,1975,667,310," ",650," "
19,1976,667,580," ",1130," "
19,1977,667,580," ",1100," "
19,1978,667,570," ",1455," "
19,1979,667,614," ",1566," "
19,1980,667,600," ",1440," "
19,1981,667,400,"F",640,"F"
19,1982,667,300,"F",480,"F"
19,1983,667,130," ",200,"*"
19,1984,667,173," ",290,"*"
19,1985,667,189," ",320,"*"
19,1986,667,208," ",335,"*"
19,1987,667,230," ",390,"*"
19,1988,667,250," ",430,"*"
19,1989,667,270," ",440,"*"
19,1990,667,310," ",500,"*"
19,1991,667,330," ",540,"*"
19,1992,667,335," ",550,"*"
19,1993,667,345," ",590,"*"
19,1994,667,330," ",675,"*"
19,1995,667,350," ",690,"*"
19,1996,667,400," ",710,"*"
19,1997,667,380," ",735,"*"
19,1998,667,400," ",735,"*"
19,1999,667,408," ",810,"*"
19,2000,667,415," ",840,"*"
19,2001,667,420," ",840,"*"
19,2002,667,425," ",850,"*"
19,2003,667,430," ",850,"*"
19,2004,667,378," ",847," "
19,2005,667,382," ",866," "
19,2006,667,378," ",872," "
19,2007,667,381," ",889," "
19,2008,667,384," ",904,"*"
19,2009,667,265," ",1245," "
19,2010,667,257," ",1214," "
19,2011,667,261," ",1219," "
21,1961,667,4133," ",5000,"F"
21,1962,667,4200," ",5044," "
21,1963,667,4257," ",6133," "
21,1964,667,4297," ",6231," "
21,1965,667,4298," ",6228," "
21,1966,667,4428," ",3365," "
21,1967,667,4428," ",3512," "
21,1968,667,4452," ",3854," "
21,1969,667,4452," ",4586," "
21,1970,667,4452," ",5848," "
21,1971,667,4458," ",6547," "
21,1972,667,4460," ",6568," "
21,1973,667,4475," ",6471," "
21,1974,667,4465," ",6445," "
21,1975,667,5315," ",7681," "
21,1976,667,5405," ",7820," "
21,1977,667,5345," ",7741," "
21,1978,667,4593," ",9196," "
21,1979,667,4673," ",9398," "
21,1980,667,4826," ",9707," "
21,1981,667,5013," ",10081," "
21,1982,667,5573," ",11272," "
21,1983,667,5406," ",9196," "
21,1984,667,5281," ",10703," "
21,1985,667,5336," ",10823," "
21,1986,667,5366," ",12130," "
21,1987,667,5466," ",12168," "
21,1988,667,5176," ",9521," "
21,1989,667,5406," ",9838," "
21,1990,667,5405," ",9813," "
21,1991,667,5535," ",10389," "
21,1992,667,3403," ",6019," "
21,1993,667,5787," ",10587," "
21,1994,667,4972," ",9807," "
21,1995,667,4532," ",8607," "
21,1996,667,3303," ",6181," "
21,1997,667,3286," ",6156," "
21,1998,667,3264," ",5807," "
21,1999,667,3917," ",7020," "
21,2000,667,3911," ",8400," "
21,2001,667,3842," ",8337," "
21,2002,667,3894," ",8687," "
21,2003,667,2843," ",5559," "
21,2004,667,2710," ",5347," "
21,2005,667,2520," ",4473," "
21,2006,667,2505," ",4052," "
21,2007,667,311," ",1083," "
21,2008,667,2597," ",4752," "
21,2009,667,2597," ",4686," "
21,2010,667,2399," ",4278," "
21,2011,667,2291," ",3520," "
28,1961,667,48000,"F",5200,"F"
28,1962,667,48200," ",5200,"F"
28,1963,667,48600," ",5300," "
28,1964,667,40900," ",8600," "
28,1965,667,46500," ",10500," "
28,1966,667,46100," ",11100," "
28,1967,667,47100," ",11300," "
28,1968,667,47800," ",10900," "
28,1969,667,47800," ",10900," "
28,1970,667,47800," ",10900," "
28,1971,667,48200," ",11000," "
28,1972,667,49800," ",11600," "
28,1973,667,50200," ",14100," "
28,1974,667,50600," ",14000," "
28,1975,667,50600," ",14000," "
28,1976,667,50600," ",14000," "
28,1977,667,51000," ",14800," "
28,1978,667,51400," ",14300," "
28,1979,667,51000," ",12400," "
28,1980,667,52000,"F",12600,"F"
28,1981,667,52200," ",12800," "
28,1982,667,52600," ",13800," "
28,1983,667,53000," ",19000," "
28,1984,667,53400," ",14900," "
28,1985,667,54200," ",15500," "
28,1986,667,55000," ",15100," "
28,1987,667,55400," ",14100," "
28,1988,667,57500," ",14900," "
28,1989,667,57500," ",14700," "
28,1990,667,57100," ",14900," "
28,1991,667,57500," ",10900," "
28,1992,667,57900," ",14400," "
28,1993,667,58300," ",15300," "
28,1994,667,58300," ",15300," "
28,1995,667,59500," ",15900," "
28,1996,667,59900," ",16000," "
28,1997,667,61236," ",17700," "
28,1998,667,67892," ",20364," "
28,1999,667,62881," ",18424," "
28,2000,667,66908," ",19000,"*"
28,2001,667,67087," ",21300,"*"
28,2002,667,68853," ",22800,"*"
28,2003,667,70800," ",22840,"*"
28,2004,667,71712," ",24640,"*"
28,2005,667,72400," ",25000,"*"
28,2006,667,74000," ",26000,"*"
28,2007,667,76100," ",27700,"*"
28,2008,667,76900," ",29000,"*"
28,2009,667,77975," ",30255,"*"
28,2010,667,78746," ",31060,"*"
28,2011,667,78604," ",31000,"*"
29,1961,667,0," ",0," "
29,1962,667,0," ",0," "
29,1963,667,0," ",0," "
29,1964,667,0," ",0," "
29,1965,667,0," ",0," "
29,1966,667,0," ",0," "
29,1967,667,50,"F",18," "
29,1968,667,150,"F",79," "
29,1969,667,200,"F",92," "
29,1970,667,300,"F",147," "
29,1971,667,752," ",325," "
29,1972,667,907," ",487," "
29,1973,667,1064," ",656," "
29,1974,667,1169," ",829," "
29,1975,667,1914," ",819," "
29,1976,667,2090," ",1278," "
29,1977,667,2766," ",1457," "
29,1978,667,3101," ",1431," "
29,1979,667,3200,"F",1612," "
29,1980,667,3650," ",1454," "
29,1981,667,3729," ",2271," "
29,1982,667,4034," ",2178," "
29,1983,667,4549," ",2334," "
29,1984,667,4796," ",3445," "
29,1985,667,4857," ",4145," "
29,1986,667,4872," ",3598," "
29,1987,667,4872," ",4382," "
29,1988,667,4680," ",3721," "
29,1989,667,4819," ",3862," "
29,1990,667,5218," ",4040," "
29,1991,667,6020," ",5323," "
29,1992,667,5585," ",5952," "
29,1993,667,6133," ",5520," "
29,1994,667,6613," ",6864," "
29,1995,667,7163," ",6985," "
29,1996,667,7526," ",5648," "
29,1997,667,7500,"F",4169," "
29,1998,667,7500," ",6669," "
29,1999,667,7500," ",6865," "
29,2000,667,7906," ",34060," "
29,2001,667,8202," ",44400," "
29,2002,667,8487," ",33234," "
29,2003,667,8668," ",35225," "
29,2004,667,8783," ",37523," "
29,2005,667,8843," ",39335," "
29,2006,667,8213," ",30836," "
29,2007,667,8213," ",33676," "
29,2008,667,8213," ",31787," "
29,2009,667,8213," ",31828," "
29,2010,667,8213," ",37875," "
29,2011,667,8434," ",40853," "
32,1961,667,744,"*",83,"*"
32,1962,667,742,"*",136,"*"
32,1963,667,758,"*",242,"*"
32,1964,667,760,"*",341,"*"
32,1965,667,725,"*",517,"*"
32,1966,667,725,"*",650,"*"
32,1967,667,737,"*",750,"*"
32,1968,667,791,"*",1071,"*"
32,1969,667,789,"*",978,"*"
32,1970,667,730,"*",1028," "
32,1971,667,737,"*",1110," "
32,1972,667,747,"*",1296," "
32,1973,667,747,"*",1471," "
32,1974,667,747,"*",935," "
32,1975,667,753,"*",1572," "
32,1976,667,941," ",1003," "
32,1977,667,933," ",1730," "
32,1978,667,949,"*",1800," "
32,1979,667,913," ",2107," "
32,1980,667,921," ",1882," "
32,1981,667,1233," ",2131," "
32,1982,667,979," ",1800," "
32,1983,667,955," ",2104," "
32,1984,667,1035," ",2279," "
32,1985,667,960," ",2114," "
32,1986,667,980,"F",2516," "
32,1987,667,1000,"F",2564," "
32,1988,667,1000,"F",2500,"F"
32,1989,667,1400," ",2452," "
32,1990,667,1400," ",2900," "
32,1991,667,1400," ",3000," "
32,1992,667,1512," ",3416," "
32,1993,667,1512," ",3902," "
32,1994,667,1512," ",3567," "
32,1995,667,1512," ",3873," "
32,1996,667,1512," ",3581," "
32,1997,667,1512," ",4190," "
32,1998,667,1512," ",3944," "
32,1999,667,1547,"*",4597," "
32,2000,667,1546,"*",4004," "
32,2001,667,1550,"F",4200,"*"
32,2002,667,1600,"F",4000," "
32,2003,667,1550,"F",3401," "
32,2004,667,1547,"E",4000,"F"
32,2005,667,1544,"E",4109,"E"
32,2006,667,1548,"E",4111,"E"
32,2007,667,1554,"E",4122,"E"
32,2008,667,1560,"E",4037,"E"
32,2009,667,2189,"E",6000,"P"
32,2010,667,1570,"F",4100,"F"
32,2011,667,1717,"E",4297,"E"
38,1961,667,237713," ",206488," "
38,1962,667,239217," ",211850," "
38,1963,667,237702," ",219798," "
38,1964,667,239569," ",218513," "
38,1965,667,240508," ",228236," "
38,1966,667,241373," ",222312," "
38,1967,667,242331," ",220742," "
38,1968,667,241796," ",224803," "
38,1969,667,241401," ",219639," "
38,1970,667,241799," ",212210," "
38,1971,667,241667," ",217773," "
38,1972,667,241855," ",208858," "
38,1973,667,242298," ",211285," "
38,1974,667,242193," ",204037," "
38,1975,667,241880," ",213928," "
38,1976,667,240581," ",196606," "
38,1977,667,242012," ",208572," "
38,1978,667,242899," ",198780," "
38,1979,667,244099," ",208417," "
38,1980,667,244710," ",191375," "
38,1981,667,244918," ",210148," "
38,1982,667,242141," ",187816," "
38,1983,667,242130," ",179287," "
38,1984,667,227874," ",208058," "
38,1985,667,231650," ",214094," "
38,1986,667,222905," ",211276," "
38,1987,667,221498," ",213327," "
38,1988,667,221683," ",226952," "
38,1989,667,222110," ",206987," "
38,1990,667,221758," ",233165," "
38,1991,667,221691," ",240747," "
38,1992,667,221836," ",178870," "
38,1993,667,197230," ",231871," "
38,1994,667,187309," ",242214," "
38,1995,667,188970," ",245961," "
38,1996,667,187563," ",258427," "
38,1997,667,190473," ",276861," "
38,1998,667,188970," ",280056," "
38,1999,667,195460," ",283760," "
38,2000,667,188970," ",305840," "
38,2001,667,188970," ",295090," "
38,2002,667,210620," ",310000," "
38,2003,667,210620," ",303230," "
38,2004,667,212720," ",308090," "
38,2005,667,212720," ",317200," "
38,2006,667,212720," ",310800," "
38,2007,667,212720," ",305220," "
38,2008,667,221969," ",318700," "
38,2009,667,221969," ",290000," "
38,2010,667,221969," ",331400," "
38,2011,667,221969," ",327500," "
41,1961,667,310000,"F",79000," "
41,1962,667,315000,"F",74000," "
41,1963,667,320000,"F",84000," "
41,1964,667,330000,"F",92000," "
41,1965,667,335000,"F",100600," "
41,1966,667,340000,"F",106000," "
41,1967,667,380000,"F",113000," "
41,1968,667,410000,"F",118000," "
41,1969,667,440000,"F",122000," "
41,1970,667,486000," ",136000," "
41,1971,667,550000,"F",153000," "
41,1972,667,6e+05,"F",170000," "
41,1973,667,7e+05,"F",182000," "
41,1974,667,8e+05,"F",198000," "
41,1975,667,9e+05,"F",211000," "
41,1976,667,962900," ",233500," "
41,1977,667,1014100," ",252100," "
41,1978,667,1047700," ",268000," "
41,1979,667,1050600," ",277100," "
41,1980,667,1041000," ",304000," "
41,1981,667,1061000," ",343000," "
41,1982,667,1097000," ",397000," "
41,1983,667,1104733," ",400550," "
41,1984,667,1077400," ",414000," "
41,1985,667,810000,"F",432337," "
41,1986,667,795000,"F",460468," "
41,1987,667,810000,"F",509000," "
41,1988,667,820000,"F",545416," "
41,1989,667,825000,"F",534876," "
41,1990,667,820000,"F",540070," "
41,1991,667,829000," ",541581," "
41,1992,667,840300," ",559827," "
41,1993,667,879600," ",6e+05," "
41,1994,667,884000," ",588468," "
41,1995,667,868200," ",588500," "
41,1996,667,871480," ",593386," "
41,1997,667,868950," ",613366," "
41,1998,667,859690," ",665034," "
41,1999,667,909400," ",675871," "
41,2000,667,879500," ",683324," "
41,2001,667,887760," ",701699," "
41,2002,667,894800," ",745374," "
41,2003,667,925200," ",768140," "
41,2004,667,982700," ",835230," "
41,2005,667,1041500," ",934857," "
41,2006,667,1100300," ",1028000," "
41,2007,667,1242000,"*",1165500," "
41,2008,667,1283200," ",1257600," "
41,2009,667,1306000,"*",1359000," "
41,2010,667,1405000,"*",1450000," "
41,2011,667,1499900,"*",1623000," "
44,1961,667,0,"M",0,"M"
44,1962,667,0,"M",0,"M"
44,1963,667,0,"M",0,"M"
44,1964,667,0,"M",0,"M"
44,1965,667,0,"M",0,"M"
44,1966,667,0,"M",0,"M"
44,1967,667,0,"M",0,"M"
44,1968,667,0,"M",0,"M"
44,1969,667,0,"M",0,"M"
44,1970,667,0,"M",0,"M"
44,1971,667,0,"M",0,"M"
44,1972,667,0,"M",0,"M"
44,1973,667,0,"M",0,"M"
44,1974,667,0,"M",0,"M"
44,1975,667,0,"M",0,"M"
44,1976,667,0,"M",0,"M"
44,1977,667,0,"M",0,"M"
44,1978,667,0,"M",0,"M"
44,1979,667,0,"M",0,"M"
44,1980,667,0,"M",0,"M"
44,1981,667,0,"M",0,"M"
44,1982,667,0,"M",0,"M"
44,1983,667,0,"M",0,"M"
44,1984,667,0,"M",0,"M"
