"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,826,0," ",0," "
1,1962,826,0," ",0," "
1,1963,826,0," ",0," "
1,1964,826,0," ",0," "
1,1965,826,0," ",0," "
1,1966,826,0," ",0," "
1,1967,826,0," ",0," "
1,1968,826,0," ",0," "
1,1969,826,0," ",0," "
1,1970,826,0," ",0," "
1,1971,826,0," ",0," "
1,1972,826,0," ",0," "
1,1973,826,0," ",0," "
1,1974,826,0," ",0," "
1,1975,826,0," ",0," "
1,1976,826,0," ",0," "
1,1977,826,0," ",0," "
1,1978,826,0," ",0," "
1,1979,826,0," ",0," "
1,1980,826,0," ",0," "
1,1981,826,0," ",0," "
1,1982,826,0," ",0," "
1,1983,826,0," ",0," "
1,1984,826,0," ",0," "
1,1985,826,0," ",0," "
1,1986,826,0," ",0," "
1,1987,826,0," ",0," "
1,1988,826,0," ",0," "
1,1989,826,0," ",0," "
1,1990,826,739," ",1658," "
1,1991,826,601," ",1033," "
1,1992,826,639," ",1484," "
1,1993,826,676," ",1600," "
1,1994,826,200," ",500," "
1,1995,826,100," ",200," "
1,1996,826,19," ",23," "
1,1997,826,33.59999847," ",40," "
1,1998,826,100," ",200," "
1,1999,826,820," ",1855," "
1,2000,826,2528," ",4577," "
1,2001,826,1088," ",2541," "
1,2002,826,890," ",2714," "
1,2003,826,526," ",1204," "
1,2004,826,480," ",1100," "
1,2005,826,210," ",500," "
1,2006,826,80," ",171," "
1,2007,826,118," ",268," "
1,2008,826,170," ",538," "
1,2009,826,297," ",1054.8," "
1,2010,826,417," ",1376," "
1,2011,826,614," ",2386," "
3,1961,826,11263," ",3152," "
3,1962,826,22412," ",10351," "
3,1963,826,25601," ",15981," "
3,1964,826,24382," ",13544," "
3,1965,826,22346," ",13175," "
3,1966,826,20642," ",13662," "
3,1967,826,19483," ",13000," "
3,1968,826,18642," ",10000," "
3,1969,826,19017," ",10474," "
3,1970,826,17962," ",12160," "
3,1971,826,17840," ",12669," "
3,1972,826,19000,"F",14000,"F"
3,1973,826,18100," ",15000," "
3,1974,826,19000,"F",13800,"F"
3,1975,826,20000,"F",14000,"F"
3,1976,826,24000,"*",13000,"*"
3,1977,826,24000,"*",13000,"*"
3,1978,826,22000,"F",14000,"F"
3,1979,826,20000," ",19000," "
3,1980,826,20500," ",18000,"F"
3,1981,826,21400," ",17700," "
3,1982,826,20900," ",17500," "
3,1983,826,20900," ",17500," "
3,1984,826,21000,"*",19000,"*"
3,1985,826,23000," ",20000," "
3,1986,826,30000," ",24000," "
3,1987,826,32400," ",25000," "
3,1988,826,31000," ",14000," "
3,1989,826,27000," ",19000," "
3,1990,826,24000," ",14100," "
3,1991,826,11000," ",7000," "
3,1992,826,12846," ",12495," "
3,1993,826,13017," ",13488," "
3,1994,826,6423," ",3855," "
3,1995,826,6177," ",5741," "
3,1996,826,6727," ",6339," "
3,1997,826,7525," ",7854," "
3,1998,826,7064," ",7399," "
3,1999,826,6700," ",7300," "
3,2000,826,5700," ",6200," "
3,2001,826,4100," ",3600," "
3,2002,826,2300," ",2600," "
3,2003,826,1642," ",1416," "
3,2004,826,1900," ",2100," "
3,2005,826,1500," ",1900," "
3,2006,826,1800," ",2000," "
3,2007,826,1200," ",900," "
3,2008,826,1100," ",1300," "
3,2009,826,1200," ",1600," "
3,2010,826,1200," ",1700," "
3,2011,826,1180," ",1900," "
4,1961,826,9060," ",3000," "
4,1962,826,8600," ",5500," "
4,1963,826,11300," ",7300," "
4,1964,826,10000," ",9000," "
4,1965,826,9000," ",3354," "
4,1966,826,9000," ",4743," "
4,1967,826,9000," ",6094," "
4,1968,826,9150," ",6135," "
4,1969,826,9630," ",5880," "
4,1970,826,6750," ",3862," "
4,1971,826,5990," ",4307," "
4,1972,826,5090," ",3366," "
4,1973,826,3650," ",2564," "
4,1974,826,3090," ",2343," "
4,1975,826,3050," ",3358," "
4,1976,826,2140," ",1933," "
4,1977,826,2270," ",2441," "
4,1978,826,4860," ",3254," "
4,1979,826,4130," ",2826," "
4,1980,826,4380," ",3282," "
4,1981,826,4300," ",4798," "
4,1982,826,4010," ",4470," "
4,1983,826,3920," ",3300," "
4,1984,826,4750," ",6339," "
4,1985,826,3460," ",4034," "
4,1986,826,3780," ",3947," "
4,1987,826,3940," ",4620," "
4,1988,826,2580," ",3507," "
4,1989,826,2800," ",3527," "
4,1990,826,2900," ",3578," "
4,1991,826,2710," ",3358," "
4,1992,826,4570," ",6181," "
4,1993,826,6310," ",6877," "
4,1994,826,3660," ",3720," "
4,1995,826,2650," ",2790," "
4,1996,826,3800," ",4045," "
4,1997,826,6170," ",8153," "
4,1998,826,7330," ",6650," "
4,1999,826,5670," ",5597," "
4,2000,826,6450," ",7153," "
4,2001,826,6300," ",7776," "
4,2002,826,5410," ",5847," "
4,2003,826,5360," ",5674," "
4,2004,826,5498," ",7600," "
4,2005,826,4900," ",6500," "
4,2006,826,5092," ",6889," "
4,2007,826,4438," ",6043," "
4,2008,826,4541," ",6374," "
4,2009,826,4594," ",7668," "
4,2010,826,4219," ",7604," "
4,2011,826,4532," ",8281," "
5,1961,826,2," ",2," "
5,1962,826,2,"F",2," "
5,1963,826,4," ",4,"F"
5,1964,826,5," ",4,"F"
