"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,388,0," ",0," "
1,1962,388,0," ",0," "
1,1963,388,0," ",0," "
1,1964,388,0," ",0," "
1,1965,388,0," ",0," "
1,1966,388,0," ",0," "
1,1967,388,0," ",0," "
1,1968,388,0," ",0," "
1,1969,388,0," ",0," "
1,1970,388,0," ",0," "
1,1971,388,0," ",0," "
1,1972,388,0," ",0," "
1,1973,388,0," ",0," "
1,1974,388,0," ",0," "
1,1975,388,0," ",0," "
1,1976,388,0," ",0," "
1,1977,388,0," ",0," "
1,1978,388,0," ",0," "
1,1979,388,0," ",0," "
1,1980,388,0," ",0," "
1,1981,388,0," ",0," "
1,1982,388,0," ",0," "
1,1983,388,0," ",0," "
1,1984,388,0," ",0," "
1,1985,388,0," ",0," "
1,1986,388,0," ",0," "
1,1987,388,0," ",0," "
1,1988,388,8600,"*",312000,"*"
1,1989,388,8500,"*",267000,"*"
1,1990,388,8600,"*",210000,"*"
1,1991,388,10700,"*",272000,"*"
1,1992,388,8500,"*",220000,"*"
1,1993,388,6000,"*",199000,"*"
1,1994,388,6000,"*",195000,"*"
1,1995,388,6600,"*",203000,"*"
1,1996,388,5995," ",180361," "
1,1997,388,5500,"*",141240," "
1,1998,388,5000,"*",145000,"*"
1,1999,388,5782," ",151400," "
1,2000,388,5588," ",143667," "
1,2001,388,5351," ",158277," "
1,2002,388,5618," ",170008," "
1,2003,388,7236," ",225573," "
1,2004,388,6374," ",229478," "
1,2005,388,6291," ",234948," "
1,2006,388,7205," ",319285," "
1,2007,388,7372," ",321472," "
1,2008,388,6257," ",293784," "
1,2009,388,6231," ",278582," "
1,2010,388,6517," ",251916," "
1,2011,388,6837," ",275470," "
3,1961,388,2500,"F",30000,"F"
3,1962,388,2500,"F",30000,"F"
3,1963,388,2500,"F",31000,"F"
3,1964,388,2500,"F",32000,"F"
3,1965,388,2500,"F",32000,"F"
3,1966,388,2800,"F",35000,"F"
3,1967,388,2800,"F",37000,"F"
3,1968,388,2800,"F",36000,"F"
3,1969,388,3000,"F",36000,"F"
3,1970,388,3000,"F",37000,"*"
3,1971,388,3000,"F",38000,"F"
3,1972,388,3000,"F",38000,"F"
3,1973,388,3000,"F",40000,"F"
3,1974,388,3000,"F",39000,"F"
3,1975,388,3000,"F",40000,"F"
3,1976,388,3500,"F",41000,"F"
3,1977,388,3500,"F",42000,"F"
3,1978,388,3500,"F",44000,"F"
3,1979,388,3500,"F",42000,"F"
3,1980,388,3500,"F",43000,"*"
3,1981,388,3800,"F",45000,"F"
3,1982,388,3800,"F",46000,"F"
3,1983,388,3800,"F",46500,"*"
3,1984,388,3800,"F",47000,"F"
3,1985,388,3900,"F",47000,"F"
3,1986,388,3900,"F",47000,"*"
3,1987,388,4000,"F",47800,"*"
3,1988,388,4000,"F",48000,"*"
3,1989,388,4100,"F",59000,"*"
3,1990,388,3150,"F",60000,"*"
3,1991,388,3500,"F",64000,"*"
3,1992,388,5500,"F",110000,"F"
3,1993,388,4900,"F",121392,"E"
3,1994,388,5535," ",127000," "
3,1995,388,6200," ",150000," "
3,1996,388,5600," ",180000," "
3,1997,388,5100," ",150000," "
3,1998,388,5200," ",156000," "
3,1999,388,5300," ",160000," "
3,2000,388,5400," ",162000," "
3,2001,388,6400," ",170895," "
3,2002,388,6100," ",162000," "
3,2003,388,5500," ",151000," "
3,2004,388,5700," ",152000," "
3,2005,388,6200," ",152000," "
3,2006,388,7385," ",164853," "
3,2007,388,6500,"*",160000," "
3,2008,388,5050," ",162500," "
3,2009,388,5068," ",162376," "
3,2010,388,6161," ",199283," "
3,2011,388,6100," ",2e+05," "
4,1961,388,8490," ",139720," "
4,1962,388,8000,"F",140000," "
4,1963,388,8000,"F",140000," "
4,1964,388,8260," ",112707," "
4,1965,388,6940," ",85260," "
4,1966,388,7380," ",82493," "
4,1967,388,7600," ",69128," "
4,1968,388,8370," ",84100," "
4,1969,388,8320," ",93107," "
4,1970,388,12500," ",118120," "
4,1971,388,14810," ",119870," "
4,1972,388,14760," ",136139," "
4,1973,388,18760," ",173033," "
4,1974,388,17100," ",163448," "
4,1975,388,19560," ",221113," "
4,1976,388,20310," ",179981," "
4,1977,388,22760," ",185617," "
4,1978,388,22370," ",181141," "
4,1979,388,21200," ",181540," "
4,1980,388,19020," ",277700," "
4,1981,388,28760," ",302804," "
4,1982,388,27670," ",246393," "
4,1983,388,29750," ",251657," "
4,1984,388,26520," ",265700," "
4,1985,388,34000," ",348550," "
4,1986,388,34850," ",472800," "
4,1987,388,35100," ",457330," "
4,1988,388,34870," ",441590," "
4,1989,388,37760," ",511260," "
4,1990,388,32000," ",402020," "
4,1991,388,36950," ",534427," "
4,1992,388,38430," ",596542," "
4,1993,388,48420," ",828747," "
4,1994,388,41520," ",694755," "
4,1995,388,46690," ",858637," "
4,1996,388,42020," ",719000," "
4,1997,388,43330," ",688527," "
4,1998,388,46170," ",752277," "
4,1999,388,55210," ",954804," "
4,2000,388,43910," ",816839," "
4,2001,388,39830," ",830531," "
4,2002,388,42510," ",814941," "
4,2003,388,45730," ",887097," "
4,2004,388,46739," ",1092273," "
4,2005,388,42354," ",1023445," "
4,2006,388,31005," ",796160," "
4,2007,388,20079," ",567313," "
4,2008,388,19655," ",559249," "
4,2009,388,20789," ",641034," "
4,2010,388,21358," ",718235," "
4,2011,388,20575," ",771606," "
