"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
4,1961,97,0,"M",0,"M"
4,1962,97,0,"M",0,"M"
4,1963,97,0,"M",0,"M"
4,1964,97,0,"M",0,"M"
4,1965,97,0,"M",0,"M"
4,1966,97,0,"M",0,"M"
4,1967,97,0,"M",0,"M"
4,1968,97,0,"M",0,"M"
4,1969,97,0,"M",0,"M"
4,1970,97,0,"M",0,"M"
4,1971,97,0,"M",0,"M"
4,1972,97,0,"M",0,"M"
4,1973,97,0,"M",0,"M"
4,1974,97,0,"M",0,"M"
4,1975,97,0,"M",0,"M"
4,1976,97,0,"M",0,"M"
4,1977,97,0,"M",0,"M"
4,1978,97,0,"M",0,"M"
4,1979,97,0,"M",0,"M"
4,1980,97,0,"M",0,"M"
4,1981,97,0,"M",0,"M"
4,1982,97,0,"M",0,"M"
4,1983,97,0,"M",0,"M"
4,1984,97,0,"M",0,"M"
4,1985,97,0,"M",0,"M"
4,1986,97,0,"M",0,"M"
4,1987,97,0,"M",0,"M"
4,1988,97,0,"M",0,"M"
4,1989,97,0,"M",0,"M"
4,1990,97,9,"F",20,"F"
4,1991,97,18,"F",40,"F"
4,1992,97,27,"F",60,"F"
4,1993,97,32,"F",70,"F"
4,1994,97,36,"F",80,"F"
4,1995,97,40,"F",90,"F"
4,1996,97,45,"F",100,"F"
4,1997,97,30," ",119," "
4,1998,97,190," ",246," "
4,1999,97,10," ",6," "
4,2000,97,10," ",11," "
4,2001,97,10," ",6," "
4,2002,97,0," ",0," "
4,2003,97,0,"F",0,"F"
4,2004,97,0,"F",0,"F"
4,2005,97,0,"F",0,"F"
4,2006,97,0,"F",0,"F"
4,2007,97,0," ",0," "
4,2008,97,0," ",0," "
4,2009,97,0," ",0," "
4,2010,97,0,"T",0,"T"
4,2011,97,0,"T",0,"T"
10,1961,97,0," ",0," "
10,1962,97,0," ",0," "
10,1963,97,0," ",0," "
10,1964,97,0," ",0," "
10,1965,97,0," ",0," "
10,1966,97,0," ",0," "
10,1967,97,0," ",0," "
10,1968,97,0," ",0," "
10,1969,97,0," ",0," "
10,1970,97,0," ",0," "
10,1971,97,0," ",0," "
10,1972,97,0," ",0," "
10,1973,97,0," ",0," "
10,1974,97,0," ",0," "
10,1975,97,0," ",0," "
10,1976,97,0," ",0," "
10,1977,97,0," ",0," "
10,1978,97,0," ",0," "
10,1979,97,0," ",0," "
10,1980,97,26000," ",24000," "
10,1981,97,64000," ",91000," "
10,1982,97,92000," ",82000," "
10,1983,97,117000," ",188000," "
10,1984,97,139821," ",192000," "
10,1985,97,137000," ",221877," "
10,1986,97,148000," ",238000," "
10,1987,97,136000," ",212000," "
10,1988,97,118000," ",199000," "
10,1989,97,95621," ",159826," "
10,1990,97,101455," ",183241," "
10,1991,97,99211," ",175155," "
10,1992,97,119822," ",278120," "
10,1993,97,131000," ",262000," "
10,1994,97,153000," ",182000," "
10,1995,97,221097," ",468513," "
10,1996,97,346000," ",673774," "
10,1997,97,245000," ",633000," "
10,1998,97,386000," ",708000," "
10,1999,97,361000," ",764000," "
10,2000,97,389000," ",841000," "
10,2001,97,409000," ",860000," "
10,2002,97,407570," ",327000," "
10,2003,97,445475," ",826000," "
10,2004,97,389296," ",610055," "
10,2005,97,347000," ",676000," "
10,2006,97,368512," ",199254," "
10,2007,97,360000," ",450000," "
10,2008,97,322760," ",362818," "
10,2009,97,350000," ",545000," "
10,2010,97,295000,"F",502000," "
10,2011,97,187201," ",355078," "
11,1961,97,0,"M",0,"M"
11,1962,97,0,"M",0,"M"
11,1963,97,0,"M",0,"M"
11,1964,97,0,"M",0,"M"
11,1965,97,0,"M",0,"M"
11,1966,97,0,"M",0,"M"
11,1967,97,0,"M",0,"M"
11,1968,97,0,"M",0,"M"
11,1969,97,0,"M",0,"M"
11,1970,97,0,"M",0,"M"
11,1971,97,0,"M",0,"M"
11,1972,97,0,"M",0,"M"
11,1973,97,0,"M",0,"M"
11,1974,97,0,"M",0,"M"
11,1975,97,0,"M",0,"M"
11,1976,97,0,"M",0,"M"
11,1977,97,0,"M",0,"M"
11,1978,97,0,"M",0,"M"
11,1979,97,0,"M",0,"M"
11,1980,97,0,"M",0,"M"
11,1981,97,0,"M",0,"M"
11,1982,97,0,"M",0,"M"
11,1983,97,0,"M",0,"M"
11,1984,97,0,"M",0,"M"
11,1985,97,0,"M",0,"M"
11,1986,97,0,"M",0,"M"
11,1987,97,0,"M",0,"M"
11,1988,97,0,"M",0,"M"
11,1989,97,0,"M",0,"M"
11,1990,97,0,"M",0,"M"
11,1991,97,0,"M",0,"M"
11,1992,97,0,"M",0,"M"
11,1993,97,0,"M",0,"M"
11,1994,97,0,"M",0,"M"
11,1995,97,19279," ",86859," "
11,1996,97,17571," ",76434," "
11,1997,97,21896," ",105803," "
11,1998,97,25794," ",127808," "
11,1999,97,23595," ",120006," "
11,2000,97,27528," ",134819," "
11,2001,97,31189," ",156957," "
11,2002,97,37621," ",172480," "
11,2003,97,40652," ",168637," "
11,2004,97,43082," ",235685," "
11,2005,97,39452," ",198468," "
11,2006,97,23648," ",110060," "
11,2007,97,38852," ",209021," "
11,2008,97,46309," ",250677," "
11,2009,97,50640," ",254451," "
11,2010,97,47795," ",230500," "
11,2011,97,45589," ",228073," "
15,1961,97,0," ",0," "
15,1962,97,0," ",0," "
15,1963,97,0," ",0," "
15,1964,97,0," ",0," "
15,1965,97,0," ",0," "
15,1966,97,0," ",0," "
15,1967,97,0," ",0," "
15,1968,97,0," ",0," "
15,1969,97,0," ",0," "
15,1970,97,0," ",0," "
15,1971,97,0," ",0," "
15,1972,97,0," ",0," "
15,1973,97,0," ",0," "
15,1974,97,0," ",0," "
15,1975,97,0," ",0," "
15,1976,97,0," ",0," "
15,1977,97,0," ",0," "
15,1978,97,0," ",0," "
15,1979,97,0," ",0," "
15,1980,97,0," ",0," "
15,1981,97,0," ",0," "
15,1982,97,0," ",0," "
15,1983,97,0," ",0," "
15,1984,97,0," ",0," "
15,1985,97,2161," ",13169," "
15,1986,97,4172," ",24162," "
15,1987,97,7141," ",36241," "
15,1988,97,6319," ",37201," "
15,1989,97,6520," ",40269," "
15,1990,97,7901," ",51393," "
15,1991,97,9098," ",59953," "
15,1992,97,7648," ",55731," "
15,1993,97,11500," ",64904," "
15,1994,97,11300," ",62531," "
15,1995,97,12300," ",70014," "
15,1996,97,12000," ",82502," "
15,1997,97,11600," ",76600," "
15,1998,97,13400," ",79627," "
15,1999,97,7700," ",49600," "
15,2000,97,12200," ",75600," "
15,2001,97,8600," ",51300," "
15,2002,97,12000," ",76000," "
15,2003,97,12000,"T",76000,"T"
15,2004,97,12000,"T",76000,"T"
15,2005,97,12000,"T",76000,"T"
15,2006,97,12000,"T",76000,"T"
15,2007,97,12000,"T",76000,"T"
15,2008,97,12000,"T",76000,"T"
15,2009,97,12000,"T",76000,"T"
15,2010,97,12000,"T",76000,"T"
15,2011,97,12000,"T",76000,"T"
21,1961,97,0,"M",0,"M"
21,1962,97,0,"M",0,"M"
21,1963,97,0,"M",0,"M"
21,1964,97,0,"M",0,"M"
21,1965,97,0,"M",0,"M"
21,1966,97,0,"M",0,"M"
21,1967,97,0,"M",0,"M"
21,1968,97,0,"M",0,"M"
21,1969,97,0,"M",0,"M"
21,1970,97,0,"M",0,"M"
21,1971,97,0,"M",0,"M"
21,1972,97,0,"M",0,"M"
21,1973,97,0,"M",0,"M"
21,1974,97,0,"M",0,"M"
21,1975,97,0,"M",0,"M"
21,1976,97,0,"M",0,"M"
21,1977,97,0,"M",0,"M"
21,1978,97,0,"M",0,"M"
21,1979,97,0,"M",0,"M"
21,1980,97,0,"M",0,"M"
21,1981,97,0,"M",0,"M"
21,1982,97,0,"M",0,"M"
21,1983,97,0,"M",0,"M"
21,1984,97,0,"M",0,"M"
21,1985,97,0,"M",0,"M"
21,1986,97,0,"M",0,"M"
21,1987,97,0,"M",0,"M"
21,1988,97,0,"M",0,"M"
21,1989,97,0,"M",0,"M"
21,1990,97,0,"M",0,"M"
21,1991,97,0,"M",0,"M"
21,1992,97,0,"M",0,"M"
21,1993,97,0,"M",0,"M"
21,1994,97,0,"M",0,"M"
21,1995,97,0,"M",0,"M"
21,1996,97,0,"M",0,"M"
21,1997,97,0,"M",0,"M"
21,1998,97,0,"M",0,"M"
21,1999,97,0,"M",0,"M"
21,2000,97,0,"M",0,"M"
21,2001,97,0,"M",0,"M"
21,2002,97,0,"M",0,"M"
21,2003,97,0,"M",0,"M"
21,2004,97,0,"M",0,"M"
21,2005,97,134868," ",278333," "
21,2006,97,101088," ",208898," "
21,2007,97,80107," ",183871," "
21,2008,97,75640," ",184604," "
21,2009,97,65505," ",122212," "
21,2010,97,50543," ",124277," "
21,2011,97,39628," ",90469," "
27,1961,97,0,"M",0,"M"
27,1962,97,0,"M",0,"M"
27,1963,97,0,"M",0,"M"
27,1964,97,0,"M",0,"M"
27,1965,97,0,"M",0,"M"
27,1966,97,0,"M",0,"M"
27,1967,97,0,"M",0,"M"
27,1968,97,0,"M",0,"M"
27,1969,97,0,"M",0,"M"
27,1970,97,0,"M",0,"M"
27,1971,97,0,"M",0,"M"
27,1972,97,0,"M",0,"M"
27,1973,97,0,"M",0,"M"
27,1974,97,0,"M",0,"M"
27,1975,97,0,"M",0,"M"
27,1976,97,0,"M",0,"M"
27,1977,97,0,"M",0,"M"
27,1978,97,0,"M",0,"M"
27,1979,97,0,"M",0,"M"
27,1980,97,0,"M",0,"M"
27,1981,97,0,"M",0,"M"
27,1982,97,0,"M",0,"M"
27,1983,97,0,"M",0,"M"
27,1984,97,0,"M",0,"M"
27,1985,97,0,"M",0,"M"
27,1986,97,0,"M",0,"M"
27,1987,97,0,"M",0,"M"
27,1988,97,0,"M",0,"M"
27,1989,97,0,"M",0,"M"
27,1990,97,0,"M",0,"M"
27,1991,97,0,"M",0,"M"
27,1992,97,11100,"F",22000,"F"
27,1993,97,11400,"F",21800,"F"
27,1994,97,11600,"F",22200,"F"
27,1995,97,10700,"F",21900,"F"
27,1996,97,9000,"F",13000,"F"
27,1997,97,6000,"*",23300,"F"
27,1998,97,4200,"*",20500,"F"
27,1999,97,4200,"*",15000,"F"
27,2000,97,5000,"*",12589,"E"
27,2001,97,4343," ",9989," "
27,2002,97,10165," ",23398," "
27,2003,97,11886," ",18288," "
27,2004,97,9521," ",27643," "
27,2005,97,9324.4," ",22643," "
27,2006,97,9600," ",25700," "
27,2007,97,6499," ",12700," "
27,2008,97,4585," ",20504," "
27,2009,97,5958," ",17227," "
27,2010,97,9800," ",26300," "
27,2011,97,8590," ",26522," "
33,1961,97,0,"M",0,"M"
33,1962,97,0,"M",0,"M"
33,1963,97,0,"M",0,"M"
33,1964,97,0,"M",0,"M"
33,1965,97,0,"M",0,"M"
33,1966,97,0,"M",0,"M"
33,1967,97,0,"M",0,"M"
33,1968,97,0,"M",0,"M"
33,1969,97,0,"M",0,"M"
33,1970,97,0,"M",0,"M"
33,1971,97,0,"M",0,"M"
33,1972,97,0,"M",0,"M"
33,1973,97,0,"M",0,"M"
33,1974,97,0,"M",0,"M"
33,1975,97,0,"M",0,"M"
33,1976,97,0,"M",0,"M"
33,1977,97,0,"M",0,"M"
33,1978,97,0,"M",0,"M"
33,1979,97,0,"M",0,"M"
33,1980,97,0,"M",0,"M"
33,1981,97,0,"M",0,"M"
33,1982,97,0,"M",0,"M"
33,1983,97,0,"M",0,"M"
33,1984,97,0,"M",0,"M"
33,1985,97,0,"M",0,"M"
