"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
9,1961,275,48000," ",108000,"F"
9,1962,275,48000," ",110000," "
9,1963,275,51000," ",125000," "
9,1964,275,48000," ",108000," "
9,1965,275,55000," ",41800," "
9,1966,275,50000," ",174500," "
9,1967,275,50000," ",102600," "
9,1968,275,50000," ",137150," "
9,1969,275,48000," ",68300," "
9,1970,275,51400," ",142000," "
9,1971,275,51600," ",110000," "
9,1972,275,54600," ",170000," "
9,1973,275,20300," ",25000," "
9,1974,275,51600," ",136000," "
9,1975,275,52800," ",145100," "
9,1976,275,52900," ",118000," "
9,1977,275,52000," ",1e+05," "
9,1978,275,51700," ",82400," "
9,1979,275,51700," ",58300," "
9,1980,275,51700," ",81000," "
9,1981,275,44000," ",82000,"*"
9,1982,275,44000," ",80500," "
9,1983,275,44000," ",39400," "
9,1984,275,42500," ",66700," "
9,1985,275,42400," ",66200," "
9,1986,275,39500," ",39500," "
9,1987,275,38100," ",48000," "
9,1988,275,36600," ",63500," "
9,1989,275,36600," ",65000,"F"
9,1990,275,25080," ",73820," "
9,1991,275,22880," ",58650," "
9,1992,275,18790," ",32970," "
9,1993,275,21410," ",47380," "
9,1994,275,3010," ",4600," "
9,1995,275,3860," ",6740," "
9,1996,275,4260," ",6910," "
9,1997,275,12590," ",30620," "
9,1998,275,7560," ",14140," "
9,1999,275,5140," ",10772," "
9,2000,275,1030," ",2050," "
9,2001,275,4750," ",12010," "
9,2002,275,3080," ",5720," "
9,2003,275,4180," ",9860," "
9,2004,275,3530," ",6860," "
9,2005,275,5100," ",12900," "
9,2006,275,5468,"E",13000,"F"
9,2007,275,5839,"E",15041,"E"
9,2008,275,2880," ",5469," "
9,2009,275,2515," ",6812," "
9,2010,275,1285," ",3439," "
9,2011,275,1300,"F",3500,"F"
21,1961,275,0,"M",10124," "
21,1962,275,0,"M",10729," "
21,1963,275,0,"M",11913," "
21,1964,275,0,"M",11883," "
21,1965,275,0,"M",12521," "
21,1966,275,0,"M",18649," "
21,1967,275,0,"M",20435," "
21,1968,275,0,"M",16876," "
21,1969,275,0,"M",13969," "
21,1970,275,0,"M",14725," "
21,1971,275,0,"M",14415," "
21,1972,275,0,"M",16615," "
21,1973,275,0,"M",7763," "
21,1974,275,0,"M",13404," "
21,1975,275,0,"M",9904," "
21,1976,275,3673," ",9566," "
21,1977,275,3624," ",9706," "
21,1978,275,3402," ",8863," "
21,1979,275,3343," ",7688," "
21,1980,275,3328," ",7981," "
21,1981,275,3034," ",7247," "
21,1982,275,2851," ",7116," "
21,1983,275,2529," ",5674," "
21,1984,275,2942," ",5426," "
21,1985,275,2832," ",5212," "
21,1986,275,2818," ",5348," "
21,1987,275,2462," ",4450," "
21,1988,275,2234," ",4137," "
21,1989,275,2063," ",3807," "
21,1990,275,1683," ",2937," "
21,1991,275,1357," ",2278," "
21,1992,275,1099," ",1536," "
21,1993,275,1000," ",1526," "
21,1994,275,872," ",1286," "
21,1995,275,704," ",993," "
21,1996,275,522," ",632," "
21,1997,275,546," ",780," "
21,1998,275,382," ",535," "
21,1999,275,463," ",632," "
21,2000,275,444," ",618," "
21,2001,275,398," ",591," "
21,2002,275,311," ",435," "
21,2003,275,254," ",425," "
21,2004,275,171," ",286," "
21,2005,275,184," ",383," "
21,2006,275,184," ",383," "
21,2007,275,173," ",425," "
21,2008,275,163," ",403," "
21,2009,275,126," ",322," "
21,2010,275,123," ",318," "
21,2011,275,123," ",343," "
41,1961,275,0,"M",215000," "
41,1962,275,0,"M",183000," "
41,1963,275,0,"M",329000," "
41,1964,275,0,"M",357000," "
41,1965,275,0,"M",130000," "
41,1966,275,0,"M",264000," "
41,1967,275,0,"M",326000," "
41,1968,275,0,"M",367000," "
41,1969,275,0,"M",394000," "
41,1970,275,0,"M",357000," "
41,1971,275,0,"M",259000," "
41,1972,275,0,"M",330000," "
41,1973,275,0,"M",302000," "
41,1974,275,0,"M",375000," "
41,1975,275,0,"M",370000," "
41,1976,275,0,"M",302000," "
41,1977,275,0,"M",340000," "
41,1978,275,0,"M",391000," "
41,1979,275,0,"M",325000," "
41,1980,275,0,"M",303000," "
41,1981,275,0,"M",360000," "
41,1982,275,0,"M",339000," "
41,1983,275,0,"M",368000," "
41,1984,275,0,"M",361600," "
41,1985,275,190000,"F",378770," "
41,1986,275,170000,"F",346227," "
41,1987,275,170000,"F",341742," "
41,1988,275,175000,"F",358697," "
41,1989,275,170000,"F",334757," "
41,1990,275,172241,"E",350770," "
41,1991,275,155000,"F",327544," "
41,1992,275,145000,"F",437154," "
41,1993,275,140000,"F",421027," "
41,1994,275,146784,"E",434539," "
41,1995,275,135000,"F",402148," "
41,1996,275,125378,"E",407744," "
41,1997,275,128000,"F",453535," "
41,1998,275,130000,"F",432104," "
41,1999,275,132000,"F",448323," "
41,2000,275,135000,"F",453461," "
41,2001,275,136000,"F",406716," "
41,2002,275,137000,"F",388114," "
41,2003,275,145390,"E",372645," "
41,2004,275,140000,"F",381428," "
41,2005,275,135000,"F",368688," "
41,2006,275,140000,"F",382989," "
41,2007,275,142000,"F",361285," "
41,2008,275,145000,"F",370966," "
41,2009,275,150000,"F",367287," "
41,2010,275,155000,"F",433624," "
41,2011,275,158000,"F",437702," "
129,1961,275,5000," ",7000," "
129,1962,275,5000," ",5000," "
129,1963,275,5000," ",7000," "
129,1964,275,5000," ",7400," "
129,1965,275,5000," ",9100," "
129,1966,275,5000," ",7625," "
129,1967,275,5000," ",8860," "
129,1968,275,5000," ",5200," "
129,1969,275,5000," ",4710," "
129,1970,275,3960," ",4350," "
129,1971,275,3800," ",3990," "
129,1972,275,3145," ",2145," "
129,1973,275,3060," ",2000," "
129,1974,275,3020," ",1770," "
129,1975,275,5305," ",4665," "
129,1976,275,2840," ",1530," "
129,1977,275,3100," ",1660," "
129,1978,275,2045," ",1095," "
129,1979,275,1845," ",945," "
129,1980,275,2600,"F",1500,"F"
129,1981,275,2600,"F",1500,"F"
129,1982,275,2800,"F",1600,"F"
129,1983,275,2900,"F",1700,"F"
129,1984,275,3000,"F",1800,"F"
129,1985,275,3000,"F",1800,"F"
129,1986,275,3100,"F",1900,"F"
129,1987,275,3200,"F",2000,"F"
129,1988,275,3300,"F",2100,"F"
129,1989,275,3400,"F",2200,"F"
129,1990,275,3500,"F",2300,"F"
129,1991,275,3500,"F",2300,"F"
129,1992,275,3550,"F",2350,"F"
129,1993,275,3600,"F",2400,"F"
129,1994,275,3400,"F",2200,"F"
129,1995,275,3500,"F",2300,"F"
129,1996,275,3600,"F",2400,"F"
129,1997,275,3700,"F",2500,"F"
129,1998,275,3700,"F",2500,"F"
129,1999,275,3800,"F",2600,"F"
129,2000,275,3700,"F",2500,"F"
129,2001,275,3702,"E",2472,"E"
129,2002,275,3700,"F",2500,"F"
129,2003,275,3700,"F",2500,"F"
129,2004,275,3750,"F",2550,"F"
129,2005,275,3750,"F",2550,"F"
129,2006,275,3800,"F",2600,"F"
129,2007,275,4000,"F",2700,"F"
129,2008,275,4075,"E",2752,"E"
129,2009,275,3884,"E",2301,"E"
129,2010,275,3667,"E",2505,"E"
129,2011,275,3960,"E",2589,"E"
130,1961,275,6700,"F",3688,"F"
130,1962,275,7220,"F",3971,"F"
130,1963,275,7600,"F",4255,"F"
130,1964,275,7600,"F",4255,"F"
130,1965,275,7600,"F",4255,"F"
130,1966,275,7800,"F",4287,"*"
130,1967,275,8500,"F",4689,"*"
130,1968,275,9800,"F",5421,"*"
130,1969,275,5200,"F",2888,"*"
130,1970,275,3600,"F",1980,"*"
130,1971,275,5200,"F",2890,"*"
130,1972,275,4800,"F",2624,"*"
130,1973,275,2900,"F",1574,"*"
130,1974,275,3500,"F",1940,"*"
130,1975,275,2665," ",1489,"*"
130,1976,275,2600,"F",1415,"F"
130,1977,275,2350,"F",1300,"F"
130,1978,275,2350,"F",1300,"F"
130,1979,275,3100,"F",1700,"F"
130,1980,275,3200,"F",1761,"F"
130,1981,275,2700,"F",1480,"F"
130,1982,275,2800,"F",1500,"F"
130,1983,275,2900,"F",1600,"F"
130,1984,275,3000,"F",1700,"F"
130,1985,275,3000,"F",1700,"F"
130,1986,275,3000,"F",1700,"F"
130,1987,275,3000,"F",1700,"F"
130,1988,275,3000,"F",1700,"F"
130,1989,275,3100,"F",1800,"F"
130,1990,275,2984,"E",1373,"E"
130,1991,275,3374,"E",1575,"E"
130,1992,275,2800,"F",1600,"F"
130,1993,275,3100,"F",1800,"F"
130,1994,275,3000,"F",1700,"F"
130,1995,275,3100,"F",1800,"F"
130,1996,275,3200,"F",1900,"F"
130,1997,275,3100,"F",1800,"F"
130,1998,275,3200,"F",1900,"F"
130,1999,275,3300,"F",2000,"F"
130,2000,275,3099,"E",1689,"E"
130,2001,275,3388,"E",2011,"E"
