"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
41,1961,692,0,"M",0,"M"
41,1962,692,0,"M",0,"M"
41,1963,692,0,"M",0,"M"
41,1964,692,0,"M",0,"M"
41,1965,692,0,"M",0,"M"
41,1966,692,0,"M",0,"M"
41,1967,692,0,"M",0,"M"
41,1968,692,0,"M",0,"M"
41,1969,692,0,"M",0,"M"
41,1970,692,0,"M",0,"M"
41,1971,692,0,"M",0,"M"
41,1972,692,0,"M",0,"M"
41,1973,692,0,"M",0,"M"
41,1974,692,0,"M",0,"M"
41,1975,692,0,"M",0,"M"
41,1976,692,0,"M",0,"M"
41,1977,692,0,"M",0,"M"
41,1978,692,0,"M",0,"M"
41,1979,692,0,"M",0,"M"
41,1980,692,0,"M",0,"M"
41,1981,692,0,"M",0,"M"
41,1982,692,0,"M",0,"M"
41,1983,692,0,"M",0,"M"
41,1984,692,0,"M",0,"M"
41,1985,692,1000,"F",200,"F"
41,1986,692,1000,"F",250,"F"
41,1987,692,1000,"F",250,"F"
41,1988,692,1000,"F",300,"F"
41,1989,692,1000,"F",300,"F"
41,1990,692,814,"E",371,"E"
41,1991,692,1100,"F",350,"F"
41,1992,692,1430,"E",383,"E"
41,1993,692,1150,"F",400,"F"
41,1994,692,1239,"E",433,"E"
41,1995,692,1271,"E",386,"E"
41,1996,692,1200,"F",500,"F"
41,1997,692,1380,"E",497,"E"
41,1998,692,1757,"E",550,"F"
41,1999,692,1444,"E",600,"F"
41,2000,692,1349,"E",650,"F"
41,2001,692,1407,"E",646,"E"
41,2002,692,1265,"E",700,"F"
41,2003,692,1200," ",800," "
41,2004,692,1371,"E",900,"F"
41,2005,692,1300,"F",1000,"F"
41,2006,692,1400,"F",1200,"F"
41,2007,692,1500,"F",1350,"F"
41,2008,692,1292,"E",1400,"F"
41,2009,692,1285,"E",1658,"E"
41,2010,692,1300,"F",1300,"F"
41,2011,692,1293,"E",1385,"E"
45,1961,692,0,"M",90," "
45,1962,692,0,"M",48," "
45,1963,692,0,"M",207," "
45,1964,692,0,"M",175," "
45,1965,692,0,"M",167," "
45,1966,692,0,"M",134," "
45,1967,692,0,"M",145," "
45,1968,692,0,"M",138," "
45,1969,692,0,"M",207," "
45,1970,692,0,"M",144," "
45,1971,692,0,"M",206," "
45,1972,692,0,"M",207,"*"
45,1973,692,0,"M",34,"*"
45,1974,692,0,"M",160,"*"
45,1975,692,0,"M",211,"*"
45,1976,692,0,"M",124,"*"
45,1977,692,0,"M",230,"*"
45,1978,692,0,"M",177,"*"
45,1979,692,0,"M",180," "
45,1980,692,0,"M",164," "
45,1981,692,0,"M",175," "
45,1982,692,0,"M",270,"F"
45,1983,692,0,"M",230,"F"
45,1984,692,0,"M",160,"F"
45,1985,692,1000,"F",200,"*"
45,1986,692,1000,"F",210,"*"
45,1987,692,1000,"F",215,"*"
45,1988,692,1000,"F",262,"*"
45,1989,692,1000,"F",200,"*"
45,1990,692,1070,"E",250,"*"
45,1991,692,1000,"F",240,"F"
45,1992,692,1072,"E",276," "
45,1993,692,836,"E",283," "
45,1994,692,800,"F",131," "
45,1995,692,700,"F",160," "
45,1996,692,600,"F",130," "
45,1997,692,700,"F",150," "
45,1998,692,703,"E",160," "
45,1999,692,707,"E",140," "
45,2000,692,709,"E",140," "
45,2001,692,713,"E",140," "
45,2002,692,717,"E",140," "
45,2003,692,550,"F",110,"*"
45,2004,692,300,"F",60,"*"
45,2005,692,325,"F",65,"*"
45,2006,692,375,"F",75,"*"
45,2007,692,250,"F",76,"*"
45,2008,692,250,"F",50,"*"
45,2009,692,217,"E",49,"E"
45,2010,692,179,"E",66,"F"
45,2011,692,135,"E",42,"E"
47,1961,692,3,"F",2,"F"
47,1962,692,3,"F",2,"F"
47,1963,692,3,"F",2,"F"
47,1964,692,3,"F",2,"F"
47,1965,692,3,"F",2,"F"
47,1966,692,3,"F",2,"F"
47,1967,692,3,"F",2,"F"
47,1968,692,3,"F",2,"F"
47,1969,692,3,"F",2,"F"
47,1970,692,3,"F",2,"F"
47,1971,692,3,"F",2,"F"
47,1972,692,3,"F",2,"F"
47,1973,692,3,"F",2,"F"
47,1974,692,3,"F",2,"F"
47,1975,692,3,"F",2,"F"
47,1976,692,3,"F",2,"F"
47,1977,692,3,"F",2,"F"
47,1978,692,3,"F",2,"F"
47,1979,692,3,"F",2,"F"
47,1980,692,4,"F",3,"F"
47,1981,692,4,"F",3,"F"
47,1982,692,4,"F",3,"F"
47,1983,692,4,"F",3,"F"
47,1984,692,4,"F",3,"F"
47,1985,692,4,"F",3,"F"
47,1986,692,4,"F",3,"F"
47,1987,692,4,"F",3,"F"
47,1988,692,4," ",3,"F"
47,1989,692,4,"F",3,"F"
47,1990,692,4,"F",3,"F"
47,1991,692,4,"F",3,"F"
47,1992,692,4,"E",2,"E"
47,1993,692,3," ",1," "
47,1994,692,4," ",2," "
47,1995,692,3,"F",2,"F"
47,1996,692,2,"F",2,"F"
47,1997,692,1," ",1," "
47,1998,692,2,"F",2," "
47,1999,692,0,"F",0,"F"
47,2000,692,0,"F",0,"F"
47,2001,692,0,"F",0,"F"
47,2002,692,0,"F",0,"F"
47,2003,692,0,"F",0,"F"
47,2004,692,0,"F",0,"F"
47,2005,692,0,"F",0,"F"
47,2006,692,0,"F",0,"F"
47,2007,692,0,"F",0,"F"
47,2008,692,0,"F",0,"F"
47,2009,692,0,"F",0,"F"
47,2010,692,0,"T",0,"T"
47,2011,692,0,"T",0,"T"
70,1961,692,1900,"F",193," "
70,1962,692,1900,"F",193," "
70,1963,692,1600,"F",160," "
70,1964,692,1000,"F",100," "
70,1965,692,1300,"F",132," "
