"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,463,8000," ",136000," "
1,1962,463,9000," ",161000," "
1,1963,463,9000," ",138000," "
1,1964,463,11000," ",183000," "
1,1965,463,11000," ",187000," "
1,1966,463,11000," ",172000," "
1,1967,463,12000," ",221000," "
1,1968,463,13000," ",215000," "
1,1969,463,13000," ",250000," "
1,1970,463,14000," ",280000," "
1,1971,463,15000," ",317000," "
1,1972,463,15000," ",306000," "
1,1973,463,16000," ",381000," "
1,1974,463,16000," ",339000," "
1,1975,463,16000," ",299000," "
1,1976,463,17000," ",432000," "
1,1977,463,17000," ",415000," "
1,1978,463,17000," ",429000," "
1,1979,463,18000," ",468000," "
1,1980,463,18000," ",468000," "
1,1981,463,18000," ",468000," "
1,1982,463,17000," ",477000," "
1,1983,463,18000," ",467000," "
1,1984,463,18000," ",554000," "
1,1985,463,18000," ",571000," "
1,1986,463,18000," ",570000," "
1,1987,463,18000," ",567000," "
1,1988,463,2250,"*",70000,"*"
1,1989,463,2250,"*",58000,"*"
1,1990,463,2300,"*",39000,"*"
1,1991,463,2500,"*",43000,"*"
1,1992,463,3100,"*",25000,"*"
1,1993,463,2700,"*",17000,"*"
1,1994,463,2050,"*",32000,"*"
1,1995,463,2700,"*",28500,"*"
1,1996,463,3745,"*",62800,"*"
1,1997,463,4100,"*",46500,"*"
1,1998,463,3280,"*",54200,"*"
1,1999,463,3200,"*",80000,"*"
1,2000,463,4900,"*",103000,"*"
1,2001,463,5200,"*",120000,"*"
1,2002,463,5300," ",118300,"*"
1,2003,463,6800," ",157534," "
1,2004,463,6300," ",146199," "
1,2005,463,6800," ",176377," "
1,2006,463,7500," ",176900," "
1,2007,463,7825," ",216771," "
1,2008,463,7539," ",222301," "
1,2009,463,7821," ",251785," "
1,2010,463,7397," ",200517," "
1,2011,463,7656," ",223855," "
2,1961,463,68700,"F",291300," "
2,1962,463,68700,"F",306300," "
2,1963,463,68700,"F",324600," "
