"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,222,0,"M",0,"M"
1,1962,222,0,"M",0,"M"
1,1963,222,0,"M",0,"M"
1,1964,222,0,"M",0,"M"
1,1965,222,0,"M",0,"M"
1,1966,222,0,"M",0,"M"
1,1967,222,0,"M",0,"M"
1,1968,222,0,"M",0,"M"
1,1969,222,0,"M",0,"M"
1,1970,222,0,"M",0,"M"
1,1971,222,0,"M",0,"M"
1,1972,222,0,"M",0,"M"
1,1973,222,0,"M",0,"M"
1,1974,222,0,"M",0,"M"
1,1975,222,0,"M",0,"M"
1,1976,222,0,"M",0,"M"
1,1977,222,0,"M",0,"M"
1,1978,222,0,"M",0,"M"
1,1979,222,0,"M",0,"M"
1,1980,222,0,"M",0,"M"
1,1981,222,0,"M",0,"M"
1,1982,222,0,"M",0,"M"
1,1983,222,0,"M",0,"M"
1,1984,222,0,"M",0,"M"
1,1985,222,0,"M",0,"M"
1,1986,222,0,"M",0,"M"
1,1987,222,0,"M",0,"M"
1,1988,222,0,"M",0,"M"
1,1989,222,0,"M",0,"M"
1,1990,222,0,"M",0,"M"
1,1991,222,0,"M",0,"M"
1,1992,222,0,"M",0,"M"
1,1993,222,0,"M",0,"M"
1,1994,222,0,"M",0,"M"
1,1995,222,0,"M",0,"M"
1,1996,222,0,"M",0,"M"
1,1997,222,0,"M",0,"M"
1,1998,222,0,"M",0,"M"
1,1999,222,0,"M",0,"M"
1,2000,222,0,"M",0,"M"
1,2001,222,0,"M",0,"M"
1,2002,222,0,"M",0,"M"
1,2003,222,0,"M",0,"M"
1,2004,222,0,"M",0,"M"
1,2005,222,0,"M",0,"M"
1,2006,222,0,"M",0,"M"
1,2007,222,1396," ",4566," "
1,2008,222,1349," ",3974," "
1,2009,222,1440," ",3789," "
1,2010,222,1400,"F",3800,"F"
1,2011,222,1400,"F",4000,"F"
2,1961,222,0," ",0," "
2,1962,222,0," ",0," "
2,1963,222,0," ",0," "
2,1964,222,0," ",0," "
2,1965,222,0," ",0," "
2,1966,222,0," ",0," "
2,1967,222,0," ",0," "
2,1968,222,0," ",0," "
2,1969,222,0," ",0," "
2,1970,222,0," ",0," "
2,1971,222,0," ",0," "
2,1972,222,0," ",0," "
2,1973,222,0," ",0," "
2,1974,222,0," ",0," "
2,1975,222,0,"F",0,"F"
