"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
1,1961,567,0,"M",0,"M"
1,1962,567,0,"M",0,"M"
1,1963,567,0,"M",0,"M"
1,1964,567,0,"M",0,"M"
1,1965,567,0,"M",0,"M"
1,1966,567,0,"M",0,"M"
1,1967,567,0,"M",0,"M"
1,1968,567,0,"M",0,"M"
1,1969,567,0,"M",0,"M"
1,1970,567,0,"M",0,"M"
1,1971,567,0,"M",0,"M"
1,1972,567,0,"M",0,"M"
1,1973,567,0,"M",0,"M"
1,1974,567,0,"M",0,"M"
1,1975,567,0,"M",0,"M"
1,1976,567,0,"M",0,"M"
1,1977,567,0,"M",0,"M"
1,1978,567,0,"M",0,"M"
1,1979,567,0,"M",0,"M"
1,1980,567,0,"M",0,"M"
1,1981,567,0,"M",0,"M"
1,1982,567,0,"M",0,"M"
1,1983,567,0,"M",0,"M"
1,1984,567,0,"M",0,"M"
1,1985,567,0,"M",0,"M"
1,1986,567,0,"M",0,"M"
1,1987,567,0,"M",0,"M"
1,1988,567,0,"M",0,"M"
1,1989,567,0,"M",0,"M"
1,1990,567,0,"M",0,"M"
1,1991,567,0,"M",0,"M"
1,1992,567,3400," ",41300," "
1,1993,567,2300," ",32800," "
1,1994,567,2700," ",43200," "
1,1995,567,3300," ",54000," "
1,1996,567,3800," ",60600," "
1,1997,567,3600," ",62120," "
1,1998,567,3271," ",60600," "
1,1999,567,4200," ",88500," "
1,2000,567,3386," ",52844," "
1,2001,567,3300," ",54797," "
1,2002,567,3853," ",89742," "
1,2003,567,4058," ",115417," "
1,2004,567,4030," ",112900," "
1,2005,567,3860," ",117798," "
1,2006,567,4000," ",134935," "
1,2007,567,5884," ",206295," "
1,2008,567,5446," ",182159," "
1,2009,567,6163," ",216101," "
1,2010,567,4470," ",132506," "
1,2011,567,5764," ",180879," "
2,1961,567,13000,"F",63000,"F"
2,1962,567,13000,"F",63000,"F"
2,1963,567,13000,"F",66800,"F"
2,1964,567,13000,"F",70600,"F"
2,1965,567,13000,"F",72500,"F"
2,1966,567,13100,"F",74300,"F"
2,1967,567,12100,"F",80000,"*"
2,1968,567,10900,"F",82400,"F"
2,1969,567,10900,"F",84600,"F"
2,1970,567,10900,"F",78800,"F"
2,1971,567,10900,"F",91400,"F"
2,1972,567,10900,"F",83000,"F"
2,1973,567,10900,"F",85700,"F"
2,1974,567,11200,"F",88200,"F"
2,1975,567,10900,"F",90700,"F"
2,1976,567,16500,"F",115700,"F"
2,1977,567,11400,"F",83200,"F"
2,1978,567,11200,"F",96500,"F"
2,1979,567,11100,"F",98300,"F"
2,1980,567,10700,"F",98100,"F"
2,1981,567,10400,"F",99200,"F"
2,1982,567,10700,"F",101200,"F"
2,1983,567,10200,"F",99500,"F"
2,1984,567,10000,"F",96300,"F"
2,1985,567,9700,"F",92700,"F"
2,1986,567,8500,"F",85500,"F"
2,1987,567,8500,"F",84600,"F"
2,1988,567,8300,"F",83900,"F"
2,1989,567,7800,"F",78500,"F"
2,1990,567,8200,"F",90000,"F"
2,1991,567,7800,"F",89600,"F"
2,1992,567,8546,"E",90000,"F"
2,1993,567,8397,"E",91533,"E"
2,1994,567,6670,"E",72850,"E"
2,1995,567,7198,"E",77047,"E"
2,1996,567,8253,"E",88596,"E"
2,1997,567,7493,"E",83969,"E"
2,1998,567,8278,"E",100974,"E"
2,1999,567,7032,"E",111318,"E"
2,2000,567,5879,"E",111819,"E"
2,2001,567,6015,"E",119957,"E"
2,2002,567,6473,"E",110479,"E"
2,2003,567,11200," ",129000,"F"
2,2004,567,6300," ",71000,"F"
2,2005,567,12326," ",138000,"F"
2,2006,567,20000," ",2e+05,"F"
2,2007,567,20000," ",227206,"E"
2,2008,567,20000," ",2e+05," "
2,2009,567,25100," ",250000,"F"
2,2010,567,25142," ",251420," "
2,2011,567,22592," ",203328," "
3,1961,567,0,"M",15000," "
3,1962,567,0,"M",12000," "
3,1963,567,0,"M",9000," "
3,1964,567,0,"M",9500," "
3,1965,567,0,"M",8000,"F"
3,1966,567,0,"M",10000,"F"
3,1967,567,0,"M",7500,"F"
3,1968,567,0,"M",12000,"F"
3,1969,567,0,"M",12000,"F"
3,1970,567,0,"M",13700,"F"
3,1971,567,0,"M",13000,"F"
3,1972,567,0,"M",15000,"F"
3,1973,567,0,"M",14700,"F"
3,1974,567,0,"M",17000,"F"
3,1975,567,0,"M",20000,"F"
3,1976,567,0,"M",20000,"F"
3,1977,567,0,"M",20000,"F"
3,1978,567,0,"M",20000,"F"
3,1979,567,0,"M",21000,"F"
3,1980,567,0,"M",20000,"*"
3,1981,567,0,"M",20000,"F"
3,1982,567,0,"M",25000,"F"
3,1983,567,0,"M",28700,"*"
3,1984,567,0,"M",26000,"F"
3,1985,567,0,"M",22000,"F"
3,1986,567,0,"M",20000,"F"
3,1987,567,0,"M",19000,"*"
3,1988,567,0,"M",18600,"*"
3,1989,567,0,"M",27000,"*"
3,1990,567,3100,"F",77000,"*"
3,1991,567,2500,"F",70000,"F"
3,1992,567,3800,"F",105000,"F"
3,1993,567,3900,"F",125000,"F"
3,1994,567,5300,"F",170000,"F"
3,1995,567,5400,"F",180000,"F"
3,1996,567,8300,"F",250000," "
3,1997,567,7300,"F",2e+05," "
3,1998,567,7830,"E",210000," "
3,1999,567,6817,"E",220000," "
3,2000,567,8300,"F",250000," "
3,2001,567,9600,"F",277000," "
3,2002,567,9700,"F",293000," "
3,2003,567,6800," ",204000," "
3,2004,567,7000," ",204340," "
3,2005,567,7000," ",204000," "
3,2006,567,7576," ",169107," "
3,2007,567,7600,"*",190000," "
3,2008,567,4430," ",142875," "
3,2009,567,6273," ",195430," "
3,2010,567,5488," ",199364," "
3,2011,567,6400," ",231200," "
4,1961,567,16010," ",130630," "
4,1962,567,18000,"*",125000,"*"
4,1963,567,18000,"*",132000,"*"
4,1964,567,18120," ",118739," "
4,1965,567,24820," ",158541," "
4,1966,567,17270," ",142065," "
4,1967,567,18590," ",135676," "
4,1968,567,21500," ",177980," "
4,1969,567,21520," ",194741," "
4,1970,567,21130," ",189684," "
4,1971,567,21610," ",198157," "
4,1972,567,22110," ",155577," "
4,1973,567,20400," ",149915," "
4,1974,567,20770," ",174818," "
4,1975,567,21950," ",293638," "
4,1976,567,23140," ",153193," "
4,1977,567,26490," ",138080," "
4,1978,567,25680," ",142056," "
4,1979,567,27030," ",158769," "
4,1980,567,28350," ",172450," "
4,1981,567,29460," ",179222," "
4,1982,567,29910," ",193222," "
4,1983,567,32170," ",206941," "
4,1984,567,32730," ",242976," "
4,1985,567,40740," ",318243," "
4,1986,567,40040," ",317690," "
4,1987,567,35060," ",360030," "
4,1988,567,32570," ",232040," "
4,1989,567,31160," ",300874," "
4,1990,567,31980," ",264124," "
4,1991,567,35700," ",371515," "
4,1992,567,38890," ",447228," "
4,1993,567,35260," ",490058," "
4,1994,567,34910," ",401168," "
4,1995,567,34920," ",403396," "
4,1996,567,36280," ",455358," "
4,1997,567,29950," ",401300," "
4,1998,567,33080," ",502016," "
4,1999,567,35180," ",538308," "
4,2000,567,28980," ",398691," "
4,2001,567,31900," ",463892," "
4,2002,567,32000,"F",458100," "
4,2003,567,34550," ",629847," "
4,2004,567,39506," ",721376," "
4,2005,567,42644," ",857942," "
4,2006,567,43290," ",785224," "
4,2007,567,43664," ",815665," "
4,2008,567,44301," ",844631," "
4,2009,567,77791," ",1034722," "
4,2010,567,49455," ",1223767," "
4,2011,567,50759," ",1285134," "
9,1961,567,14595," ",176300," "
9,1962,567,14988," ",174400," "
9,1963,567,14201," ",165400," "
9,1964,567,15208," ",179800," "
9,1965,567,15109," ",190700," "
9,1966,567,13052," ",164100," "
9,1967,567,14570," ",185300," "
9,1968,567,13900," ",164800," "
9,1969,567,14500," ",184600," "
9,1970,567,14595," ",189300," "
9,1971,567,14000," ",173000," "
9,1972,567,13180," ",149000," "
9,1973,567,15400," ",208000," "
9,1974,567,11800," ",137600," "
9,1975,567,13700," ",191000," "
9,1976,567,12890," ",180000," "
9,1977,567,11800," ",145000," "
9,1978,567,13000," ",187000," "
9,1979,567,12100," ",172000," "
9,1980,567,12400," ",172000," "
9,1981,567,8900," ",112500," "
9,1982,567,10350," ",138000," "
9,1983,567,7900," ",121500," "
9,1984,567,8000," ",110600," "
9,1985,567,8500,"F",120000,"F"
9,1986,567,8500,"F",120000,"F"
9,1987,567,8900,"F",124000,"F"
9,1988,567,8900,"F",124000,"F"
9,1989,567,8500,"F",120000,"F"
9,1990,567,9000,"F",125000,"F"
9,1991,567,9100,"F",126000,"F"
9,1992,567,9200,"F",127000,"F"
9,1993,567,9300,"F",128000,"F"
9,1994,567,9400,"F",129000,"F"
9,1995,567,9500,"F",130000,"F"
9,1996,567,9862,"E",123222,"E"
9,1997,567,8810,"E",119208,"E"
9,1998,567,10682,"E",138871,"E"
9,1999,567,9000,"F",125000,"F"
9,2000,567,9350,"E",108934,"E"
9,2001,567,9014,"E",108941,"E"
9,2002,567,9200,"F",126000,"F"
9,2003,567,9816,"E",134676,"E"
9,2004,567,9133,"F",125667,"F"
9,2005,567,9425,"E",131486,"E"
9,2006,567,9150,"F",125700,"F"
9,2007,567,9200,"F",126000,"F"
9,2008,567,8910,"E",128216,"E"
9,2009,567,8570,"E",120299,"E"
9,2010,567,9038,"E",121721,"E"
9,2011,567,8740,"E",123771,"E"
10,1961,567,1352,"F",13200,"F"
10,1962,567,1352,"F",13200,"F"
10,1963,567,1352,"F",13750,"F"
10,1964,567,1404,"F",14300,"F"
10,1965,567,1404,"F",13750,"F"
10,1966,567,1456,"F",14300,"F"
10,1967,567,1716,"F",17600,"F"
10,1968,567,1820,"F",18700,"F"
10,1969,567,1786,"*",18165,"*"
10,1970,567,1654,"*",16078,"*"
10,1971,567,2106,"*",18601,"*"
10,1972,567,2332,"*",24500,"*"
10,1973,567,2100,"*",22984,"*"
10,1974,567,1907,"*",20619,"*"
10,1975,567,1721,"*",19902,"*"
10,1976,567,1939,"*",19537,"*"
10,1977,567,2346,"*",25871,"*"
10,1978,567,2701,"*",30069,"*"
10,1979,567,2510,"*",28908,"*"
10,1980,567,2487,"*",29447,"*"
10,1981,567,1533,"*",20370,"*"
10,1982,567,1822,"*",23452,"*"
10,1983,567,2473,"*",37587,"*"
10,1984,567,2582,"*",36247,"*"
10,1985,567,2772,"*",41843,"*"
10,1986,567,2945,"*",44060,"*"
10,1987,567,2779," ",43912," "
10,1988,567,3082," ",48431," "
10,1989,567,3196," ",50562," "
10,1990,567,3376," ",51820," "
10,1991,567,4039," ",59124," "
10,1992,567,3633," ",57392," "
10,1993,567,3724," ",61645," "
10,1994,567,3891," ",67757," "
10,1995,567,3963," ",72263," "
10,1996,567,4228," ",79279," "
10,1997,567,4346," ",86658," "
10,1998,567,3984," ",80857," "
10,1999,567,4175," ",66346," "
10,2000,567,4846," ",85152," "
10,2001,567,4950," ",105842," "
10,2002,567,4470," ",99686," "
10,2003,567,4335," ",110955," "
10,2004,567,3736," ",126877," "
10,2005,567,4043," ",108352," "
10,2006,567,4664," ",133779," "
10,2007,567,4421," ",136861," "
10,2008,567,4430," ",152141," "
10,2009,567,4168," ",131112," "
10,2010,567,4400,"E",132300,"E"
10,2011,567,4109,"*",135618,"*"
11,1961,567,0,"M",0,"M"
11,1962,567,0,"M",0,"M"
11,1963,567,0,"M",0,"M"
11,1964,567,0,"M",0,"M"
11,1965,567,0,"M",0,"M"
11,1966,567,0,"M",0,"M"
11,1967,567,0,"M",0,"M"
11,1968,567,0,"M",0,"M"
11,1969,567,0,"M",0,"M"
11,1970,567,0,"M",0,"M"
11,1971,567,0,"M",0,"M"
11,1972,567,0,"M",0,"M"
11,1973,567,0,"M",0,"M"
11,1974,567,0,"M",0,"M"
11,1975,567,0,"M",0,"M"
11,1976,567,0,"M",0,"M"
11,1977,567,0,"M",0,"M"
11,1978,567,0,"M",0,"M"
11,1979,567,0,"M",0,"M"
11,1980,567,0,"M",0,"M"
11,1981,567,0,"M",0,"M"
11,1982,567,0,"M",0,"M"
11,1983,567,0,"M",0,"M"
11,1984,567,0,"M",0,"M"
11,1985,567,0,"M",0,"M"
11,1986,567,0,"M",0,"M"
11,1987,567,0,"M",0,"M"
11,1988,567,0,"M",0,"M"
11,1989,567,0,"M",0,"M"
11,1990,567,0,"M",0,"M"
11,1991,567,0,"M",0,"M"
11,1992,567,0,"M",0,"M"
11,1993,567,0,"M",0,"M"
11,1994,567,0,"M",0,"M"
11,1995,567,0,"M",0,"M"
11,1996,567,0,"M",0,"M"
11,1997,567,0,"M",0,"M"
11,1998,567,0,"M",0,"M"
11,1999,567,0,"M",0,"M"
11,2000,567,0,"M",0,"M"
11,2001,567,0,"M",0,"M"
11,2002,567,0,"M",0,"M"
11,2003,567,14," ",476," "
11,2004,567,14," ",455," "
11,2005,567,14," ",504," "
11,2006,567,10," ",374," "
11,2007,567,10," ",401," "
11,2008,567,13," ",489," "
11,2009,567,8," ",317," "
11,2010,567,14," ",455," "
11,2011,567,13," ",516," "
13,1961,567,0," ",0," "
13,1962,567,0," ",0," "
13,1963,567,0," ",0," "
13,1964,567,0," ",0," "
13,1965,567,0," ",0," "
13,1966,567,0," ",0," "
13,1967,567,0," ",0," "
13,1968,567,0," ",0," "
13,1969,567,0," ",0," "
13,1970,567,0," ",0," "
13,1971,567,0," ",0," "
13,1972,567,0," ",0," "
13,1973,567,0," ",0," "
13,1974,567,4," ",11,"F"
13,1975,567,3," ",26,"F"
13,1976,567,4," ",34,"F"
13,1977,567,4,"F",34,"F"
13,1978,567,6,"F",51,"F"
13,1979,567,12," ",95,"F"
13,1980,567,11," ",90,"F"
13,1981,567,10,"F",90,"F"
13,1982,567,10,"F",90,"F"
13,1983,567,10,"F",90,"F"
13,1984,567,10,"F",90,"F"
13,1985,567,9," ",80,"F"
13,1986,567,16," ",140,"F"
13,1987,567,14," ",120,"F"
13,1988,567,17," ",130,"F"
13,1989,567,16," ",120,"F"
13,1990,567,7," ",90,"F"
13,1991,567,8," ",85,"F"
13,1992,567,9,"F",75,"F"
13,1993,567,10,"F",85,"F"
13,1994,567,9,"F",65,"F"
13,1995,567,8,"F",55,"F"
13,1996,567,9," ",67," "
13,1997,567,14," ",95," "
13,1998,567,14," ",91," "
13,1999,567,16," ",54," "
13,2000,567,5," ",32," "
13,2001,567,5," ",35," "
13,2002,567,6," ",48," "
13,2003,567,2," ",16," "
13,2004,567,3," ",24," "
13,2005,567,4," ",25,"F"
13,2006,567,9," ",329," "
13,2007,567,9," ",354," "
13,2008,567,4," ",155," "
13,2009,567,5," ",179," "
13,2010,567,5,"F",157,"E"
13,2011,567,5,"T",156,"E"
19,1961,567,0," ",0," "
19,1962,567,0," ",0," "
19,1963,567,0," ",0," "
19,1964,567,0," ",0," "
19,1965,567,0," ",0," "
19,1966,567,0," ",0," "
19,1967,567,0," ",0," "
19,1968,567,0," ",0," "
19,1969,567,0," ",0," "
19,1970,567,0," ",0," "
19,1971,567,0," ",0," "
19,1972,567,0," ",0," "
19,1973,567,0," ",0," "
19,1974,567,0," ",0," "
19,1975,567,0," ",0," "
19,1976,567,0," ",0," "
19,1977,567,0," ",0," "
19,1978,567,0," ",0," "
19,1979,567,0," ",0," "
19,1980,567,680," ",4380," "
19,1981,567,860," ",5065," "
19,1982,567,835," ",5035," "
19,1983,567,875," ",5565," "
19,1984,567,1161," ",9347," "
19,1985,567,1349," ",10509," "
19,1986,567,1445," ",11455," "
19,1987,567,1480," ",12486," "
19,1988,567,694," ",5276," "
19,1989,567,1675," ",15750," "
19,1990,567,1710," ",16440," "
19,1991,567,1820," ",17702," "
19,1992,567,1845," ",17845," "
19,1993,567,1910," ",18565," "
19,1994,567,1930," ",18650," "
19,1995,567,1966," ",19010," "
19,1996,567,2200," ",21000," "
19,1997,567,2220," ",21310," "
19,1998,567,2220," ",21310," "
19,1999,567,2240," ",22408," "
19,2000,567,2250," ",22600," "
19,2001,567,2255," ",22610," "
19,2002,567,2265," ",22615," "
19,2003,567,2268," ",22612," "
19,2004,567,1800,"F",18000,"F"
19,2005,567,1300,"F",12000,"F"
19,2006,567,850,"F",8000,"F"
19,2007,567,549," ",5009," "
19,2008,567,553," ",5137," "
19,2009,567,1242," ",15424," "
19,2010,567,1257," ",15558," "
19,2011,567,1248," ",15445," "
21,1961,567,114382," ",241353," "
21,1962,567,112807," ",240150," "
21,1963,567,109275," ",236817," "
21,1964,567,117691," ",246741," "
21,1965,567,119650," ",236823," "
21,1966,567,112525," ",249399," "
21,1967,567,126831," ",285891," "
21,1968,567,125971," ",312120," "
21,1969,567,114767," ",290919," "
21,1970,567,103429," ",247347," "
21,1971,567,115748," ",300564," "
21,1972,567,118636," ",285120," "
21,1973,567,104123," ",286701," "
21,1974,567,84706," ",264696," "
21,1975,567,82719," ",273354," "
21,1976,567,67378," ",221883," "
21,1977,567,65039," ",237027," "
21,1978,567,69429," ",279201," "
21,1979,567,66305," ",284355," "
21,1980,567,69739," ",294810," "
21,1981,567,74249," ",284478," "
21,1982,567,82158," ",339630," "
21,1983,567,74621," ",330504," "
21,1984,567,79391," ",354462," "
21,1985,567,74612," ",334911," "
21,1986,567,72488," ",343872," "
21,1987,567,73749," ",415332," "
21,1988,567,72927," ",468411," "
21,1989,567,67046," ",449478," "
21,1990,567,67986," ",437202," "
21,1991,567,71413," ",432455," "
21,1992,567,67907," ",396429," "
21,1993,567,67392," ",441477," "
21,1994,567,72213," ",447963," "
21,1995,567,79347," ",763236," "
21,1996,567,75261," ",598587," "
21,1997,567,81675," ",624732," "
21,1998,567,77022," ",598587," "
21,1999,567,80196," ",657060," "
21,2000,567,80509," ",680364," "
21,2001,567,77321," ",9e+05,"F"
21,2002,567,75389," ",1491130," "
21,2003,567,82285," ",1905800," "
21,2004,567,80889," ",1719392," "
21,2005,567,85461," ",1637428," "
21,2006,567,92996," ",1946912," "
21,2007,567,96556," ",2092628," "
21,2008,567,88189," ",1995206," "
21,2009,567,93726," ",2065167," "
21,2010,567,94946," ",2052928," "
21,2011,567,97718," ",2198624," "
23,1961,567,0,"M",0,"M"
23,1962,567,0,"M",0,"M"
23,1963,567,0,"M",0,"M"
23,1964,567,0,"M",0,"M"
23,1965,567,0,"M",0,"M"
23,1966,567,0,"M",0,"M"
23,1967,567,0,"M",0,"M"
23,1968,567,0,"M",0,"M"
23,1969,567,0,"M",0,"M"
23,1970,567,0,"M",0,"M"
23,1971,567,0,"M",0,"M"
23,1972,567,0,"M",0,"M"
23,1973,567,0,"M",0,"M"
23,1974,567,0,"M",0,"M"
23,1975,567,0,"M",0,"M"
23,1976,567,0,"M",0,"M"
23,1977,567,0,"M",0,"M"
23,1978,567,0,"M",0,"M"
23,1979,567,0,"M",0,"M"
23,1980,567,0,"M",0,"M"
23,1981,567,0,"M",0,"M"
23,1982,567,0,"M",0,"M"
23,1983,567,0,"M",0,"M"
23,1984,567,0,"M",0,"M"
23,1985,567,0,"M",0,"M"
23,1986,567,0,"M",0,"M"
23,1987,567,0,"M",0,"M"
23,1988,567,0,"M",0,"M"
23,1989,567,74," ",562," "
