"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
5,1961,137,20,"F",60,"F"
5,1962,137,20,"F",62," "
5,1963,137,20,"F",50," "
5,1964,137,28,"F",100," "
5,1965,137,28,"F",100,"F"
5,1966,137,28,"F",90,"F"
5,1967,137,28,"F",80,"F"
5,1968,137,28,"F",70,"F"
5,1969,137,23," ",62," "
5,1970,137,20,"F",57,"F"
5,1971,137,20,"F",54,"F"
5,1972,137,20,"F",50,"F"
5,1973,137,20,"F",47,"F"
5,1974,137,15,"F",45,"F"
5,1975,137,15,"F",43,"F"
5,1976,137,15,"F",40,"F"
5,1977,137,15,"F",37,"F"
5,1978,137,10,"F",32,"F"
5,1979,137,66," ",30," "
5,1980,137,30,"F",80,"F"
5,1981,137,60,"F",120,"F"
5,1982,137,80,"F",185," "
5,1983,137,80,"F",180,"F"
5,1984,137,70,"F",170," "
5,1985,137,60,"F",160," "
5,1986,137,50," ",150,"F"
5,1987,137,40,"F",140,"F"
5,1988,137,30,"F",130,"F"
5,1989,137,29," ",100,"F"
5,1990,137,38,"E",120,"E"
5,1991,137,29,"F",117,"E"
5,1992,137,29,"F",122,"E"
5,1993,137,29,"F",127,"E"
5,1994,137,34,"E",130,"E"
5,1995,137,33,"E",131,"E"
5,1996,137,29,"F",142,"E"
5,1997,137,29,"F",140,"E"
5,1998,137,98," ",740," "
5,1999,137,200,"F",750,"F"
5,2000,137,243,"E",856,"E"
5,2001,137,291,"E",564,"E"
5,2002,137,289,"E",700,"E"
5,2003,137,492," ",1390," "
5,2004,137,250,"F",800,"F"
5,2005,137,257,"E",799,"E"
5,2006,137,249,"E",776,"E"
5,2007,137,260,"F",820,"F"
5,2008,137,322,"E",1127,"E"
5,2009,137,250,"E",693,"E"
5,2010,137,279,"E",964,"E"
5,2011,137,247,"E",852,"E"
8,1961,137,8,"F",20,"F"
8,1962,137,10,"F",25,"F"
8,1963,137,12,"F",30,"F"
8,1964,137,13,"F",35,"F"
8,1965,137,13,"F",40,"F"
8,1966,137,15,"F",50,"F"
8,1967,137,18,"F",60,"F"
8,1968,137,20,"F",80,"F"
8,1969,137,35,"F",150,"F"
8,1970,137,58,"F",230,"F"
8,1971,137,62,"F",280,"F"
8,1972,137,75,"F",327," "
8,1973,137,40,"F",171," "
8,1974,137,15,"F",67," "
8,1975,137,10,"F",39," "
8,1976,137,12,"F",57," "
8,1977,137,12,"F",46," "
8,1978,137,20,"F",80," "
8,1979,137,28,"F",109," "
8,1980,137,20," ",68," "
8,1981,137,13," ",48," "
8,1982,137,14," ",63," "
8,1983,137,50,"F",273," "
8,1984,137,7,"F",30," "
8,1985,137,7,"F",27," "
8,1986,137,8,"F",30,"F"
8,1987,137,14,"F",51," "
8,1988,137,17,"F",61," "
8,1989,137,12,"F",40,"F"
8,1990,137,13,"F",45,"F"
8,1991,137,14,"E",50,"F"
8,1992,137,15,"F",60,"F"
8,1993,137,20,"E",52,"E"
8,1994,137,22,"E",49,"E"
8,1995,137,13,"F",50,"F"
8,1996,137,15,"E",53,"E"
8,1997,137,14,"E",46,"E"
8,1998,137,15,"E",51,"E"
8,1999,137,13,"E",55,"E"
8,2000,137,15,"F",41,"E"
8,2001,137,15,"F",55,"F"
8,2002,137,16,"F",58,"F"
8,2003,137,18,"F",64,"F"
8,2004,137,20,"F",70,"F"
8,2005,137,24,"E",69,"E"
8,2006,137,33,"E",70,"E"
8,2007,137,36,"E",87,"E"
8,2008,137,34,"E",88,"E"
8,2009,137,43,"E",115,"E"
8,2010,137,44,"E",132,"E"
8,2011,137,38,"E",121,"E"
14,1961,137,1009," ",12600,"*"
14,1962,137,956," ",13136,"*"
14,1963,137,1007," ",13908,"*"
14,1964,137,1127," ",13944,"*"
14,1965,137,900,"F",10000,"F"
14,1966,137,750,"F",8680," "
14,1967,137,1000,"F",11000,"F"
14,1968,137,1202," ",14000,"F"
14,1969,137,1100,"F",11004," "
14,1970,137,1229," ",15420," "
14,1971,137,1144," ",14349," "
14,1972,137,960," ",12043," "
14,1973,137,619," ",7766," "
14,1974,137,407," ",5103," "
14,1975,137,527," ",6610," "
14,1976,137,461," ",5782," "
14,1977,137,470," ",5896," "
14,1978,137,680," ",6851," "
14,1979,137,586," ",5909," "
14,1980,137,490," ",7700," "
14,1981,137,221," ",4000," "
14,1982,137,250," ",4500," "
14,1983,137,250," ",4500," "
14,1984,137,355," ",3195," "
14,1985,137,327," ",2493," "
14,1986,137,221," ",1989," "
14,1987,137,273," ",2462," "
14,1988,137,180,"F",1365," "
14,1989,137,260,"F",2538," "
14,1990,137,270,"F",2647," "
14,1991,137,221," ",1989," "
14,1992,137,174," ",1566," "
14,1993,137,210,"F",1927," "
