"areaCode","year","itemCode","areaHarvestedValue","areaHarvestedSymb","productionValue","productionSymb"
23,1961,135,0,"M",0,"M"
23,1962,135,0,"M",0,"M"
23,1963,135,0,"M",0,"M"
23,1964,135,0,"M",0,"M"
23,1965,135,0,"M",0,"M"
23,1966,135,0,"M",0,"M"
23,1967,135,0,"M",0,"M"
23,1968,135,0,"M",0,"M"
23,1969,135,0,"M",0,"M"
23,1970,135,0,"M",0,"M"
23,1971,135,0,"M",0,"M"
23,1972,135,0,"M",0,"M"
23,1973,135,0,"M",0,"M"
23,1974,135,0,"M",0,"M"
23,1975,135,0,"M",0,"M"
23,1976,135,0,"M",0,"M"
23,1977,135,0,"M",0,"M"
23,1978,135,0,"M",0,"M"
23,1979,135,0,"M",0,"M"
23,1980,135,0,"M",0,"M"
23,1981,135,0,"M",0,"M"
23,1982,135,0,"M",0,"M"
23,1983,135,0,"M",0,"M"
23,1984,135,0,"M",0,"M"
23,1985,135,0,"M",0,"M"
23,1986,135,0,"M",0,"M"
23,1987,135,0,"M",0,"M"
23,1988,135,0,"M",0,"M"
23,1989,135,176," ",2056," "
23,1990,135,47," ",346," "
23,1991,135,69," ",301," "
23,1992,135,75," ",789," "
23,1993,135,91," ",1050," "
23,1994,135,75," ",204," "
23,1995,135,79," ",582," "
23,1996,135,23," ",173," "
23,1997,135,49," ",225," "
23,1998,135,76," ",557," "
23,1999,135,99," ",932," "
23,2000,135,117," ",918," "
23,2001,135,132," ",1289," "
23,2002,135,135,"F",854," "
23,2003,135,75,"F",469," "
23,2004,135,40,"F",264," "
23,2005,135,45,"F",281," "
23,2006,135,42," ",261," "
23,2007,135,15," ",156," "
23,2008,135,23," ",167," "
23,2009,135,36," ",197," "
23,2010,135,30,"E",201,"E"
23,2011,135,34,"E",214,"E"
48,1961,135,0,"M",0,"M"
48,1962,135,0,"M",0,"M"
48,1963,135,0,"M",0,"M"
48,1964,135,0,"M",0,"M"
48,1965,135,0,"M",0,"M"
48,1966,135,0,"M",0,"M"
48,1967,135,0,"M",0,"M"
48,1968,135,0,"M",0,"M"
48,1969,135,0,"M",0,"M"
48,1970,135,0,"M",0,"M"
48,1971,135,0,"M",0,"M"
48,1972,135,0,"M",0,"M"
48,1973,135,0,"M",0,"M"
48,1974,135,0,"M",0,"M"
48,1975,135,0,"M",0,"M"
48,1976,135,0,"M",0,"M"
48,1977,135,0,"M",0,"M"
48,1978,135,0,"M",0,"M"
48,1979,135,0,"M",0,"M"
48,1980,135,0,"M",0,"M"
48,1981,135,0,"M",0,"M"
48,1982,135,0,"M",0,"M"
48,1983,135,0,"M",0,"M"
48,1984,135,0,"M",0,"M"
48,1985,135,0,"M",0,"M"
48,1986,135,0,"M",0,"M"
48,1987,135,0,"M",0,"M"
48,1988,135,0,"M",0,"M"
48,1989,135,0,"M",0,"M"
48,1990,135,0,"M",0,"M"
48,1991,135,0,"M",0,"M"
48,1992,135,0,"M",0,"M"
48,1993,135,1384," ",13840," "
48,1994,135,1900," ",19000," "
48,1995,135,2450," ",24500," "
48,1996,135,1906," ",17150," "
48,1997,135,1850," ",17326," "
48,1998,135,1321," ",11324," "
48,1999,135,2645," ",25683," "
48,2000,135,1396," ",16597," "
48,2001,135,2427," ",22228," "
48,2002,135,3598," ",40906," "
48,2003,135,1682," ",28882," "
48,2004,135,1263," ",24283," "
48,2005,135,2112," ",24428," "
48,2006,135,1931," ",18556," "
48,2007,135,1492," ",12954," "
48,2008,135,1653," ",15506," "
48,2009,135,1748," ",15850," "
48,2010,135,1453," ",14493," "
48,2011,135,1628," ",15428," "
49,1961,135,6000,"F",25000,"F"
49,1962,135,6000,"F",25475," "
49,1963,135,10500,"F",44989," "
49,1964,135,10300,"F",43192," "
49,1965,135,11000,"F",46629," "
49,1966,135,15000,"F",71275," "
49,1967,135,9005," ",42413," "
49,1968,135,9887," ",42554," "
49,1969,135,8023," ",35022," "
49,1970,135,3013," ",11989," "
49,1971,135,2778," ",13516," "
49,1972,135,8057," ",25770," "
49,1973,135,6871," ",19609," "
49,1974,135,7747," ",25581," "
49,1975,135,7464," ",32500," "
49,1976,135,8421," ",43734," "
49,1977,135,14357," ",85722," "
49,1978,135,19556," ",217353," "
49,1979,135,21433," ",196046," "
49,1980,135,17241," ",161371," "
49,1981,135,13116," ",99205," "
49,1982,135,9700," ",45554," "
49,1983,135,8200," ",45211," "
49,1984,135,9100," ",52634," "
49,1985,135,9000," ",46748," "
49,1986,135,9100," ",64942," "
49,1987,135,9900," ",41758," "
49,1988,135,10600," ",41661," "
49,1989,135,12700," ",37590," "
49,1990,135,10500,"F",30000,"F"
49,1991,135,12019," ",31122," "
49,1992,135,6784," ",16000," "
49,1993,135,7278," ",10618," "
49,1994,135,6866," ",8912," "
49,1995,135,5617," ",10800," "
49,1996,135,6967," ",14696," "
49,1997,135,7703," ",20400," "
49,1998,135,9071," ",40273," "
49,1999,135,9233," ",78741," "
49,2000,135,11928," ",98540," "
49,2001,135,13471," ",102201," "
49,2002,135,22500,"F",231500,"F"
49,2003,135,17212," ",205900," "
49,2004,135,22587," ",244000," "
49,2005,135,22565," ",225873," "
49,2006,135,17483," ",175000," "
49,2007,135,21335," ",207800," "
49,2008,135,26581," ",240000," "
49,2009,135,27027," ",199400," "
49,2010,135,19795," ",137400," "
49,2011,135,16242," ",132100," "
55,1961,135,400,"F",4000,"F"
55,1962,135,410,"F",4100,"F"
55,1963,135,420,"F",4300,"F"
55,1964,135,430,"F",4300,"F"
55,1965,135,440,"F",4400,"F"
55,1966,135,450,"F",4500,"F"
55,1967,135,460,"F",4600,"F"
55,1968,135,470,"F",4700,"F"
55,1969,135,480,"F",4800,"F"
55,1970,135,490,"F",4900,"F"
55,1971,135,500,"F",5000,"F"
55,1972,135,510,"F",5100,"F"
55,1973,135,520,"F",5200,"F"
55,1974,135,530,"F",5300,"F"
55,1975,135,550,"F",5450," "
55,1976,135,580,"F",5810," "
55,1977,135,600,"F",5990," "
55,1978,135,650,"F",6440," "
55,1979,135,630,"F",6294," "
55,1980,135,650,"F",6290," "
55,1981,135,680,"F",6218," "
55,1982,135,710,"F",6199," "
55,1983,135,700,"F",6241," "
55,1984,135,710,"F",6420," "
55,1985,135,520,"F",4400," "
55,1986,135,580,"F",4914," "
55,1987,135,670,"F",5645," "
55,1988,135,650,"F",4516," "
55,1989,135,640,"F",3838," "
55,1990,135,630,"F",5239," "
